date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ABBV,96.31,96.74,95.41,96.04,6411500,-0.27,-0.28034,96.125
2020-07-31,ABBV,95.54,97.25,93.55,94.91,14614332,-0.63,-0.65941,95.3125
2020-08-03,ABBV,95.19,97.17,95.06,95.94,6920500,0.75,0.7879,95.84
2020-08-04,ABBV,95.92,96.03,94.06,94.29,7865121,-1.63,-1.7,95.075
2020-08-05,ABBV,94.47,94.8,93.13,93.25,6932657,-1.22,-1.29,93.9125
2020-08-06,ABBV,93.32,93.65,91.78,92.57,7269306,-0.75,-0.80369,92.83
2020-08-07,ABBV,92.69,93.0,92.2,92.92,5227010,0.23,0.24814,92.7025
2020-08-10,ABBV,92.63,93.67,92.15,92.38,7623616,-0.25,-0.26989,92.7075
2020-08-11,ABBV,92.31,93.29,92.13,92.67,7208400,0.36,0.38999,92.6
2020-08-12,ABBV,93.45,95.58,93.33,95.51,7705938,2.06,2.2,94.4675
2020-08-13,ABBV,95.14,95.5,94.01,94.68,6004395,-0.46,-0.4835,94.8325
2020-08-14,ABBV,95.38,95.67,94.54,95.07,5488458,-0.31,-0.32502,95.165
2020-08-17,ABBV,95.29,97.26,95.26,96.35,7251444,1.06,1.11,96.04
2020-08-18,ABBV,96.62,96.7,95.15,95.65,4557442,-0.97,-1.0,96.03
2020-08-19,ABBV,97.11,97.42,95.85,96.1,7672000,-1.01,-1.04,96.62
2020-08-20,ABBV,95.49,96.03,94.68,95.2,6798058,-0.29,-0.3037,95.35
2020-08-21,ABBV,95.2,95.32,94.32,94.86,5269000,-0.34,-0.35714,94.925
2020-08-24,ABBV,94.9,95.24,94.18,94.51,4103600,-0.39,-0.41096,94.7075
2020-08-25,ABBV,94.21,94.79,93.91,94.06,6710000,-0.15,-0.15922,94.2425
2020-08-26,ABBV,93.5,94.41,92.94,94.35,5682842,0.85,0.90909,93.8
2020-08-27,ABBV,94.33,95.06,93.67,94.3,5271517,-0.03,-0.03180324,94.34
2020-08-28,ABBV,94.52,94.65,93.53,94.17,4938715,-0.35,-0.37029,94.2175
2020-08-31,ABBV,94.12,96.01,94.01,95.77,9932323,1.65,1.75,94.9775
2020-09-01,ABBV,95.52,95.92,91.29,92.24,15817818,-3.28,-3.43,93.7425
2020-09-02,ABBV,92.07,94.24,91.9,93.95,9139200,1.88,2.04,93.04
2020-09-03,ABBV,93.88,94.31,91.09,91.87,8921900,-2.01,-2.14,92.7875
2020-09-04,ABBV,92.08,93.13,90.58,91.87,9444845,-0.21,-0.22806,91.915
2020-09-08,ABBV,91.52,91.86,89.45,90.22,8563903,-1.3,-1.42,90.7625
2020-09-09,ABBV,90.86,92.43,90.51,91.63,5373513,0.77,0.84746,91.3575
2020-09-10,ABBV,91.07,91.41,89.48,89.65,10403600,-1.42,-1.56,90.4025
2020-09-11,ABBV,89.81,90.34,89.04,89.7,8385800,-0.11,-0.12248,89.7225
2020-09-14,ABBV,90.05,91.26,89.46,90.49,5212480,0.44,0.48862,90.315
2020-09-15,ABBV,91.4,91.98,90.64,90.91,3851321,-0.49,-0.53611,91.2325
