date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,ADM,1985,Q3,USD,2013775108.8,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1985-12-31,ADM,1985,Q4,USD,2441624158.96,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-03-31,ADM,1986,Q1,USD,2794380057.28,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-06-30,ADM,1986,Q2,USD,2715011667.1200004,2702511667.1200004,1.9432743705472066,0.0,0.0,-0.7524115115318226,0.003480149228798931,4.160242290748899,0.0,0.0,-0.15349215808050556,0.0,0.0,1147800000.0,2462900000.0,0.0,0.0,0.0,0.0,,-1.216651988347673,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,23.40763644207953,0.0,0.0,23.40763644207953,23.40763644207953,,,2075900000.0,271500000.0,Consumer Defensive
1986-09-30,ADM,1986,Q3,USD,2772798360.14,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-12-31,ADM,1986,Q4,USD,2892211356.9900002,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-03-31,ADM,1987,Q1,USD,3090912900.6,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-06-30,ADM,1987,Q2,USD,3856281809.32,4062381809.32,2.69567472416722,0.0,0.0,-1.0451738729340332,-0.05302562519296079,3.518399356525236,0.0,0.0,-0.4064575872571904,0.0,0.0,1252400000.0,2730900000.0,0.0,0.0,0.0,0.0,,-1.155135520684736,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,26.9163901791639,0.0,0.0,26.9163901791639,26.9163901791639,,,2367700000.0,255300000.0,Consumer Defensive
1987-09-30,ADM,1987,Q3,USD,4407855574.85,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-12-31,ADM,1987,Q4,USD,3334055761.4399996,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-03-31,ADM,1988,Q1,USD,3233187253.52,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1988-06-30,ADM,1988,Q2,USD,3276392428.4,3341592428.4,1.7818975248760198,0.0,0.0,-0.7625376359819269,-0.01487837159417644,2.983805097873539,0.0,0.0,-0.3575960528550463,0.0,0.0,1408700000.0,3069900000.0,0.0,0.0,0.0,0.0,,-1.188393220338983,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,30.60950247960326,0.0,0.0,30.60950247960326,30.60950247960326,,,2630500000.0,351700000.0,Consumer Defensive
