date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,ADM,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.03927515943381552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.566165118058796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016160714285714287,0.16160714285714287,1.7878063862579807,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.004525,Consumer Defensive
1985-12-31,ADM,1985,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.0506777108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8385724088554216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013458923512747877,0.13458923512747878,1.9199678962862026,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.004751,Consumer Defensive
1986-03-31,ADM,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.04175741644761547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098670715193391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001175990099009901,0.1175990099009901,1.9250280526393666,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.004751,Consumer Defensive
1986-06-30,ADM,1986,Q2,USD,1.0,-2.582728122528223,-2.582728122528223,-2.582728122528223,0.0,0.047458114618537425,0.0,0.0,3.844899087641692,0.0,0.0,1.0574861227283097,0.41946673101284915,4.160242290748899,2.7241189427312777,0.0,1.6393171806167401,0.0,0.0,0.0,1.3078720878269667,1.9522626498310207,0.0,0.0,0.17581588948543161,0.2807938725372128,0.2192342410109824,0.21548694304825972,1.5970904186136134,0.0,,,0.0,-282.81889763779526,0.0,,,0.0,0.0,0.0,0.0012771505376344085,0.12771505376344086,1.9054813143723195,0.0,0.7986661811660495,0.8157931793897167,2.8443148490008614,2.8443148490008614,2.8443148490008614,,,,0.0,0.0,1.3078720878269667,0.2146952099908735,0.0,-0.7524115115318226,0.004751,Consumer Defensive
1986-09-30,ADM,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.047337709700948215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022464157651349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013430079155672824,0.13430079155672822,1.8739516276032588,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00509,Consumer Defensive
1986-12-31,ADM,1986,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.03379070243702642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974340471697727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013600508905852416,0.13600508905852415,1.9905381348033706,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.005345,Consumer Defensive
1987-03-31,ADM,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.05070894740518265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1589110152965008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012725333333333333,0.12725333333333333,1.9454252492306545,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00534464,Consumer Defensive
1987-06-30,ADM,1987,Q2,USD,1.0,-2.579163901791639,-2.579163901791639,-2.579163901791639,0.0,0.052023888520238884,0.0,0.0,3.3436875970712228,0.0,0.0,1.0192762935407507,0.3902022215892908,3.518399356525236,1.9412829278101749,0.0,0.9352503519002614,0.0,0.0,0.0,1.6287037248468978,2.558912945799602,0.0,0.0,0.17379146060433442,0.28348186003294334,0.22086939353055382,0.21734100224778527,1.6311610423617857,0.0,,,0.0,-283.7080291970803,0.0,,,0.0,0.0,0.0,0.0010199694656488549,0.1019969465648855,2.0477445348820256,0.0,0.9120412288074424,0.6319880445744062,3.217282505136146,3.217282505136146,3.217282505136146,,,,0.0,0.0,1.6287037248468978,0.1740536696197409,0.0,-1.0451738729340332,0.00534464,Consumer Defensive
1987-09-30,ADM,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.052276878503495626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7762521728601124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008982588235294117,0.08982588235294119,2.143177070932383,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00534464,Consumer Defensive
1987-12-31,ADM,1987,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.058819973401039775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015509467682263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011764926624737947,0.11764926624737947,2.3666472802458554,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00561187,Consumer Defensive
1988-03-31,ADM,1988,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.0582916964073281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9231425490839875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001249859688195991,0.1249859688195991,2.3347203264462286,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.00561187,Consumer Defensive
