date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ADP,134.27,134.74,132.27,132.89,8449301,-1.38,-1.03,133.5425
2020-07-31,ADP,133.66,134.53,129.84,132.91,3408510,-0.75,-0.56113,132.735
2020-08-03,ADP,133.36,134.99,132.22,134.46,2962249,1.1,0.82484,133.7575
2020-08-04,ADP,133.95,136.79,133.94,136.74,2415165,2.79,2.08,135.355
2020-08-05,ADP,136.6,138.24,134.51,134.77,2362947,-1.83,-1.34,136.03
2020-08-06,ADP,134.47,136.96,134.45,136.52,2158358,2.05,1.52,135.6
2020-08-07,ADP,136.98,138.98,136.63,137.99,3090845,1.01,0.73733,137.645
2020-08-10,ADP,137.88,138.87,136.43,138.17,2507900,0.29,0.21033,137.8375
2020-08-11,ADP,137.91,140.04,136.79,138.1,2412529,0.19,0.13777,138.21
2020-08-12,ADP,138.86,140.28,138.67,139.58,2686100,0.72,0.51851,139.3475
2020-08-13,ADP,139.03,140.54,138.99,139.26,2363900,0.23,0.16543,139.455
2020-08-14,ADP,139.26,140.1,137.97,138.96,2215124,-0.3,-0.21542,139.0725
2020-08-17,ADP,139.25,140.74,139.09,139.66,1559000,0.41,0.29443,139.685
2020-08-18,ADP,140.5,140.79,138.94,139.95,2078012,-0.55,-0.39146,140.045
2020-08-19,ADP,139.89,140.51,138.22,138.9,1478914,-0.99,-0.7077,139.38
2020-08-20,ADP,137.59,139.48,137.36,139.15,1310317,1.56,1.13,138.395
2020-08-21,ADP,139.05,139.05,137.1,138.08,1795700,-0.97,-0.69759,138.32
2020-08-24,ADP,138.63,140.72,137.63,140.66,1387605,2.03,1.46,139.41
2020-08-25,ADP,141.08,142.85,140.16,141.06,1917300,-0.02,-0.01417635,141.2875
2020-08-26,ADP,141.02,141.87,139.07,139.61,1804100,-1.41,-0.99986,140.3925
2020-08-27,ADP,141.49,142.46,140.03,141.01,1738123,-0.48,-0.33925,141.2475
2020-08-28,ADP,140.94,141.44,139.38,141.34,1079512,0.4,0.28381,140.775
2020-08-31,ADP,140.81,140.96,138.36,139.09,2893853,-1.72,-1.22,139.805
2020-09-01,ADP,138.79,138.87,137.35,138.53,1615717,-0.26,-0.18733,138.385
2020-09-02,ADP,138.18,143.05,137.5,142.48,2220000,4.3,3.11,140.3025
2020-09-03,ADP,142.93,144.25,137.72,139.14,2033442,-3.79,-2.65,141.01
2020-09-04,ADP,139.22,141.73,137.5,138.53,2924335,-0.69,-0.49562,139.245
2020-09-08,ADP,136.48,137.85,134.8,135.89,2618046,-0.5865,-0.4323,136.255
2020-09-09,ADP,136.68,138.53,135.12,137.26,1962027,0.58,0.42435,136.8975
2020-09-10,ADP,136.43,136.72,131.28,131.9,2463712,-4.53,-3.32,134.0825
2020-09-11,ADP,132.5,133.8,131.38,133.44,1862216,0.94,0.70943,132.78
2020-09-14,ADP,134.65,137.28,134.32,136.57,4143013,1.92,1.43,135.705
2020-09-15,ADP,137.09,138.1,136.15,136.97,2034315,-0.12,-0.08753374,137.0775
