date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,AEE,79.66,79.92,79.03,79.55,1009300,-0.11,-0.13809,79.54
2020-07-31,AEE,79.62,80.29,78.88,80.24,1107713,0.62,0.7787,79.7575
2020-08-03,AEE,79.96,80.0,78.22,79.28,1211900,-0.68,-0.85043,79.365
2020-08-04,AEE,79.03,82.43,79.01,82.19,2629716,3.16,4.0,80.665
2020-08-05,AEE,82.27,82.4,79.76,80.45,2350278,-1.82,-2.21,81.22
2020-08-06,AEE,80.27,81.49,79.88,81.06,1547829,0.79,0.98418,80.675
2020-08-07,AEE,79.34,82.71,79.34,82.18,1435118,2.84,3.58,80.8925
2020-08-10,AEE,82.98,83.95,82.14,83.25,1249451,0.27,0.32538,83.08
2020-08-11,AEE,83.66,83.96,80.85,81.16,1037600,-2.5,-2.99,82.4075
2020-08-12,AEE,81.52,83.0,80.97,81.98,1151925,0.46,0.56428,81.8675
2020-08-13,AEE,80.95,81.65,80.43,81.37,1464300,0.42,0.51884,81.1
2020-08-14,AEE,81.61,81.94,80.57,81.27,645401,-0.34,-0.41662,81.3475
2020-08-17,AEE,81.38,82.23,80.91,81.43,734000,0.05,0.06144016,81.4875
2020-08-18,AEE,81.5,81.82,80.87,81.18,1014500,-0.32,-0.39264,81.3425
2020-08-19,AEE,81.58,81.79,80.93,81.15,612323,-0.43,-0.52709,81.3625
2020-08-20,AEE,80.7,81.33,80.13,80.47,816000,-0.23,-0.28501,80.6575
2020-08-21,AEE,80.84,80.94,79.44,80.72,880318,-0.12,-0.14844,80.485
2020-08-24,AEE,81.1,81.31,80.17,81.25,837100,0.15,0.18496,80.9575
2020-08-25,AEE,81.54,81.63,79.49,79.6,1259600,-1.94,-2.38,80.565
2020-08-26,AEE,79.15,79.15,77.65,78.44,1305600,-0.71,-0.89703,78.5975
2020-08-27,AEE,78.85,79.34,78.34,78.93,716613,0.08,0.10146,78.865
2020-08-28,AEE,79.39,79.39,78.03,78.66,735600,-0.73,-0.91951,78.8675
2020-08-31,AEE,78.29,79.31,78.17,79.11,1122832,0.82,1.05,78.72
2020-09-01,AEE,79.11,79.11,77.66,78.48,665144,-0.63,-0.79636,78.59
2020-09-02,AEE,78.54,80.61,78.14,80.23,1495694,1.69,2.15,79.38
2020-09-03,AEE,80.7,81.18,78.34,79.1,1155900,-1.6,-1.98,79.83
2020-09-04,AEE,79.18,79.61,77.85,78.96,1084700,-0.22,-0.27785,78.9
2020-09-08,AEE,78.43,78.43,76.62,77.4,984300,-1.03,-1.31,77.72
2020-09-09,AEE,77.93,79.63,77.71,78.38,1365700,0.45,0.57744,78.4125
2020-09-10,AEE,78.11,78.59,76.29,76.46,898400,-1.65,-2.11,77.3625
2020-09-11,AEE,76.71,76.83,75.84,76.6,959509,-0.11,-0.1434,76.495
2020-09-14,AEE,76.96,77.8,76.65,76.98,936800,0.02,0.02598753,77.0975
2020-09-15,AEE,77.24,78.38,76.88,77.5,1068404,0.26,0.33661,77.5
2020-09-16,AEE,77.48,78.85,77.35,77.94,1193700,0.46,0.5937,77.905
2020-09-17,AEE,77.33,77.77,76.59,77.62,1123147,0.29,0.37502,77.3275
2020-09-18,AEE,77.43,78.08,76.85,76.86,2281100,-0.57,-0.73615,77.305
2020-09-21,AEE,75.76,77.17,75.27,76.62,1660807,0.86,1.14,76.205
2020-09-22,AEE,76.56,77.94,76.55,77.06,1152900,0.5,0.65308,77.0275
2020-09-23,AEE,77.12,77.54,75.53,75.61,995344,-1.51,-1.96,76.45
2020-09-24,AEE,75.78,77.08,75.28,76.7,794241,0.92,1.21,76.21
2020-09-25,AEE,76.51,78.3,76.18,78.21,764700,1.7,2.22,77.3
2020-09-28,AEE,78.97,79.37,78.08,78.42,713509,-0.55,-0.69647,78.71
2020-09-29,AEE,78.83,79.37,78.5,79.02,898240,0.19,0.24102,78.93
2020-09-30,AEE,79.3,79.91,78.53,79.08,1444914,-0.22,-0.27743,79.205
2020-10-01,AEE,79.17,80.21,79.06,79.86,1060800,0.69,0.87154,79.575
2020-10-02,AEE,79.44,80.72,78.96,79.81,900613,0.37,0.46576,79.7325
2020-10-05,AEE,79.85,81.06,78.82,80.72,1066600,0.87,1.09,80.1125
2020-10-06,AEE,80.71,82.03,79.83,81.3,1216600,0.59,0.73101,80.9675
2020-10-07,AEE,81.51,81.86,80.05,80.69,963716,-0.82,-1.01,81.0275
2020-10-08,AEE,81.18,81.75,80.72,81.73,1199700,0.55,0.67751,81.345
2020-10-09,AEE,81.83,82.53,81.32,82.05,971008,0.22,0.26885,81.9325
2020-10-12,AEE,82.11,83.4,82.05,82.54,816342,0.43,0.52369,82.525
2020-10-13,AEE,81.8,81.8,79.87,81.15,1115137,-0.65,-0.79462,81.155
2020-10-14,AEE,81.24,81.65,80.94,81.35,698200,0.11,0.1354,81.295
