date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,AEP,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.09702380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3820735544217686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0272289156626506,2.72289156626506,6.135289391583802,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1985-12-31,AEP,1985,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.11035229449487799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7833179027483967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023910283537875582,2.391028353787558,6.245840452062977,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1986-03-31,AEP,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.098515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1957783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020360360360360357,2.0360360360360357,6.613790787196114,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1986-06-30,AEP,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0840983890524857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.463742464922917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021216672925272247,2.1216672925272246,5.965845971012995,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1986-09-30,AEP,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.10983471074380165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.318549586776859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020925925925925924,2.092592592592592,6.252099103521327,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1986-12-31,AEP,1986,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.12606374103120307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.440963046470883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020545454545454544,2.0545454545454542,6.192350558254145,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1987-03-31,AEP,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.11975028376844495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.453156559104913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019908386187455954,1.9908386187455953,6.373007466349756,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1987-06-30,AEP,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.10256186062778701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.653503978315992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020545454545454544,2.0545454545454542,5.9095254088407785,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
1987-09-30,AEP,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.11753509398049013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.220963200888255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023454545454545454,2.3454545454545452,6.515100627793422,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.645,Utilities
1987-12-31,AEP,1987,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.07768595041322314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416533749456286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02152380952380952,2.1523809523809523,5.943575095114264,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.565,Utilities
