date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1999-03-31,AKAM,1999,Q1,USD,0.0,1.0,1.0,1.0,0.0,-29.0,-29.0,-29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213.51102278556036,0.0,0.0,0.0,24767.278643125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005862069147443525,-0.17000000527586223,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1999-06-30,AKAM,1999,Q2,USD,0.0,1.0,1.0,1.0,0.0,-17.25,-17.25,-17.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-106.75551656249999,-1.067555165625,-1.067555165625,0.0,7366.1306428125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.019710144584751108,-0.33999999408695664,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1999-09-30,AKAM,1999,Q3,USD,-2.539071347678369,-21.149490373725936,-21.134767836919593,-21.149490373725936,-20.998867497168742,-20.998867497168742,-20.998867497168742,-22.5277463193658,1.4716666666666667,0.5040322580645161,0.0,0.068984375,0.008034576888080073,9.649484536082474,9.649484536082474,-0.8422272727272727,9.463917525773196,-48.64313507594245,-0.41346664814551093,-0.41346664814551093,41.04395952573948,4085.8029924263874,0.0,0.0,0.1164695177434031,0.14562002275312855,0.12711022840119166,0.12275449101796407,1.2502844141069398,0.0,,,0.0,-37.324,0.0,,,0.0,0.0,,,,0.035534630590149725,-0.7461869993233933,0.5151112928130425,3.702362417093743,3.537365831114565,3.521268603214158,3.537365831114565,,,,1.0,0.9928781793842035,41.04395952573948,0.0035479038678470427,0.0,-189.08820288889186,,Technology
1999-12-31,AKAM,1999,Q4,USD,0.9629629629629629,-6.703703703703703,-5.074074074074074,-6.703703703703703,0.0,-10.851851851851851,-10.851851851851851,-11.074074074074074,1.7002518891687657,0.011127183709803048,0.0,0.11297071129707113,0.008976063829787235,14.71505376344086,14.71505376344086,-1.2835051546391754,14.494623655913978,-209.73870134279008,4.434475399818991,4.434475399818991,87.35385855499288,9104.213258287036,-811.2665279661716,-1412.7227469755746,0.013297872340425532,0.014214641080312722,0.01401541695865452,0.0024813895781637717,1.0689410092395166,0.01592920353982301,-0.9354838709677419,-6.444444444444445,1.7413793103448276,-4.2089093701996925,0.0,-5.345622119815668,-4.35,-1.3488372093023255,-1.3488372093023255,0.0,0.0,0.0,0.035986085859948634,-0.3905156724801833,0.05331271979251649,3.5932773140156113,3.7505498374035353,3.7452185654242833,3.7505498374035353,-0.23191033109744674,0.17193352133086567,-0.40384385242831244,0.0,0.0,87.35385855499288,0.00016089416770652631,0.0,-1774.8741457937956,0.0,Technology
2000-03-31,AKAM,2000,Q1,USD,0.08114095818332871,-5.4032124065355855,-3.4297978399335363,-5.4032124065355855,0.0,-4.901273885350318,-4.901273885350318,-4.901273885350318,2.3029336734693877,0.3887294241696444,0.0,0.16611845888441634,0.015306911848550167,7.3705154510974324,7.3705154510974324,-0.6437226010716025,0.8273332089784244,-85.21626763346823,-4.154293047131578,-4.154293047131578,27.486475918780542,1670.6730686357657,-328.25314638538237,-822.4676824599522,0.002827391360560222,0.00303896666021209,0.0030297593226421135,0.0,1.0748305673573064,0.03139904437691027,-0.4560716284275322,-2.031293270562171,2.5055896387184733,-37.99079754601227,0.0,-22.5,-10.997001499250375,-0.6641916059220356,-0.6641916059220356,0.0,0.0,0.0,0.09625611558538852,-0.4717775856239266,0.01777979205080425,3.001052966200442,5.8506045109305,3.3599142113038187,5.8506045109305,-0.19552439983905423,0.2943795105143279,-0.48990391035338215,0.0,0.0,27.486475918780542,5.4037921966141864e-05,0.0,-486.08489712101334,0.0,Technology
2000-06-30,AKAM,2000,Q2,USD,1.224812610229277,-13.535989858906525,-2.1930665784832453,-13.535989858906525,-13.402006172839506,-13.405864197530864,-13.405864197530864,-13.405864197530864,1.5574248927038628,-0.13963439682322334,0.0,0.19601784730399835,0.005439153813478153,10.826052822288428,10.826052822288428,-0.13967530618057533,7.137048071503342,-10.66278959787575,-0.021694853294379233,-0.021694853294379233,3.475810626521084,571.7756372638682,-151.76197958594517,-297.92364489448124,0.09050986970792428,0.10115679463988665,0.09186411520347394,0.09133218031529695,1.1176327506195738,0.05236114297587561,-0.70098236572993,-1.9192019400352733,1.9630980414680375,-38.96480938416422,0.0,-34.039100684261975,-0.11533366012638942,-1.038315889912634,-1.038315889912634,0.0,0.0,0.0,0.207659031378431,-2.7838487740500466,3.4555360113481814,5.901904524250973,34.16019678806278,3.761290587145954,34.16019678806278,-0.3985396158873305,0.38383272350851194,-0.7823723393958425,1.000287869192239,0.9901016706230125,3.475810626521084,0.02901623071755215,-0.00028786919223904657,-259.3973803753518,0.0,Technology
2000-09-30,AKAM,2000,Q3,USD,0.33046103991751363,-11.330055972897334,-1.1774930033878332,-11.330055972897334,-11.196604801885403,-11.197341287376638,-11.197341287376638,-11.197341287376638,1.741662390969728,0.6295052453000035,0.0,0.22293370111319083,0.008879367340172369,8.685532055276566,8.685532055276566,-0.07968968994272971,6.803178035995748,-4.019692608204699,-0.2280560296083482,-0.2280560296083482,1.8092592109149352,180.03948001765264,-54.3245160430602,-98.54975951622372,0.09866704857493937,0.11166656490131537,0.10044969276486984,0.0999235584777645,1.1317513446903464,0.059850769788540946,-0.9092591913786151,-1.82688908528502,1.814093648585999,-29.98687910028116,0.0,-46.495782567947515,-0.1644076671217805,-1.2283599088838268,-1.2283599088838268,0.0,0.0,0.0,0.29168949496438734,-3.266146825058774,3.2412378569183113,4.712650025377824,29.026037111312014,2.9762726020287285,29.026037111312014,-0.532884354642739,0.43381776854550286,-0.9667021231882418,1.0000657775731365,0.9882214905794675,1.8092592109149352,0.06157857081351127,-6.577757313643914e-05,-150.72908179132395,0.0,Technology
2000-12-31,AKAM,2000,Q4,USD,0.354607453549565,-8.214853399205241,-1.7888787455697561,-8.214853399205241,-8.136129309418967,-8.137606057351519,-8.137606057351519,-8.137606057351519,1.642876047640053,0.460373094307822,0.0,0.2603729000776001,0.01334538732403198,4.1830767057494,4.1830767057494,-0.17505396269973963,1.7673164759617648,-1.669699844377419,0.4549932075928466,0.4549932075928466,0.8418696226946942,54.3494382702583,-33.95267333586333,-85.15377892968323,0.10803478744450022,0.1253955770236138,0.11142355593333086,0.11093037676762933,1.160696290424343,0.10799525614222294,-0.2798300136554127,-0.638250456449361,2.5080139665979555,-61.74074074074074,0.0,-22.010185185185186,-0.0788421928948826,-0.6631238318408793,-0.6631238318408793,0.0,0.0,0.0,0.3875385039908693,-3.1536356775330443,3.13723677617203,3.222051144822808,25.018719564416877,2.2708940550954595,25.018719564416877,-0.24734662706387484,0.3730021682032191,-0.620348795267094,1.0001815049732363,0.9904168600508573,0.8418696226946942,0.148740942679484,-0.00018150497323626667,-32.65383082833021,0.0,Technology
2001-03-31,AKAM,2001,Q1,USD,0.5980999278768435,-54.95294585789251,-1.028948742818772,-54.95294585789251,-55.27657987017832,-55.28065855902907,-55.28065855902907,-55.28065855902907,1.6848522941546198,0.32954707669718786,0.0,0.266127911363501,0.06972824211440849,4.523217247097844,4.523217247097844,-5.160556609541503,1.6853359465299764,-0.09512904352179477,-0.000154861233640131,-0.000154861233640131,4.325034472476478,21.035184695901414,-12.417655094291838,-19.3180855911541,0.5225672978376944,1.540908161178155,0.6064399275508151,0.6053757365404795,2.94872673348333,0.14599422689396002,-0.5500653299160762,-1.088885572881693,1.555695132814106,-37.38703870387039,0.0,-39.40864086408641,-0.14529435189486958,-1.7995478832716811,-1.7995478832716811,0.0,0.0,0.0,0.4070560883484115,-22.50232863436251,3.0506175647966955,3.1698117348634516,1.9797530064765438,1.6162887387759541,1.9797530064765438,-0.4432375019562412,0.24630492251776598,-0.6895424244740072,1.000073786924957,1.0058892932350292,4.325034472476478,0.35600575552934033,-7.378692495689764e-05,-24.484512639583787,0.0,Technology
2001-06-30,AKAM,2001,Q2,USD,0.6189471732226884,-1.4668181080642544,-0.8620106163510349,-2.073989939964303,-2.138661598015809,-2.146635451194919,-2.146635451194919,-2.146635451194919,1.710179973043685,0.43133396305625527,0.0,0.28603537898477693,0.08302812767636332,3.6138123474014647,3.6138123474014647,-0.1652349746866259,1.398139751191722,-2.5185572812823946,0.02624712312591657,0.02624712312591657,7.971174296357686,21.625697383463525,-19.09873714548916,-30.45784371453756,0.5794628508742385,2.5724831469314173,0.7200826543131632,0.7193537326066262,4.439427209268547,0.17077158148077776,-0.3561330077897919,-0.7100206300271203,1.5947569455780093,-41.01857923497268,0.0,-33.47650273224044,-0.1017350524434879,-1.6813590954001536,-1.6813590954001536,0.0,0.0,0.0,0.4244949810043883,-0.9112359750783336,2.9625992872369036,2.6282163814286905,1.1516496388988344,0.8484782970262258,1.1516496388988344,-0.3014001938560863,0.17925985869446573,-0.48066005255055205,1.0037284314575565,1.0311822428862016,7.971174296357686,0.3225399451657089,-0.0037284314575565768,-29.950150877164674,0.0,Technology
