date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ALL,92.5,93.17,91.92,92.08,1712576,-0.42,-0.45405,92.4175
2020-07-31,ALL,92.05,94.52,91.85,94.39,2077200,2.34,2.54,93.2025
2020-08-03,ALL,94.53,97.24,94.0,96.19,1982783,1.66,1.76,95.49
2020-08-04,ALL,96.58,97.62,95.84,96.24,2443353,-0.34,-0.35204,96.57
2020-08-05,ALL,98.19,100.56,93.89,94.76,3498887,-3.43,-3.49,96.85
2020-08-06,ALL,94.45,95.85,94.21,94.48,1306000,0.03,0.03176284,94.7475
2020-08-07,ALL,94.06,96.98,94.06,96.91,1169400,2.85,3.03,95.5025
2020-08-10,ALL,97.1,97.6,96.62,97.25,1262500,0.15,0.15448,97.1425
2020-08-11,ALL,98.72,99.16,96.56,96.83,1376700,-1.89,-1.91,97.8175
2020-08-12,ALL,98.2,98.58,95.86,96.23,1404643,-1.97,-2.01,97.2175
2020-08-13,ALL,95.52,96.91,95.06,96.26,1068614,0.74,0.77471,95.9375
2020-08-14,ALL,95.65,96.71,95.17,96.12,1581358,0.47,0.49137,95.9125
2020-08-17,ALL,96.32,96.66,95.11,95.23,1437157,-1.09,-1.13,95.83
2020-08-18,ALL,95.21,95.67,94.5,94.68,1367100,-0.53,-0.55666,95.015
2020-08-19,ALL,94.99,95.87,93.88,94.28,1177414,-0.71,-0.74745,94.755
2020-08-20,ALL,93.64,96.07,93.5,95.36,1618822,1.72,1.84,94.6425
2020-08-21,ALL,95.49,95.87,94.03,94.49,1326244,-1.0,-1.05,94.97
2020-08-24,ALL,94.79,95.13,93.08,95.0,2399700,0.21,0.22154,94.5
2020-08-25,ALL,95.35,95.55,93.61,93.77,1662100,-1.58,-1.66,94.57
2020-08-26,ALL,93.39,94.08,92.66,93.01,1689162,-0.38,-0.4069,93.285
2020-08-27,ALL,93.01,95.12,92.85,94.13,2327039,1.12,1.2,93.7775
2020-08-28,ALL,94.89,94.89,93.65,94.3,2976200,-0.59,-0.62177,94.4325
2020-08-31,ALL,94.27,94.3,92.35,93.0,1571465,-1.27,-1.35,93.48
2020-09-01,ALL,92.9,93.63,92.28,92.96,2549229,0.06,0.06458558,92.9425
2020-09-02,ALL,92.73,95.08,92.14,94.59,3079100,1.86,2.01,93.635
2020-09-03,ALL,95.2,97.39,92.53,93.34,2022104,-1.86,-1.95,94.615
2020-09-04,ALL,94.63,95.17,92.64,93.81,1892511,-0.82,-0.86653,94.0625
2020-09-08,ALL,93.72,93.79,91.07,91.25,1927600,-2.47,-2.64,92.4575
2020-09-09,ALL,91.93,93.69,91.61,92.54,1784506,0.61,0.66355,92.4425
2020-09-10,ALL,93.11,94.09,92.58,92.62,1850834,-0.49,-0.52626,93.1
2020-09-11,ALL,92.81,94.14,92.48,93.82,1288300,1.01,1.09,93.3125
2020-09-14,ALL,94.4,95.57,94.27,94.95,1471405,0.55,0.58263,94.7975
2020-09-15,ALL,95.6,96.58,93.98,94.84,2411510,-0.76,-0.79498,95.25
2020-09-16,ALL,95.15,97.56,94.94,95.91,1797412,0.76,0.79874,95.89
2020-09-17,ALL,95.0,95.22,92.26,92.8,1539500,-2.2,-2.32,93.82
2020-09-18,ALL,92.54,92.98,90.91,91.28,2549400,-1.26,-1.36,91.9275
2020-09-21,ALL,90.04,92.57,89.72,92.03,2608930,1.99,2.21,91.09
2020-09-22,ALL,92.72,94.0,91.61,92.34,2095336,-0.38,-0.40984,92.6675
2020-09-23,ALL,92.25,93.06,89.57,89.62,1817820,-2.63,-2.85,91.125
2020-09-24,ALL,89.68,91.2,88.78,89.98,1941329,0.3,0.33452,89.91
2020-09-25,ALL,89.07,91.6,88.92,91.28,2077850,2.21,2.48,90.2175
2020-09-28,ALL,92.31,94.13,91.89,93.22,1385100,0.91,0.98581,92.8875
2020-09-29,ALL,92.84,93.79,92.29,93.44,2403230,0.6,0.64627,93.09
2020-09-30,ALL,93.55,94.68,93.32,94.14,2090677,0.59,0.63068,93.9225
2020-10-01,ALL,95.1,95.15,91.66,92.26,2662500,-2.84,-2.99,93.5425
2020-10-02,ALL,91.34,94.36,91.18,93.02,1369144,1.68,1.84,92.475
2020-10-05,ALL,93.81,94.95,93.14,93.68,1501800,-0.13,-0.13858,93.895
2020-10-06,ALL,93.99,94.83,92.27,92.65,2163844,-1.34,-1.43,93.435
2020-10-07,ALL,93.4,94.84,93.03,93.29,1558100,-0.11,-0.11777,93.64
2020-10-08,ALL,93.6,94.91,93.26,93.58,1422906,-0.02,-0.02136752,93.8375
2020-10-09,ALL,93.89,93.97,92.77,92.86,1501354,-1.03,-1.1,93.3725
2020-10-12,ALL,93.11,94.85,92.9,94.26,1526575,1.15,1.24,93.78
2020-10-13,ALL,94.02,94.66,91.37,91.79,2513728,-2.23,-2.37,92.96
2020-10-14,ALL,91.88,93.1,91.24,91.28,2514331,-0.6,-0.65303,91.875
2020-10-15,ALL,90.04,92.27,89.9,91.71,1812000,1.67,1.85,90.98
2020-10-16,ALL,91.82,93.27,91.82,92.58,3521000,0.76,0.82771,92.3725
2020-10-19,ALL,92.12,93.1,91.05,91.42,1326849,-0.7,-0.75988,91.9225
2020-10-20,ALL,92.25,92.53,90.93,91.08,1621541,-1.17,-1.27,91.6975
2020-10-21,ALL,90.92,91.87,90.3,90.76,2483900,-0.16,-0.17598,90.9625
2020-10-22,ALL,90.85,91.95,90.11,91.69,1479900,0.845,0.9246,91.15
2020-10-23,ALL,92.52,92.66,90.91,91.25,1166239,-1.27,-1.37,91.835
2020-10-26,ALL,90.57,90.89,89.53,90.82,1662701,0.25,0.27603,90.4525
2020-10-27,ALL,90.58,90.88,89.0,89.04,1800000,-1.54,-1.7,89.875
2020-10-28,ALL,87.75,88.95,87.33,88.0,2620500,0.25,0.2849,88.0075
2020-10-29,ALL,87.44,89.43,86.51,88.59,1653832,1.15,1.32,87.9925
2020-10-30,ALL,88.28,89.4,87.7,88.75,1796409,0.47,0.5324,88.5325
2020-11-02,ALL,90.04,91.24,89.12,90.9,1922400,0.86,0.95513,90.325
2020-11-03,ALL,92.4,94.32,92.29,92.92,1724816,0.52,0.56277,92.9825
2020-11-04,ALL,91.57,94.1,90.6,92.04,2148700,0.47,0.51327,92.0775
2020-11-05,ALL,93.26,94.14,90.07,90.41,2740200,-2.85,-3.06,91.97
2020-11-06,ALL,91.34,92.48,90.42,91.15,1507500,-0.19,-0.20801,91.3475
2020-11-09,ALL,96.63,96.99,91.16,93.89,3943200,-2.74,-2.84,94.6675
2020-11-10,ALL,94.79,94.91,93.07,94.44,2607700,-0.35,-0.36924,94.3025
