date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,AMD,75.37,78.96,75.07,78.2,80286888,2.83,3.75,77.74
2020-07-31,AMD,78.67,78.96,75.36,77.43,71675667,-1.24,-1.58,77.08
2020-08-03,AMD,78.19,78.5,77.06,77.67,42628144,-0.52,-0.66505,77.87
2020-08-04,AMD,78.03,85.805,77.99,85.04,155676106,7.01,8.98,83.57
2020-08-05,AMD,84.96,86.32,83.32,85.31,65737306,0.35,0.41196,85.1
2020-08-06,AMD,85.49,86.98,84.7801,86.71,53961739,1.22,1.43,86.13
2020-08-07,AMD,86.67,87.29,82.6702,84.85,66543157,-1.82,-2.1,84.88
2020-08-10,AMD,85.05,85.16,79.3221,82.24,70536143,-2.81,-3.3,81.99
2020-08-11,AMD,80.71,80.71,76.1,76.88,77877661,-3.83,-4.75,78.84
2020-08-12,AMD,78.43,82.88,77.55,82.61,88607829,4.18,5.33,81.08
2020-08-13,AMD,82.88,84.02,81.54,81.84,57407355,-1.04,-1.25,82.52
2020-08-14,AMD,81.81,83.24,80.88,81.3,42389477,-0.51,-0.6234,81.76
2020-08-17,AMD,82.09,83.06,81.552,82.42,31300155,0.33,0.402,82.43
2020-08-18,AMD,82.8,82.88,81.03,81.66,30970483,-1.14,-1.38,81.78
2020-08-19,AMD,81.7757,81.85,80.45,81.09,37507391,-0.6857,-0.83851,81.09
2020-08-20,AMD,79.74,82.84,79.12,82.77,42948860,3.03,3.8,81.8
2020-08-21,AMD,83.29,84.41,82.23,83.81,48280318,0.52,0.62432,83.42
2020-08-24,AMD,84.55,85.33,82.55,83.08,38035068,-1.47,-1.74,83.57
2020-08-25,AMD,83.36,86.62,82.35,86.35,49234399,2.99,3.59,84.82
2020-08-26,AMD,86.9694,87.72,85.2,86.02,47157273,-0.9494,-1.09,86.18
2020-08-27,AMD,86.35,86.58,82.94,83.8,42194222,-2.55,-2.95,84.38
2020-08-28,AMD,84.3,86.04,84.19,85.55,40723268,1.25,1.48,85.16
2020-08-31,AMD,85.05,92.64,85.05,90.82,90655945,5.77,6.78,90.1
2020-09-01,AMD,91.92,92.51,90.1899,92.18,56102560,0.26,0.28285,91.42
2020-09-02,AMD,94.01,94.28,88.74,90.22,50365918,-3.79,-4.03,90.71
2020-09-03,AMD,87.84,88.47,81.59,82.54,87462287,-5.3,-6.03,83.95
2020-09-04,AMD,81.45,84.39,76.33,82.01,82267760,0.56,0.68754,80.44
2020-09-08,AMD,78.05,81.88,78.0,78.69,54954472,0.64,0.81999,79.91
2020-09-09,AMD,81.4,82.44,79.28,81.91,53987878,0.51,0.62654,81.22
