date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,AMGN,1985,Q3,USD,87168410.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02638570555548736,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1985-12-31,AMGN,1985,Q4,USD,147350250.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0006786551091701575,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-03-31,AMGN,1986,Q1,USD,245848414.07999998,188148414.07999998,29.864827631746028,0.0,0.0,-11.98397541910828,3.6751592356687897,14.851063829787234,0.0,0.029855843498740618,0.0869274857028193,0.0,0.0,65100000.0,79200000.0,0.0021344717182497333,0.0,0.0021344717182497333,0.0024813895781637717,,-0.17640449438202246,0.0008135094169650379,,0.0,0.0,,0.0,0.0,,0.0,,,,37.142857142857146,0.0,0.0,37.142857142857146,37.142857142857146,,,80600000.0,56700000.0,Healthcare
1986-06-30,AMGN,1986,Q2,USD,330566319.36,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0015125557890109183,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-09-30,AMGN,1986,Q3,USD,248290053.44,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0012082642693236033,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-12-31,AMGN,1986,Q4,USD,313609397.12,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00031886799604329404,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-03-31,AMGN,1987,Q1,USD,626828728.32,576828728.32,60.718813507368424,0.0,0.0,-26.58196904700461,2.304147465437788,11.224137931034482,0.0,,0.06385124068462861,0.0,0.0,59300000.0,82600000.0,-0.0010330578512396695,0.0,-0.0010330578512396695,-0.0011904761904761906,,-0.23846153846153847,-0.00015953321135745612,,0.0,0.0,,0.0,0.0,,0.0,,,,64.42105263157895,0.0,0.0,64.42105263157895,64.42105263157895,,,84000000.0,52300000.0,Healthcare
1987-06-30,AMGN,1987,Q2,USD,622757092.48,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0008028812614704307,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-09-30,AMGN,1987,Q3,USD,543981629.52,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0007353189488272852,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-12-31,AMGN,1987,Q4,USD,517283996.8,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0007732696207005489,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
