date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1996-03-31,AMZN,1996,Q1,USD,1.0,1.0,1.0,0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-285.59125,0.0,0.0,0.0,380.78833333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.00025714285714285715,-8.571428571428571e-05,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1996-06-30,AMZN,1996,Q2,USD,1.0,1.0,1.0,0.0,0.0,-0.36363636363636365,-0.36363636363636365,-0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.9585,-0.12239625,-0.12239625,0.0,71.21236363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.001375,-0.0005,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1996-09-30,AMZN,1996,Q3,USD,1.0,1.0,1.0,0.0,0.0,-0.5714285714285714,-0.5714285714285714,-0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.9585,0.0,0.0,0.0,111.90514285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.000875,-0.0005,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1996-12-31,AMZN,1996,Q4,USD,1.0,-1.5833333333333333,-1.5833333333333333,0.0,0.0,-0.27380952380952384,-0.27380952380952384,-0.27380952380952384,0.0,0.0,0.0,8.4,1.0120481927710843,1.4489795918367347,1.3265306122448979,-0.46938775510204084,1.2653061224489797,-37.25103260869565,0.3725103260869565,0.3725103260869565,100.79691176470588,40.79875,0.0,0.0,0.0,0.0,0.0,0.0,2.4411764705882355,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0024,-0.0006571428571428571,0.0,0.0017714285714285714,0.0009714285714285714,0.0009714285714285714,0.0009714285714285714,,,,0.0,0.0,100.79691176470588,0.0,0.0,-25.301466165413533,,Consumer Cyclical
1997-03-31,AMZN,1997,Q1,USD,0.2625,-0.2,-0.15625,-0.2,0.0,-0.1875,-0.1875,-0.1875,0.0,2.0701754385964914,13.11111111111111,6.4,1.3675213675213675,1.0,0.9,-0.25842696629213485,0.8,-46.77070783,0.0,0.0,200.4458907,35.0780308725,1870.8283132000001,467.7070783,0.0,0.0,0.0,0.0,4.178571428571429,14.545454545454545,0.13333333333333333,0.075,0.25,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.002791405263194624,-0.000523388486848992,0.0,0.0012561323684375807,0.0004884959210590591,0.0004884959210590591,0.0004884959210590591,0.0002093553947395968,0.00015701654605469758,5.23388486848992e-05,0.0,0.0,200.4458907,0.0,0.0,-221.619397584,0.0,Consumer Cyclical
1997-06-30,AMZN,1997,Q2,USD,0.2222222222222222,-0.25089605734767023,-0.21863799283154123,-0.25089605734767023,0.0,-0.24014336917562723,-0.24014336917562723,-0.24014336917562723,0.0,2.1067961165048543,12.764705882352942,7.75,0.4421553090332805,3.4022988505747125,3.3045977011494254,-0.3314285714285714,2.7413793103448274,-12.84716666762541,-0.2569433333525082,-0.2569433333525082,7.550527778341251,12.340647551697527,3443.04066692361,245.93147620882925,0.003169572107765452,0.0043859649122807015,0.004366812227074236,0.004366812227074236,1.3837719298245614,1.3349282296650717,0.08045977011494253,0.05017921146953405,0.07142857142857142,0.0,0.0,0.0,7.0,1.0769230769230769,1.0769230769230769,0.0,0.0,0.0,0.006246268656250278,-0.0014999999998880596,4.4776119399643573e-05,0.010679104476814992,0.010208955223118734,0.010208955223118734,0.010208955223118734,0.00031343283579750503,0.0002910447760976832,2.2388059699821787e-05,0.0,0.0,7.550527778341251,0.0005808818987279111,0.0,-48.65640437579688,0.0,Consumer Cyclical
1997-09-30,AMZN,1997,Q3,USD,0.22691292875989447,-0.24274406332453827,-0.20316622691292877,-0.24274406332453827,0.0,-0.22427440633245382,-0.22427440633245382,-0.22427440633245382,0.0,1.9025974025974026,10.851851851851851,8.613636363636363,0.6602787456445993,2.6616161616161618,2.525252525252525,-0.35,2.257575757575758,-36.15500000212677,0.0,0.0,32.86818182011525,32.43456464570739,-148.10481928582047,-192.07343751129844,0.003484320557491289,0.0053475935828877,0.005319148936170213,0.005319148936170213,1.53475935828877,1.0147255689424364,-0.32323232323232326,-0.16886543535620052,1.296875,0.0,0.0,0.0,-32.0,-3.3684210526315788,-3.3684210526315788,0.0,0.0,0.0,0.006688235293724222,-0.0014999999999117646,3.52941176449827e-05,0.007888235293653633,0.0065999999996117645,0.0065999999996117645,0.0065999999996117645,-0.0011294117646394465,0.00033529411762733564,-0.001464705882266782,0.0,0.0,32.86818182011525,0.00016269818671913843,0.0,-153.86623377562466,0.0,Consumer Cyclical
1997-12-31,AMZN,1997,Q4,USD,0.22239031770045387,-0.14674735249621784,-0.12102874432677761,-0.14674735249621784,0.0,-0.14069591527987896,-0.14069591527987896,-0.14069591527987896,0.0,1.556302419232749,5.729573068777171,6.796216327369936,0.4411254371212728,3.0910417274584185,2.889676999393953,-0.06267886155394094,0.04210904356804561,-23.891141310683867,0.23891141310683867,0.23891141310683867,31.08497278015599,13.445543975150377,211.60725160891428,121.74663791197807,0.5218894316756093,2.7351963904725265,0.7322764600676074,0.7279949006773727,5.24094994928474,1.0487236034206477,0.16385715247693655,0.11043872919818457,0.5753424657534246,-5.333333333333333,0.0,4.866666666666666,0.09334799621493056,2.3548387096774195,2.3548387096774195,0.0,0.0,0.0,0.018670869729329215,-0.00262691510563936,0.022089248934538626,0.035413922727906964,0.008075927933906983,0.008075927933906983,0.008075927933906983,0.002061987125931971,0.0008756383685464533,0.0011863487573855174,0.0,0.0,31.08497278015599,0.08778729665541392,0.0,-120.63455709467999,0.0,Consumer Cyclical
1998-03-31,AMZN,1998,Q1,USD,0.2448512585812357,-0.11327231121281464,-0.09038901601830664,-0.11327231121281464,0.0,-0.11899313501144165,-0.11899313501144165,-0.11899313501144165,0.0,1.9200558561703613,5.65358917252013,8.943006241686279,0.6027295234023186,2.741305334378481,2.5004950699286272,-0.06710337114555041,2.0339122901109783,-44.5475,0.0,0.0,93.46729207646138,21.203386727688784,-214.8360769765824,-282.7118230358505,0.5336707883067714,3.903061481817723,0.7960457963441103,0.7946005863522879,7.313612750290009,0.9843838871900571,-0.13521597425636372,-0.075,1.3159420289855073,-11.549707602339181,0.0,-9.583333333333334,-0.0847052438425555,-3.165137614678899,-3.165137614678899,0.0,0.0,0.0,0.016807692307692308,-0.002,0.014881923076923077,0.022465384615384616,0.0038128846153846156,0.0038128846153846156,0.0038128846153846156,-0.001260576923076923,0.00039826923076923074,-0.0016588461538461538,0.0,0.0,93.46729207646138,0.04175858094428161,0.0,-231.89392405063288,0.0,Consumer Cyclical
1998-06-30,AMZN,1998,Q2,USD,0.24310344827586206,-0.14655172413793102,-0.08275862068965517,-0.14655172413793102,0.0,-0.18275862068965518,-0.18275862068965518,-0.18275862068965518,0.0,1.8462444276221717,5.154094511300264,8.27743684886542,0.26140314900655537,5.136546910627885,4.899699682998721,-0.03413053693764994,0.03507869417718703,-51.953125,-0.51953125,-0.51953125,111.73565142407872,37.97952586206897,-1255.879418472064,2063.5245901639346,0.7506101284706338,8.447842958228716,0.8941557343383827,0.8939610311025051,11.254634913388623,0.6074379732517831,0.029684111006061956,0.018405172413793105,-1.6430913348946137,-14.035087719298245,0.0,3.121345029239766,0.006409679065717974,0.37834485202906254,0.37834485202906254,0.0,0.0,0.0,0.02188679245283019,-0.004,0.06284716981132075,0.06413566037735849,0.007439433962264151,-0.0024469811320754716,0.007439433962264151,0.00040283018867924526,0.0010647169811320754,-0.0006618867924528302,0.0,0.0,111.73565142407872,0.07560561781813023,0.0,-493.35333333333335,0.0,Consumer Cyclical
