date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,AON,1985,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.12462908011869436,0.12462908011869436,0.12462908011869436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.09210527857143,0.0,0.0,0.0,4.034046548367953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526850125314,0.013008131707317072,1.3008131707317072,1.5245238066199547,0.18999999963809525,,,,,,,,,0.0,0.0,0.0,,0.0,,0.08000001,Financial Services
1985-12-31,AON,1985,Q4,USD,0.0,4.13572023313905,4.13572023313905,4.13572023313905,0.0,0.12017762975298363,0.12017762975298363,0.11823480432972523,0.0,0.0,0.0,0.0,0.11274525143161122,0.0,0.0,0.01947993521684362,0.0,10.081137081581986,0.0,0.0,1.7946890148319457,4.846108638717735,0.0,0.0,0.028757392746503112,0.09445986226744783,0.08630728775356875,0.08630728775356875,3.2847157981293043,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.42059508074989815,0.010430249022164276,1.0430249022164275,1.5827131770676641,0.19020671819880616,0.40369509012633453,0.0,4.273720926919596,4.273720926919596,4.273720926919596,,,,0.0,0.0,1.7946890148319457,0.05263299740890933,0.0,1.2334426833970875,0.08000001,Financial Services
1986-03-31,AON,1986,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.10916784203102962,0.10916784203102962,0.10916784203102962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67647059883721,-1.299264706889535,-1.299264706889535,0.0,5.972123127503526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058829448244416,0.008602151612903225,0.8602151612903224,1.557235140911704,0.16999999986821707,,,,,,,,,0.0,0.0,0.0,,0.0,,0.08000001,Financial Services
1986-06-30,AON,1986,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.10691264725494555,0.10691264725494555,0.10691264725494555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666664449066,0.4533333332390856,0.4533333332390856,0.0,4.561606281929318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950618094416761,0.009259261160714285,0.9259261160714285,1.964220374628736,0.21000000004365904,,,,,,,,,0.0,0.0,0.0,,0.0,,0.08296298,Financial Services
1986-09-30,AON,1986,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.09744732576985413,0.09744732576985413,0.09744732576985413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.571428569438668,0.0,0.0,0.0,3.7308404715559154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3950618094416761,0.010318778606965177,1.0318778606965175,2.1550103954584223,0.21000000004365904,,,,,,,,,0.0,0.0,0.0,,0.0,,0.08296298,Financial Services
1986-12-31,AON,1986,Q4,USD,0.0,4.039598108747045,4.039598108747045,4.039598108747045,0.0,0.097123719464145,0.097123719464145,0.09574468085106383,0.0,0.0,0.0,0.0,0.08596396152282888,0.0,0.0,0.010351054001847652,0.0,8.737613779462475,1.8348988936871176,1.8348988936871176,1.5088068627933449,3.3945181980102443,0.0,0.0,0.044692453597073564,0.23108581436077058,0.18770894089195533,0.18770894089195533,5.170577933450088,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.37126682572766695,0.010622660691421254,1.0622660691421253,2.300768340136744,0.22345917881942762,1.1961638395628185,0.0,5.176275501253273,5.176275501253273,5.176275501253273,,,,0.0,0.0,1.5088068627933449,0.15315798201828662,0.0,0.969011186203365,0.08296297999999999,Financial Services
1987-03-31,AON,1987,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.07900018244845831,0.07900018244845831,0.07900018244845831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55263158625866,-0.7738596496589685,-0.7738596496589685,0.0,3.334639282503193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4366472634604217,0.010344511221945138,1.0344511221945139,2.4050577350542324,0.18999999986836028,,,,,,,,,0.0,0.0,0.0,,0.0,,0.08296298,Financial Services
1987-06-30,AON,1987,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.09178057873246938,0.09178057873246938,0.09178057873246938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.293478272098646,0.39394021792468575,0.39394021792468575,0.0,3.0447209420734955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38647347878414123,0.01164992136304063,1.164992136304063,2.5059767857752733,0.229999999688588,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0888889,Financial Services
1987-09-30,AON,1987,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.07336471352053238,0.07336471352053238,0.07336471352053238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.964285703263274,-1.145892855875276,-1.145892855875276,0.0,2.9241078642265865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4232804757222456,0.01061994026284349,1.061994026284349,2.862411507591163,0.2100000002323009,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0888889,Financial Services
1987-12-31,AON,1987,Q4,USD,0.0,3.979366149696561,3.979366149696561,3.979366149696561,0.0,0.06055293324342549,0.06055293324342549,0.06041807147673635,0.0,0.0,0.0,0.0,0.10466954631433331,0.0,0.0,0.007541148807524353,0.0,8.116369710467707,0.0,0.0,1.2897717218191471,1.9658799730276466,0.0,0.0,0.061474831314756784,0.3853300300831711,0.2781503480871176,0.2781503480871176,6.268094142629623,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.42563727171492205,0.013110457227138644,1.3110457227138643,3.4488372093023254,0.20883720930232558,2.025581395348837,0.0,5.256744186046512,5.256744186046512,5.256744186046512,,,,0.0,0.0,1.2897717218191471,0.29875831789805857,0.0,0.6416104653133154,0.0888889,Financial Services
