date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,AOS,52.28,52.28,48.4,48.46,3136954,-3.82,-7.31,50.355
2020-07-31,AOS,48.86,49.31,47.16,48.14,2760800,-0.72,-1.47,48.3675
2020-08-03,AOS,48.27,49.15,48.04,48.37,1030100,0.1,0.20717,48.4575
2020-08-04,AOS,48.22,48.33,47.68,47.95,1193700,-0.27,-0.55993,48.045
2020-08-05,AOS,48.18,48.19,47.43,48.02,1105311,-0.16,-0.33209,47.955
2020-08-06,AOS,48.1,48.89,48.09,48.6,997647,0.5,1.04,48.42
2020-08-07,AOS,48.55,48.92,48.07,48.91,797429,0.36,0.7415,48.6125
2020-08-10,AOS,49.03,49.1,48.14,48.81,699208,-0.22,-0.4487,48.77
2020-08-11,AOS,49.24,50.41,49.24,49.77,1220500,0.53,1.08,49.665
2020-08-12,AOS,50.11,50.61,49.7,50.01,658600,-0.1,-0.19956,50.1075
2020-08-13,AOS,49.64,49.71,48.8,49.06,541500,-0.58,-1.17,49.3025
2020-08-14,AOS,48.99,49.97,48.65,49.76,770500,0.77,1.57,49.3425
2020-08-17,AOS,49.89,50.22,49.57,49.71,666200,-0.18,-0.36079,49.8475
2020-08-18,AOS,49.79,50.04,49.42,49.51,617530,-0.28,-0.56236,49.69
2020-08-19,AOS,49.58,49.86,49.4,49.46,658900,-0.12,-0.24203,49.575
2020-08-20,AOS,49.15,49.27,48.79,49.1,710130,-0.05,-0.10173,49.0775
2020-08-21,AOS,49.13,49.13,48.61,48.95,719200,-0.18,-0.36637,48.955
2020-08-24,AOS,49.21,49.84,49.13,49.71,478500,0.5,1.02,49.4725
2020-08-25,AOS,49.94,49.94,49.03,49.5,491700,-0.44,-0.88106,49.6025
2020-08-26,AOS,49.49,49.79,49.09,49.48,688100,-0.01,-0.0202061,49.4625
2020-08-27,AOS,49.87,49.87,49.02,49.2,772100,-0.67,-1.34,49.49
2020-08-28,AOS,49.31,49.44,48.85,49.36,780600,0.05,0.1014,49.24
2020-08-31,AOS,49.41,49.75,48.81,48.97,1196800,-0.44,-0.89051,49.235
