date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,APA,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.16901408450704225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.813459623943661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006366176470588235,0.6366176470588235,0.5400830324414756,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.030303,Energy
1985-12-31,APA,1985,Q4,USD,1.0,-2.3255131964809386,-2.3255131964809386,-2.3255131964809386,0.0,-0.20527859237536658,0.0,0.0,0.7445414847161572,0.0,0.0,0.083251953125,0.06357196122296793,1.06775956284153,0.9278688524590164,0.0,0.3180327868852459,0.0,0.0,0.0,1.0868374184070795,7.203086702639296,0.0,0.0,0.21290082028337062,0.5053097345132743,0.3356848912404468,0.3285799168152109,2.3734513274336284,0.0,,,0.0,-23.97222222222222,0.0,,,0.0,0.0,0.0,0.006433757961783439,0.643375796178344,0.6538863399040026,0.0,2.1898480943412637,0.5580085774547353,4.3336748627068795,4.3336748627068795,4.3336748627068795,,,,0.0,0.0,1.0868374184070795,0.4649359011340263,0.0,-4.170558090290037,0.030303,Energy
1986-03-31,APA,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.08588957055214724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.113352194171779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007995514511873351,0.7995514511873351,0.6199544668166234,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.030303,Energy
1986-06-30,APA,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.06511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.893890582325582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008234510869565217,0.8234510869565217,0.41376717713540284,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.030303,Energy
1986-09-30,APA,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.04044943820224719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.425492636179776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007995514511873351,0.7995514511873351,0.8564018317453687,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.030303,Energy
1986-12-31,APA,1986,Q4,USD,1.0,-1.4186046511627908,-1.4186046511627908,-1.4186046511627908,0.0,-0.2188782489740082,0.0,0.0,0.9759679572763685,0.0,0.0,0.13750940556809632,0.1002881053642475,1.2323796231681787,0.7034193998604327,0.0,0.12351709699930216,0.0,0.0,0.0,0.9714089161041466,2.7560904131326946,0.0,0.0,0.40705172177253396,1.4305689488910318,0.5885736956952986,0.5708669563418167,3.5144648023143685,0.0,,,0.0,-5.7548076923076925,0.0,,,0.0,0.0,0.0,0.007770007692307693,0.7770007692307692,1.4150479176650401,0.0,5.743429783463986,0.3426313015413298,4.014787115235695,4.014787115235695,4.014787115235695,,,,0.0,0.0,0.9714089161041466,1.4726743034523042,0.0,-4.63327106268081,0.03030303,Energy
1987-03-31,APA,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,-0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6278918536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005895525291828794,0.5895525291828794,0.48363307331349265,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.030303,Energy
1987-06-30,APA,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.740660969090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065167806451612905,0.651678064516129,0.5319963806448419,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.03030303,Energy
1987-09-30,APA,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.023715415019762844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.404569818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009222615217391305,0.9222615217391306,0.489123914111078,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.04242403,Energy
1987-12-31,APA,1987,Q4,USD,1.0,-9.132743362831858,-9.132743362831858,-9.132743362831858,0.0,-3.561946902654867,0.0,0.0,0.40429338103756707,0.0,0.0,0.06220754197632811,0.04481459448740829,1.2617309697601669,1.1657977059436913,0.0,0.5557872784150156,0.0,0.0,0.0,1.3177122416534182,7.33487610619469,0.0,0.0,0.47352766210588937,1.8982511923688394,0.6549643444871092,0.6525821596244131,4.008744038155803,0.0,,,0.0,-114.76,0.0,,,0.0,0.0,0.0,0.009324009230769233,0.9324009230769232,0.4430886020358549,0.0,4.681838856909829,1.044983295951817,2.466395846730555,2.466395846730555,2.466395846730555,,,,0.0,0.0,1.3177122416534182,1.4405658021261014,0.0,-1.7018808139534884,0.030303030000000005,Energy
