date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,APD,286.02,287.41,283.18,284.81,1042216,-1.21,-0.42305,285.355
2020-07-31,APD,285.62,286.74,281.06,286.63,1546200,1.01,0.35362,285.0125
2020-08-03,APD,288.08,288.63,278.33,278.41,1731001,-9.67,-3.36,283.3625
2020-08-04,APD,276.33,280.96,274.56,279.58,2065300,3.25,1.18,277.8575
2020-08-05,APD,281.15,288.04,281.08,284.62,1668673,3.47,1.23,283.7225
2020-08-06,APD,283.66,284.97,281.06,282.99,1293700,-0.67,-0.2362,283.17
2020-08-07,APD,283.33,283.33,279.2,281.69,861700,-1.64,-0.57883,281.8875
2020-08-10,APD,280.78,281.79,278.9,281.24,980600,0.46,0.16383,280.6775
2020-08-11,APD,282.11,284.69,280.85,281.6,967000,-0.51,-0.18078,282.3125
2020-08-12,APD,284.0,287.36,282.61,285.4,755400,1.4,0.49296,284.8425
2020-08-13,APD,284.28,288.49,284.17,288.31,758243,4.03,1.42,286.3125
2020-08-14,APD,288.42,292.05,287.68,289.82,1017200,1.4,0.4854,289.4925
2020-08-17,APD,291.78,293.31,289.09,289.56,846100,-2.22,-0.76085,290.935
2020-08-18,APD,290.56,291.48,285.94,286.35,763944,-4.21,-1.45,288.5825
2020-08-19,APD,289.21,289.21,286.42,286.95,482832,-2.26,-0.78144,287.9475
2020-08-20,APD,284.08,286.39,283.49,286.07,430400,1.99,0.70051,285.0075
2020-08-21,APD,285.44,286.99,282.85,286.44,583520,1.0,0.35034,285.43
2020-08-24,APD,289.59,289.75,287.19,287.65,466100,-1.94,-0.66991,288.545
2020-08-25,APD,289.18,291.14,287.85,289.42,485400,0.24,0.08299329,289.3975
2020-08-26,APD,288.43,295.53,287.88,293.96,578054,5.53,1.92,291.45
2020-08-27,APD,294.9,295.16,292.05,292.75,426506,-2.15,-0.72906,293.715
2020-08-28,APD,293.38,297.11,293.16,296.76,502700,3.38,1.15,295.1025
2020-08-31,APD,295.35,299.46,292.09,292.26,601900,-3.09,-1.05,294.79
2020-09-01,APD,291.0,303.17,290.69,302.73,1071745,11.73,4.03,296.8975
2020-09-02,APD,302.49,310.74,301.82,310.31,1296600,7.82,2.59,306.34
2020-09-03,APD,307.98,308.94,292.91,297.18,1320653,-10.8,-3.51,301.7525
2020-09-04,APD,298.91,300.71,291.06,298.43,1375400,-0.48,-0.16058,297.2775
2020-09-08,APD,294.89,298.31,292.0,294.52,1109400,-0.37,-0.12547,294.93
2020-09-09,APD,298.18,306.83,297.95,303.27,1025400,5.09,1.71,301.5575
2020-09-10,APD,302.7,306.04,294.1,295.23,1181383,-7.47,-2.47,299.5175
2020-09-11,APD,297.81,302.13,297.1,300.32,625800,2.51,0.84282,299.34
2020-09-14,APD,303.58,306.8,301.27,303.97,611026,0.39,0.12847,303.905
2020-09-15,APD,305.88,307.93,303.96,304.04,700700,-1.84,-0.60154,305.4525
2020-09-16,APD,304.26,306.76,302.29,302.46,810008,-1.8,-0.5916,303.9425
2020-09-17,APD,298.7,302.84,297.17,301.98,739700,3.28,1.1,300.1725
2020-09-18,APD,299.8,303.3,294.84,295.81,1150800,-3.99,-1.33,298.4375
2020-09-21,APD,291.37,291.6,284.64,290.78,762600,-0.59,-0.20249,289.5975
2020-09-22,APD,292.66,293.74,289.44,293.45,671700,0.79,0.26994,292.3225
2020-09-23,APD,292.82,293.54,284.59,285.43,885100,-7.39,-2.52,289.095
2020-09-24,APD,285.51,291.86,284.23,289.99,795408,4.48,1.57,287.8975
2020-09-25,APD,286.25,291.69,285.0,290.71,566700,4.46,1.56,288.4125
2020-09-28,APD,294.12,295.81,292.13,292.67,742205,-1.45,-0.493,293.6825
2020-09-29,APD,294.63,296.78,291.81,293.86,603147,-0.77,-0.26134,294.27
2020-09-30,APD,293.67,299.32,293.06,297.86,1152700,4.19,1.43,295.9775
2020-10-01,APD,299.06,301.74,293.57,294.67,1316700,-4.39,-1.47,297.26
2020-10-02,APD,291.32,298.47,290.2,296.04,1030007,4.72,1.62,294.0075
2020-10-05,APD,298.29,304.67,296.19,300.32,1091900,2.03,0.68055,299.8675
2020-10-06,APD,301.53,304.24,295.92,296.2,1418600,-5.33,-1.77,299.4725
2020-10-07,APD,300.7,304.73,299.69,302.11,645800,1.41,0.46891,301.8075
2020-10-08,APD,303.02,304.68,299.09,299.66,745500,-3.36,-1.11,301.6125
2020-10-09,APD,302.29,303.46,299.23,300.6,962658,-1.69,-0.55907,301.395
2020-10-12,APD,303.88,304.86,301.88,302.88,706002,-1.0,-0.32908,303.375
2020-10-13,APD,302.43,306.82,300.4,301.1,798900,-1.33,-0.43977,302.6875
2020-10-14,APD,299.99,301.57,297.71,297.91,975462,-2.08,-0.69336,299.295
2020-10-15,APD,296.85,297.67,294.35,295.96,1054300,-0.89,-0.29981,296.2075
2020-10-16,APD,297.69,300.37,296.13,298.14,1398700,0.45,0.15116,298.0825
2020-10-19,APD,299.96,300.6,293.22,294.16,922900,-5.8,-1.93,296.985
2020-10-20,APD,295.51,297.39,294.1,294.49,535503,-1.02,-0.34517,295.3725
2020-10-21,APD,294.04,298.03,293.11,293.26,429800,-0.78,-0.26527,294.61
2020-10-22,APD,292.54,294.13,289.01,292.25,547411,-0.29,-0.09913174,291.9825
2020-10-23,APD,294.98,295.6,292.23,294.0,477528,-0.98,-0.33223,294.2025
2020-10-26,APD,289.94,291.26,283.04,286.4,636219,-3.54,-1.22,287.66
2020-10-27,APD,287.13,288.34,283.37,283.5,538641,-3.63,-1.26,285.585
2020-10-28,APD,277.0,279.65,272.75,272.98,903900,-4.02,-1.45,275.595
2020-10-29,APD,272.81,279.65,271.27,276.77,715629,3.96,1.45,275.125
2020-10-30,APD,274.92,278.05,271.68,276.24,827453,1.32,0.48014,275.2225
2020-11-02,APD,280.72,287.6,279.1,286.69,690200,5.97,2.13,283.5275
2020-11-03,APD,289.97,292.71,286.97,289.04,842319,-0.93,-0.32072,289.6725
2020-11-04,APD,289.97,291.89,284.64,289.29,924200,-0.68,-0.23451,288.9475
2020-11-05,APD,295.26,306.51,295.07,303.34,856416,8.08,2.74,300.045
2020-11-06,APD,303.43,307.78,302.14,306.72,745427,3.29,1.08,305.0175
2020-11-09,APD,318.91,327.89,312.51,312.67,1261700,-6.24,-1.96,317.995
2020-11-10,APD,315.08,315.57,309.52,309.97,1279783,-5.11,-1.62,312.535
