date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2007-03-31,APO,2007,Q1,USD,1782612122.2,,,,,,,0.0,10.923264903742684,,,0.17303926633013703,0.9961073197466467,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08080333248392402,0.8819377925354489,0.0007912810363302865,1.5,0.009967176366984229,0.0,0,0.0015130894243855575,0.0,,,,,,,,,,,,,Financial Services
2008-03-31,APO,2008,Q1,USD,1782612122.2,1940912122.2,125.7963654287381,9.820143702376978,10.219791394135333,-6.166519848133439,-0.5029388403494837,3.722338920939184,-2.0501846396415084,,11.43961919479872,0.20802817326905731,1.037068035644752,2800647000.0,2960593000.0,-0.02078989704683571,0.0,-0.021432898801563825,-1.1975205892948089,-0.08850662024469275,-0.08898551809095431,-0.054080188729460445,0.10653860008851229,0.03910526901632211,1.219854797979798,0.5009397887095729,0.0,0,18.360036295288094,0.030000690092429255,,,,5196.6148162551035,222.506985194,0.0,5196.6148162551035,4974.107831061104,31617000.0,,2015081000.0,1346548000.0,Financial Services
2008-09-30,APO,2008,Q3,USD,1782612122.2,,,0.0,0.0,,,0.0,0.0,,,0.4575013887504095,1.0149372690597394,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.2702758463267899,,0.0,0.0,,-0.9128455001595174,0,,0.0,,,,,0.0,0.0,,,,,,,Financial Services
2008-12-31,APO,2008,Q4,USD,1782612122.2,2427250122.2,117.27545645262597,-8.962959584799618,-8.72001164775789,-7.21663467195495,-1.916620334719823,1.4656600994292028,0.2517720144438701,,-6.555028575469877,0.22278716556938838,1.0141535252045166,498213000.0,695901000.0,-0.09908944398375127,0.0,-0.10456704679545926,0.4933025924539993,-0.23792648885733944,-0.24345430274984425,-0.13755095511040727,-0.15614950472594738,-0.02786096473898578,1.3422878491371641,0.3645455863168575,0.0,0,13.570420833937286,0.05238364264434649,,,,966.5052906218293,5.215967283072546,0.0,966.5052906218293,961.2893233387567,-922992000.0,,196160000.0,-580627000.0,Financial Services
2009-06-30,APO,2009,Q2,USD,1782612122.2,,,0.0,0.0,,,0.0,0.0,,,-0.304619622801441,0.9058785310317331,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.020966423112771092,,0.0,0.0,,0.1563626869147337,0,,0.0,,,,,,,,,,,,,Financial Services
2009-09-30,APO,2009,Q3,USD,1782612122.2,2227650122.2,10.424925110325946,15.123424094013496,15.307890314245856,-15.671453651501613,-3.130829352712333,2.2585864481823426,0.9316761543327008,,0.698080521557445,-0.2649999716097821,0.9348581923573033,1237670000.0,1426606000.0,-0.015173973502849896,0.0,-0.015790686367553423,0.11694676993778175,-0.06359134879091231,-0.07083818833022837,-0.026181242357087343,0.08163469673952607,0.012050401227443686,0.29237357931148084,0.008306619556824298,1.7676767204062054,0,1.2875119919507687,0.0390554818421791,,,,126.4738282986639,0.0,0.0,126.4738282986639,126.4738282986639,-299515000.0,,884729000.0,150177000.0,Financial Services
2009-12-31,APO,2009,Q4,USD,1782612122.2,2350220122.2,5.169761536177242,-20.454305203610062,-20.20651811710085,-105.56619153752862,-25.49557561873961,2.7177163643043354,-5.841433655312659,,3.03681464553209,0.2171519504537439,0.6619313329157889,1608382000.0,1793124000.0,0.0014914937003666256,-0.008789145329677303,0.0015448639317261323,-0.016606586062176847,-0.009808716376632876,-0.011594431340777377,0.002832360409267725,-0.06524694775241217,-0.012262730524538516,0.2298531810766721,0.003099366708534147,0.0,0,0.6059624864443951,0.03454688161427533,458908000.0,547353000.0,0.0,122.25424485656906,33.02544464585521,0.0,122.25424485656906,89.22880021071384,-683918000.0,-336274926.7128296,1182162000.0,458644000.0,Financial Services
2010-03-31,APO,2010,Q1,USD,1743284670.3999999,,,,,,,0.0,-1.2999357739242132,,,0.8778716509461258,1.1856197042983088,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.034809002241771796,0.05403535154036883,0.009765789252375746,0.15217035217035216,0.004154852097999052,1.8406710376843745,0,1.2238521606125388,0.0,,,,,0.0,0.0,,,,,,,Financial Services
2010-06-30,APO,2010,Q2,USD,1753497782.3999999,3209573782.3999996,40.48402853683148,-15.406940199692778,-15.315774873067378,-11.944866867386926,-5.4189855563288285,4.547007499310483,0.6894771332684632,,-6.2551278707565245,0.25957189502962874,1.0339462618742252,3240844000.0,3416141000.0,-0.015103191605710279,0.0,-0.015449811967372853,0.282501767422271,-0.07063939787753726,-0.0676638843217012,-0.042842369550749194,-0.11950970346433899,-0.005952380952380952,0.2052640291342493,0.01564076690211907,0.3432013118062563,0,3.531281533804238,0.022435247910755986,,,,600.8419525731584,9.485918655273776,1.8516100472297505,602.6935626203882,593.2076439651145,-1665636000.0,,1745231000.0,1037305000.0,Financial Services
2010-09-30,APO,2010,Q3,USD,1779187719.3999999,2121702719.3999999,4.625963356451855,6.4130585973322525,6.433632780949897,-62.81129457355161,-10.139879806980668,4.553293780998458,2.5000831242632167,,-1.7241504179415594,0.14792754369193814,0.9569572152373804,3505470000.0,3676581000.0,0.004570131257804626,-0.007732514626314769,0.0046660516137986005,-0.1549621260752343,-0.0074856685146070965,-0.009231110189233917,0.013567989333998323,0.18535593316213625,0.003197910778893789,0.1801157643854273,0.002306764838624575,0.0,0,0.6146590762911233,0.02055707135993021,687784000.0,300628500.0,6518500.0,166.06607202426247,110.23876098677815,1.276115493486083,167.34218751774856,57.10342653097041,-12732000.0,-121525865.7744442,2054149000.0,1372621000.0,Financial Services
