date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ARE,174.54,176.56,173.83,176.13,600100,1.59,0.91097,175.265
2020-07-31,ARE,175.47,177.63,173.42,177.55,840300,2.08,1.19,176.0175
2020-08-03,ARE,176.43,177.24,174.62,176.33,518100,-0.1,-0.0566797,176.155
2020-08-04,ARE,176.35,177.7,175.2,176.49,672630,0.14,0.07938758,176.435
2020-08-05,ARE,176.79,177.15,173.44,174.62,615903,-2.17,-1.23,175.5
2020-08-06,ARE,173.8,175.54,172.96,174.38,699900,0.58,0.33372,174.17
2020-08-07,ARE,173.92,176.11,173.92,175.65,419900,1.73,0.99471,174.9
2020-08-10,ARE,175.65,176.92,174.27,174.98,704628,-0.67,-0.38144,175.455
2020-08-11,ARE,176.06,176.58,171.0,172.05,624817,-4.01,-2.28,173.9225
2020-08-12,ARE,172.57,174.36,172.16,173.3,603300,0.73,0.42302,173.0975
2020-08-13,ARE,172.0,174.11,170.5,170.7,391400,-1.3,-0.75581,171.8275
2020-08-14,ARE,170.62,172.16,169.6,170.22,401519,-0.4,-0.23444,170.65
2020-08-17,ARE,170.56,174.13,169.84,173.42,551308,2.86,1.68,171.9875
2020-08-18,ARE,173.19,174.19,172.12,173.76,501249,0.57,0.32912,173.315
2020-08-19,ARE,174.0,174.0,171.11,171.42,503427,-2.58,-1.48,172.6325
2020-08-20,ARE,171.37,173.49,170.95,171.45,344731,0.08,0.04668262,171.815
2020-08-21,ARE,172.43,172.9,169.61,170.69,549860,-1.74,-1.01,171.4075
2020-08-24,ARE,169.99,171.21,168.43,171.21,446400,1.22,0.71769,170.21
2020-08-25,ARE,171.32,172.04,169.72,170.74,443268,-0.58,-0.33855,170.955
2020-08-26,ARE,170.78,170.87,169.18,170.39,401200,-0.39,-0.22836,170.305
2020-08-27,ARE,170.39,172.04,170.39,170.52,352249,0.13,0.07629556,170.835
2020-08-28,ARE,170.82,171.56,167.64,169.71,461100,-1.11,-0.64981,169.9325
2020-08-31,ARE,169.55,169.67,167.5,168.38,1077536,-1.17,-0.69006,168.775
