date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,ATO,104.81,105.77,104.7,105.42,566126,0.61,0.58201,105.175
2020-07-31,ATO,105.32,106.67,104.64,105.99,1333400,0.67,0.63616,105.655
2020-08-03,ATO,105.61,105.65,104.05,105.31,543700,-0.3,-0.28406,105.155
2020-08-04,ATO,104.13,105.61,104.12,104.81,754611,0.68,0.65303,104.6675
2020-08-05,ATO,104.8,105.98,103.25,103.69,1048191,-1.11,-1.06,104.43
2020-08-06,ATO,106.1,106.1,103.35,104.7,717700,-1.4,-1.32,105.0625
2020-08-07,ATO,103.89,106.61,103.89,105.71,567517,1.82,1.75,105.025
2020-08-10,ATO,106.43,107.02,105.58,106.04,561000,-0.39,-0.36644,106.2675
2020-08-11,ATO,106.67,106.67,103.3,103.53,695847,-3.14,-2.94,105.0425
2020-08-12,ATO,104.1,106.0,104.05,104.96,876000,0.86,0.82613,104.7775
2020-08-13,ATO,104.46,105.08,103.84,104.62,658200,0.16,0.15317,104.5
2020-08-14,ATO,104.73,105.22,103.52,104.5,986100,-0.23,-0.21961,104.4925
2020-08-17,ATO,104.51,105.07,103.98,104.12,1075202,-0.39,-0.37317,104.42
2020-08-18,ATO,103.85,104.29,102.94,103.0,846800,-0.85,-0.81849,103.52
2020-08-19,ATO,103.28,103.71,102.3,102.64,1088111,-0.64,-0.61967,102.9825
2020-08-20,ATO,102.21,103.01,101.61,101.7,811701,-0.51,-0.49897,102.1325
2020-08-21,ATO,101.18,101.2,99.08,100.84,1912400,-0.34,-0.33603,100.575
2020-08-24,ATO,100.86,101.92,99.59,101.91,543300,1.05,1.04,101.07
2020-08-25,ATO,102.24,102.24,99.72,100.44,463635,-1.8,-1.76,101.16
2020-08-26,ATO,100.12,100.12,98.5,99.3,570613,-0.82,-0.81902,99.51
2020-08-27,ATO,99.82,100.18,98.53,98.98,580900,-0.84,-0.84151,99.3775
2020-08-28,ATO,99.39,99.65,98.06,99.58,582400,0.19,0.19117,99.17
2020-08-31,ATO,99.51,100.21,99.12,99.82,636807,0.31,0.31153,99.665
2020-09-01,ATO,99.42,99.42,97.14,97.43,839000,-1.99,-2.0,98.3525
2020-09-02,ATO,97.51,99.03,97.16,98.43,1160100,0.92,0.94349,98.0325
2020-09-03,ATO,98.95,99.93,97.38,98.09,909800,-0.86,-0.86913,98.5875
2020-09-04,ATO,98.5,98.63,96.47,97.22,788913,-1.28,-1.3,97.705
2020-09-08,ATO,97.63,97.63,95.12,96.12,939300,-1.51,-1.55,96.625
2020-09-09,ATO,96.69,97.71,96.32,96.65,681748,-0.04,-0.04136932,96.8425
2020-09-10,ATO,96.45,96.45,94.26,94.27,645545,-2.18,-2.26,95.3575
2020-09-11,ATO,94.56,94.56,92.75,93.21,681630,-1.35,-1.43,93.77
2020-09-14,ATO,93.96,94.2,93.04,93.32,772965,-0.64,-0.68114,93.63
2020-09-15,ATO,93.64,94.59,91.9,92.35,1081100,-1.29,-1.38,93.12
2020-09-16,ATO,92.5,94.5,92.11,93.89,1320225,1.39,1.5,93.25
2020-09-17,ATO,93.83,94.19,92.96,93.42,690100,-0.41,-0.43696,93.6
2020-09-18,ATO,93.19,93.67,91.8,92.0,1570700,-1.19,-1.28,92.665
2020-09-21,ATO,91.24,92.48,90.49,92.27,1218733,1.03,1.13,91.62
2020-09-22,ATO,92.33,94.29,92.23,93.72,929900,1.39,1.51,93.1425
2020-09-23,ATO,93.58,94.16,92.72,92.87,856849,-0.71,-0.75871,93.3325
2020-09-24,ATO,92.81,94.22,92.51,93.59,716200,0.78,0.84043,93.2825
2020-09-25,ATO,93.23,95.51,92.89,95.25,956900,2.02,2.17,94.22
2020-09-28,ATO,95.3,95.76,94.65,95.04,550200,-0.26,-0.27282,95.1875
2020-09-29,ATO,95.17,95.93,94.89,95.1,927300,-0.07,-0.07355259,95.2725
2020-09-30,ATO,95.82,95.95,94.69,95.59,691027,-0.23,-0.24003,95.5125
2020-10-01,ATO,95.61,96.34,94.82,95.47,1124637,-0.14,-0.14643,95.56
2020-10-02,ATO,94.95,97.0,94.59,96.02,1090709,1.07,1.13,95.64
2020-10-05,ATO,96.59,96.59,94.95,95.22,1040800,-1.37,-1.42,95.8375
2020-10-06,ATO,95.36,97.87,95.36,96.98,863000,1.62,1.7,96.3925
2020-10-07,ATO,97.07,97.42,95.62,96.38,955300,-0.69,-0.71083,96.6225
2020-10-08,ATO,96.7,97.28,96.2,96.79,989900,0.09,0.09307135,96.7425
2020-10-09,ATO,97.4,97.8,95.99,96.51,1258800,-0.89,-0.91376,96.925
2020-10-12,ATO,96.31,97.27,96.11,96.61,896700,0.3,0.31149,96.575
2020-10-13,ATO,96.32,96.43,94.31,95.41,669440,-0.91,-0.94477,95.6175
2020-10-14,ATO,95.32,96.05,94.49,95.04,682500,-0.28,-0.29375,95.225
2020-10-15,ATO,94.41,95.44,93.43,94.5,967601,0.09,0.09532888,94.445
2020-10-16,ATO,94.37,95.07,93.42,94.49,923200,0.12,0.12716,94.3375
2020-10-19,ATO,94.76,95.01,93.9,94.24,557122,-0.52,-0.54875,94.4775
2020-10-20,ATO,94.41,94.7,93.11,94.28,658159,-0.13,-0.1377,94.125
2020-10-21,ATO,94.28,96.9,94.03,95.54,1079500,1.26,1.34,95.1875
2020-10-22,ATO,95.56,97.1,95.35,96.64,808405,1.08,1.13,96.1625
2020-10-23,ATO,97.26,98.19,96.96,97.69,593402,0.43,0.44211,97.525
2020-10-26,ATO,97.19,97.81,96.66,97.48,768047,0.29,0.29838,97.285
2020-10-27,ATO,97.66,98.17,97.03,97.07,704043,-0.59,-0.60414,97.4825
2020-10-28,ATO,96.07,96.65,92.62,92.69,837600,-3.38,-3.52,94.5075
2020-10-29,ATO,92.4,93.37,90.66,92.08,704148,-0.32,-0.34632,92.1275
2020-10-30,ATO,91.57,92.22,91.05,91.67,1483000,0.1,0.10921,91.6275
2020-11-02,ATO,92.51,95.6,92.37,95.51,865834,3.0,3.24,93.9975
2020-11-03,ATO,96.7,98.4,96.43,97.63,759500,0.93,0.96174,97.29
2020-11-04,ATO,97.0,98.59,95.49,95.59,672227,-1.41,-1.45,96.6675
2020-11-05,ATO,96.62,97.55,94.52,95.02,673400,-1.6,-1.66,95.9275
2020-11-06,ATO,95.46,95.69,93.32,93.64,507233,-1.82,-1.91,94.5275
