date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,AVB,149.75,151.2,145.68,151.2,1312000,1.45,0.96828,149.4575
2020-07-31,AVB,151.12,153.24,146.97,153.12,1412238,2.0,1.32,151.1125
2020-08-03,AVB,151.31,151.5,149.35,149.93,951100,-1.38,-0.91203,150.5225
2020-08-04,AVB,149.69,152.24,148.82,151.7,1087010,2.01,1.34,150.6125
2020-08-05,AVB,152.0,153.26,149.91,150.93,727305,-1.07,-0.70395,151.525
2020-08-06,AVB,149.75,151.85,149.75,150.97,584400,1.22,0.81469,150.58
2020-08-07,AVB,150.0,153.88,149.76,153.86,884726,3.86,2.57,151.875
2020-08-10,AVB,154.15,156.6,153.62,153.8,501332,-0.35,-0.22705,154.5425
2020-08-11,AVB,155.32,157.0,151.03,151.74,643720,-3.58,-2.3,153.7725
2020-08-12,AVB,151.95,153.02,150.87,152.91,539234,0.96,0.63179,152.1875
2020-08-13,AVB,151.79,154.91,150.6,150.7,825810,-1.09,-0.7181,152.0
2020-08-14,AVB,150.31,154.66,149.81,153.05,652707,2.74,1.82,151.9575
2020-08-17,AVB,153.17,155.4,152.51,155.37,591408,2.2,1.44,154.1125
2020-08-18,AVB,155.38,155.43,153.43,154.67,739700,-0.71,-0.45694,154.7275
2020-08-19,AVB,154.34,154.34,151.16,152.15,1082123,-2.19,-1.42,152.9975
2020-08-20,AVB,151.73,154.9,151.46,153.7,728800,1.97,1.3,152.9475
2020-08-21,AVB,153.93,154.96,151.04,152.41,616337,-1.52,-0.98746,153.085
2020-08-24,AVB,152.14,155.78,150.56,155.78,839545,3.64,2.39,153.565
2020-08-25,AVB,155.82,156.81,154.31,155.52,649500,-0.3,-0.19253,155.615
2020-08-26,AVB,154.55,154.9,152.24,153.85,969100,-0.7,-0.45293,153.885
2020-08-27,AVB,154.69,158.78,154.69,158.45,611459,3.76,2.43,156.6525
2020-08-28,AVB,158.84,160.13,156.83,159.62,839700,0.78,0.49106,158.855
2020-08-31,AVB,158.67,158.96,156.75,158.06,979100,-0.61,-0.38445,158.11
2020-09-01,AVB,157.05,158.38,155.83,158.2,1127429,1.15,0.73225,157.365
2020-09-02,AVB,158.18,161.33,157.2,161.3,965607,3.12,1.97,159.5025
2020-09-03,AVB,162.87,164.12,158.6,160.32,923500,-2.55,-1.57,161.4775
2020-09-04,AVB,160.35,163.31,159.15,162.1,855643,1.75,1.09,161.2275
2020-09-08,AVB,160.84,160.93,157.94,158.46,1135512,-2.38,-1.48,159.5425
2020-09-09,AVB,158.38,159.29,155.93,156.34,1214600,-2.04,-1.29,157.485
2020-09-10,AVB,155.72,156.13,151.35,152.52,1855918,-3.2,-2.05,153.93
2020-09-11,AVB,152.36,152.43,148.5,149.87,1353321,-2.49,-1.63,150.79
2020-09-14,AVB,150.87,156.08,150.14,154.56,1386100,3.69,2.45,152.9125
2020-09-15,AVB,154.54,155.9,152.47,152.57,896634,-1.97,-1.27,153.87
2020-09-16,AVB,152.68,154.91,152.19,153.09,966923,0.41,0.26854,153.2175
2020-09-17,AVB,151.97,154.85,150.51,153.5,850266,1.53,1.01,152.7075
2020-09-18,AVB,152.31,153.5,150.97,151.06,1945431,-1.25,-0.82069,151.96
2020-09-21,AVB,149.75,149.88,145.61,145.93,1579100,-3.82,-2.55,147.7925
2020-09-22,AVB,146.04,150.47,146.04,149.2,1055900,3.16,2.16,147.9375
2020-09-23,AVB,149.02,151.16,146.52,147.06,1294700,-1.96,-1.32,148.44
2020-09-24,AVB,146.44,148.62,145.01,146.96,1287300,0.52,0.35509,146.7575
2020-09-25,AVB,146.46,148.1,145.31,148.04,1225400,1.58,1.08,146.9775
2020-09-28,AVB,150.38,152.82,149.58,151.45,1126100,1.07,0.71153,151.0575
2020-09-29,AVB,149.34,150.78,146.44,147.52,851800,-1.82,-1.22,148.52
2020-09-30,AVB,148.65,150.48,147.31,149.34,1204300,0.69,0.46418,148.945
2020-10-01,AVB,149.72,155.63,149.61,155.6,1140147,5.88,3.93,152.64
2020-10-02,AVB,153.32,159.02,151.59,157.94,1487300,4.62,3.01,155.4675
2020-10-05,AVB,159.04,160.84,156.71,160.43,1135490,1.39,0.87399,159.255
2020-10-06,AVB,161.49,162.33,157.79,158.6,1100720,-2.89,-1.79,160.0525
2020-10-07,AVB,159.12,160.13,155.75,156.85,1024905,-2.27,-1.43,157.9625
2020-10-08,AVB,157.96,160.82,157.35,160.1,716104,2.14,1.35,159.0575
2020-10-09,AVB,161.01,161.82,157.29,158.34,883724,-2.67,-1.66,159.615
2020-10-12,AVB,158.99,159.66,157.33,159.1,867319,0.11,0.06918674,158.77
2020-10-13,AVB,155.5,158.16,152.87,154.9,1042500,-0.6,-0.38585,155.3575
2020-10-14,AVB,154.78,155.83,153.6,153.62,836300,-1.16,-0.74945,154.4575
2020-10-15,AVB,152.21,155.33,152.21,153.16,683102,0.95,0.62414,153.2275
2020-10-16,AVB,152.89,153.67,148.94,148.94,1420691,-3.95,-2.58,151.11
2020-10-19,AVB,149.73,150.57,145.25,145.41,1158205,-4.32,-2.89,147.74
2020-10-20,AVB,146.82,147.33,145.15,145.55,1045100,-1.27,-0.865,146.2125
2020-10-21,AVB,145.09,146.39,144.27,145.97,948005,0.88,0.60652,145.43
2020-10-22,AVB,146.32,147.24,144.93,146.48,521607,0.16,0.10935,146.2425
2020-10-23,AVB,147.72,148.25,145.66,145.79,788215,-1.93,-1.31,146.855
2020-10-26,AVB,145.0,145.29,142.02,143.38,912800,-1.62,-1.12,143.9225
2020-10-27,AVB,143.02,143.97,139.88,139.88,969500,-3.14,-2.2,141.6875
2020-10-28,AVB,137.5,137.78,131.38,132.71,2059930,-4.79,-3.48,134.8425
2020-10-29,AVB,132.71,137.82,132.06,136.13,1638844,3.42,2.58,134.68
2020-10-30,AVB,135.28,140.09,135.28,139.13,1330504,3.85,2.85,137.445
2020-11-02,AVB,140.1,145.35,137.9,145.34,1180842,5.24,3.74,142.1725
2020-11-03,AVB,147.03,153.29,146.75,151.15,1330700,4.12,2.8,149.555
2020-11-04,AVB,150.58,150.95,146.93,148.33,1178200,-2.25,-1.49,149.1975
