date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-08-31,AVY,1985,Q3,USD,664567520.0000001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01549880138589981,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-11-30,AVY,1985,Q4,USD,714276000.0,827976000.0,3.300023913909924,0.0,0.0,-1.405970453387672,-0.19307182883341822,1.7508513053348467,0.0,3.7921282810295205,-1.4178342825462427,0.0,0.0,132300000.0,403700000.0,0.020823165771921264,0.0,0.020823165771921264,0.04069952305246423,,-1.3429874572405929,0.01792024371531453,,0.0,0.0,,0.0,0.0,,0.0,,,,55.922678357911515,0.0,0.0,55.922678357911515,55.922678357911515,,,314500000.0,8300000.0,Industrials
1986-02-28,AVY,1986,Q1,USD,835702920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014239509896650834,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-05-31,AVY,1986,Q2,USD,885970080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.014560311111183348,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-08-31,AVY,1986,Q3,USD,767429040.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013551741539517452,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-11-30,AVY,1986,Q4,USD,830556880.0,1097756880.0,3.330573058252427,0.0,0.0,-1.56777617823479,-0.38160525564124537,1.6383066173448417,0.0,3.7038916972500195,-3.125,0.0,0.0,155300000.0,607900000.0,0.015436009676304574,0.0,0.017615354278953596,0.038285714285714284,,-1.1206786171574903,0.016133753536542856,,0.0,0.0,,0.0,0.0,,0.12371846561456054,,,,55.5127427184466,0.0,0.0,55.5127427184466,55.5127427184466,,,242600000.0,-119500000.0,Industrials
1987-02-28,AVY,1987,Q1,USD,1140152000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011401988506795586,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-05-31,AVY,1987,Q2,USD,1047185760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015183552534175025,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-08-31,AVY,1987,Q3,USD,1244519760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.010204739537442137,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-11-30,AVY,1987,Q4,USD,794422300.0,1039822300.0,2.6868793281653747,0.0,0.0,-1.090189033340323,-0.2572866429020759,1.5123609394313968,0.0,,-3.4097035040431267,0.0,0.0,165800000.0,686500000.0,-0.006661591168633422,0.0,-0.00751556796220743,-0.01502468340845675,,-1.3116061606160616,-0.008811434422221027,,0.0,0.0,,0.0,0.0,,0.11362771221926152,,,,58.41860465116279,0.0,0.0,58.41860465116279,58.41860465116279,,,346500000.0,-95500000.0,Industrials
