date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,AWK,146.82,147.98,145.85,146.63,591158,-0.19,-0.12941,146.82
2020-07-31,AWK,146.21,148.51,145.49,147.27,793400,1.06,0.72498,146.87
2020-08-03,AWK,147.0,147.37,145.4,147.06,582430,0.06,0.04081633,146.7075
2020-08-04,AWK,146.49,147.69,145.95,147.5,686016,1.01,0.68947,146.9075
2020-08-05,AWK,148.19,148.22,145.65,147.25,506559,-0.94,-0.63432,147.3275
2020-08-06,AWK,146.32,147.96,145.01,146.97,737600,0.65,0.44423,146.565
2020-08-07,AWK,147.0,150.04,146.09,149.79,785500,2.79,1.9,148.23
2020-08-10,AWK,150.21,150.47,148.44,149.11,598637,-1.1,-0.73231,149.5575
2020-08-11,AWK,148.23,148.5,141.71,142.42,740979,-5.81,-3.92,145.215
2020-08-12,AWK,143.13,147.08,142.8,145.87,602600,2.74,1.91,144.72
2020-08-13,AWK,145.28,147.17,144.29,146.51,613400,1.23,0.84664,145.8125
2020-08-14,AWK,146.16,146.68,144.79,145.31,378616,-0.85,-0.58155,145.735
2020-08-17,AWK,146.0,148.12,145.09,146.56,657915,0.56,0.38356,146.4425
2020-08-18,AWK,146.14,147.2,145.29,146.0,493300,-0.14,-0.09579855,146.1575
2020-08-19,AWK,146.75,147.2,143.59,143.92,603000,-2.83,-1.93,145.365
2020-08-20,AWK,143.55,145.31,143.17,144.28,432227,0.73,0.50853,144.0775
2020-08-21,AWK,144.38,144.79,142.61,143.64,603300,-0.74,-0.51254,143.855
2020-08-24,AWK,143.62,144.32,142.22,143.88,468644,0.26,0.18103,143.51
2020-08-25,AWK,143.98,143.98,142.35,143.53,389400,-0.45,-0.31254,143.46
2020-08-26,AWK,142.38,142.97,140.78,140.9,583913,-1.48,-1.04,141.7575
2020-08-27,AWK,141.88,142.76,140.37,141.37,704000,-0.51,-0.35946,141.595
2020-08-28,AWK,141.14,141.14,138.85,140.79,773425,-0.35,-0.24798,140.48
2020-08-31,AWK,142.15,142.68,140.87,141.34,881106,-0.81,-0.56982,141.76
2020-09-01,AWK,141.78,142.0,139.5,140.17,451719,-1.61,-1.14,140.8625
2020-09-02,AWK,140.4,144.93,139.75,144.15,934608,3.75,2.67,142.3075
2020-09-03,AWK,144.64,146.3,141.3,142.48,717315,-2.16,-1.49,143.68
2020-09-04,AWK,142.7,144.01,141.63,143.17,954231,0.47,0.32936,142.8775
2020-09-08,AWK,143.0,143.21,140.14,140.77,771700,-2.23,-1.56,141.78
2020-09-09,AWK,142.02,145.12,142.02,143.2,667600,1.18,0.83087,143.09
2020-09-10,AWK,142.74,143.42,140.71,140.77,575500,-1.97,-1.38,141.91
2020-09-11,AWK,141.56,141.77,140.28,141.1,482526,-0.46,-0.32495,141.1775
2020-09-14,AWK,142.14,143.82,141.25,142.88,684600,0.74,0.52061,142.5225
2020-09-15,AWK,144.16,144.84,142.85,143.59,812927,-0.57,-0.39539,143.86
2020-09-16,AWK,143.85,145.51,142.59,142.77,678200,-1.08,-0.75078,143.68
2020-09-17,AWK,142.33,142.97,139.71,141.02,733400,-1.31,-0.9204,141.5075
2020-09-18,AWK,140.75,141.84,138.0,138.28,1420912,-2.47,-1.75,139.7175
2020-09-21,AWK,137.94,140.08,137.01,139.72,746889,1.78,1.29,138.6875
2020-09-22,AWK,140.24,141.47,138.91,140.17,718100,-0.07,-0.04991443,140.1975
2020-09-23,AWK,140.65,141.21,138.04,138.05,585711,-2.6,-1.85,139.4875
2020-09-24,AWK,138.92,141.95,138.51,140.66,902957,1.74,1.25,140.01
2020-09-25,AWK,139.54,144.37,139.54,144.23,898100,4.69,3.36,141.92
2020-09-28,AWK,144.47,146.06,143.65,144.55,599200,0.08,0.05537482,144.6825
2020-09-29,AWK,144.75,145.1,142.88,143.7,565233,-1.05,-0.72539,144.1075
2020-09-30,AWK,144.63,146.28,144.14,144.88,1099637,0.25,0.17285,144.9825
2020-10-01,AWK,145.56,148.86,145.44,148.57,1478200,3.01,2.07,147.1075
2020-10-02,AWK,147.52,149.97,146.87,148.96,751224,1.44,0.97614,148.33
2020-10-05,AWK,149.25,152.16,148.59,151.89,707035,2.64,1.77,150.4725
2020-10-06,AWK,151.85,153.74,150.87,152.49,718400,0.64,0.42147,152.2375
2020-10-07,AWK,153.94,155.46,152.91,154.51,942414,0.57,0.37027,154.205
2020-10-08,AWK,155.0,156.39,154.08,155.85,554400,0.85,0.54839,155.33
2020-10-09,AWK,156.21,157.27,154.61,155.75,651915,-0.46,-0.29448,155.96
2020-10-12,AWK,156.65,160.0,156.29,158.32,571000,1.67,1.07,157.815
2020-10-13,AWK,156.33,156.35,154.5,156.08,592900,-0.25,-0.15992,155.815
2020-10-14,AWK,155.62,157.39,154.54,155.76,581917,0.14,0.08996273,155.8275
2020-10-15,AWK,154.54,157.17,153.55,155.86,513900,1.32,0.85415,155.28
2020-10-16,AWK,156.58,156.65,155.5,155.72,1120200,-0.86,-0.54924,156.1125
2020-10-19,AWK,156.26,157.54,153.98,154.52,1175100,-1.74,-1.11,155.575
2020-10-20,AWK,155.29,155.29,152.61,153.15,725600,-2.14,-1.38,154.085
2020-10-21,AWK,153.42,154.09,151.85,152.25,818400,-1.17,-0.76261,152.9025
2020-10-22,AWK,153.05,153.96,152.34,153.61,455532,0.56,0.36589,153.24
2020-10-23,AWK,153.88,154.68,152.99,154.08,423700,0.2,0.12997,153.9075
2020-10-26,AWK,154.3,155.02,152.0,154.01,676200,-0.29,-0.18795,153.8325
2020-10-27,AWK,154.36,156.18,153.67,154.62,621100,0.26,0.16844,154.7075
2020-10-28,AWK,152.76,155.6,152.51,153.0,874739,0.24,0.15711,153.4675
2020-10-29,AWK,152.92,153.96,150.15,152.16,534010,-0.76,-0.49699,152.2975
2020-10-30,AWK,151.3,152.34,149.23,150.51,831800,-0.79,-0.52214,150.845
2020-11-02,AWK,152.0,155.07,151.64,154.3,731306,2.3,1.51,153.2525
2020-11-03,AWK,156.06,159.41,155.49,157.1,742245,1.04,0.66641,157.015
2020-11-04,AWK,158.26,160.56,155.25,155.41,728451,-2.85,-1.8,157.37
2020-11-05,AWK,160.0,162.84,155.5,158.21,766900,-1.79,-1.12,159.1375
2020-11-06,AWK,158.85,161.94,157.8,161.13,745149,2.28,1.44,159.93
2020-11-09,AWK,171.99,172.56,161.93,162.33,1347557,-9.66,-5.62,167.2025
2020-11-10,AWK,162.21,164.59,161.63,163.51,1021400,1.3,0.80143,162.985
2020-11-11,AWK,164.49,165.7,163.18,164.37,968018,-0.12,-0.07295276,164.435
2020-11-12,AWK,164.22,164.71,160.11,161.41,863600,-2.81,-1.71,162.6125
2020-11-13,AWK,161.92,162.9,160.64,161.31,634930,-0.61,-0.37673,161.6925
2020-11-16,AWK,162.97,165.63,161.01,165.55,902800,2.58,1.58,163.79
2020-11-17,AWK,163.93,164.56,158.88,159.29,1082646,-4.64,-2.83,161.665
2020-11-18,AWK,160.67,160.71,155.97,156.19,858147,-4.48,-2.79,158.385
2020-11-19,AWK,156.88,157.2,154.54,156.65,913020,-0.23,-0.14661,156.3175
2020-11-20,AWK,155.78,160.11,155.78,157.71,992800,1.93,1.24,157.345
2020-11-23,AWK,157.77,158.14,154.76,155.22,617782,-2.55,-1.62,156.4725
2020-11-24,AWK,156.53,156.88,152.88,153.2,1006008,-3.33,-2.13,154.8725
2020-11-25,AWK,153.98,154.97,151.11,153.13,1113615,-0.85,-0.55202,153.2975
2020-11-27,AWK,152.81,154.19,151.71,153.73,504000,0.92,0.60205,153.11
2020-11-30,AWK,154.0,154.81,152.14,153.38,1059733,-0.62,-0.4026,153.5825
2020-12-01,AWK,154.58,156.41,154.04,154.3,797309,-0.28,-0.18114,154.8325
2020-12-02,AWK,154.73,155.36,152.71,154.83,794103,0.1,0.06462871,154.4075
2020-12-03,AWK,153.98,155.46,151.92,152.48,707801,-1.5,-0.97415,153.46
2020-12-04,AWK,152.34,152.88,147.9,148.9,1318436,-3.44,-2.26,150.505
2020-12-07,AWK,148.84,151.15,148.57,150.32,1042500,1.48,0.99436,149.72
2020-12-08,AWK,149.56,150.25,148.62,149.35,811100,-0.21,-0.14041,149.445
2020-12-09,AWK,150.09,150.09,147.79,148.47,919328,-1.62,-1.08,149.11
2020-12-10,AWK,148.65,148.65,146.54,148.07,888000,-0.58,-0.39018,147.9775
2020-12-11,AWK,147.97,148.82,146.74,148.28,760116,0.31,0.2095,147.9525
2020-12-14,AWK,150.12,151.33,148.46,148.55,811169,-1.57,-1.05,149.615
2020-12-15,AWK,149.01,153.35,148.81,152.99,1575907,3.98,2.67,151.04
2020-12-16,AWK,153.83,154.76,150.26,150.37,821500,-3.46,-2.25,152.305
2020-12-17,AWK,151.26,153.2,150.7,151.86,925500,0.6,0.39667,151.755
2020-12-18,AWK,151.99,152.56,149.71,150.24,1891400,-1.75,-1.15,151.125
2020-12-21,AWK,148.95,149.39,147.03,149.11,1134620,0.16,0.10742,148.62
2020-12-22,AWK,149.34,149.34,147.41,148.06,823700,-1.28,-0.8571,148.5375
2020-12-23,AWK,148.95,150.66,147.35,147.41,731508,-1.54,-1.03,148.5925
2020-12-24,AWK,147.88,149.14,147.42,149.14,253700,1.26,0.85204,148.395
2020-12-28,AWK,149.59,151.01,148.99,149.65,546646,0.06,0.04010963,149.81
2020-12-29,AWK,150.79,151.88,149.94,150.73,685145,-0.06,-0.03979044,150.835
2020-12-30,AWK,150.9,151.7,150.26,150.63,361819,-0.27,-0.17893,150.8725
2020-12-31,AWK,150.59,153.6,150.21,153.47,521957,2.88,1.91,151.9675
2021-01-04,AWK,153.53,153.79,148.62,150.24,1378900,-3.29,-2.14,151.545
