date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,AXP,1985,Q3,USD,8134224670.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.030119649989947966,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1985-12-31,AXP,1985,Q4,USD,10404264000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026239241910816568,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1986-03-31,AXP,1986,Q1,USD,13498865599.999998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020520242826923177,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1986-06-30,AXP,1986,Q2,USD,12239864000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.023938174476448432,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1986-09-30,AXP,1986,Q3,USD,10903443480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03292537817603288,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1986-12-31,AXP,1986,Q4,USD,10783294740.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01678522236145425,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1987-03-31,AXP,1987,Q1,USD,14157922950.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022178394465693856,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1987-06-30,AXP,1987,Q2,USD,13045976490.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-7.6651985442908e-05,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1987-09-30,AXP,1987,Q3,USD,13548266620.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02391449836997672,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
1987-12-31,AXP,1987,Q4,USD,8517135800.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.012210677678756748,,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,,,,,Financial Services
