date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,BA,1985,Q3,USD,6727236777.6119995,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,BA,1985,Q4,USD,8100514811.372,4925514811.372,1.161952066848785,0.0,0.0,-0.5588285467860222,0.36022237349670977,1.5318089200815033,0.0,0.0,0.4683567165291578,0.0,0.0,2349000000.0,4215000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,18.78980891719745,0.0,0.0,18.78980891719745,18.78980891719745,,,4364000000.0,1884000000.0,Industrials
1986-03-31,BA,1986,Q1,USD,8836925565.884,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,BA,1986,Q2,USD,9767128000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-09-30,BA,1986,Q3,USD,8272436978.061999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,BA,1986,Q4,USD,7921307422.53,4026307422.5299997,0.8081708997450823,0.0,0.0,-0.375273317413552,0.36303476558859166,1.4981445485068032,0.0,0.0,0.5496751430661331,0.0,0.0,2819000000.0,5100000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,21.69610598153352,0.0,0.0,21.69610598153352,21.69610598153352,,,4826000000.0,2236000000.0,Industrials
1987-03-31,BA,1987,Q1,USD,8037512654.94,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,BA,1987,Q2,USD,7265521065.83,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-09-30,BA,1987,Q3,USD,7888813476.792,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,BA,1987,Q4,USD,5628735847.872001,2463735847.8720007,0.5357112084957601,0.0,0.0,-0.23359588962472747,0.3000853323219873,1.3183748584371462,0.0,0.0,-1.7967325760762867,0.0,0.0,2249000000.0,4803000000.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,30.25440313111546,0.0,0.0,30.25440313111546,30.25440313111546,,,4987000000.0,1734000000.0,Industrials
