date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,BA,162.88,164.5499,160.64,161.95,29312581,-0.93,-0.57097,162.24
2020-07-31,BA,161.55,163.4,156.26,158.0,30406015,-3.55,-2.2,158.9
2020-08-03,BA,156.51,163.58,153.41,162.27,38642270,5.76,3.68,159.68
2020-08-04,BA,164.63,167.4,163.01,165.07,30983423,0.44,0.26727,165.19
2020-08-05,BA,167.6,174.98,166.4,174.28,46630698,6.68,3.99,171.76
2020-08-06,BA,172.8,175.57,170.6,172.2,33023091,-0.6,-0.34722,172.78
2020-08-07,BA,171.5,171.8599,168.7,170.02,19395308,-1.48,-0.86297,170.39
2020-08-10,BA,171.36,179.79,171.33,179.41,35944562,8.05,4.7,177.42
2020-08-11,BA,184.51,189.97,179.53,180.13,61282125,-4.38,-2.37,185.96
2020-08-12,BA,184.01,184.149,173.19,175.44,40818670,-8.57,-4.66,176.83
2020-08-13,BA,173.62,179.47,172.4301,174.73,23061035,1.11,0.63933,176.12
2020-08-14,BA,173.09,179.47,172.35,178.08,32506107,4.99,2.88,177.22
2020-08-17,BA,178.24,178.29,171.4085,172.01,23438330,-6.23,-3.5,172.79
2020-08-18,BA,172.01,173.238,169.01,170.23,21567293,-1.78,-1.03,170.58
2020-08-19,BA,170.44,174.1,169.09,169.27,25660584,-1.17,-0.68646,171.13
2020-08-20,BA,168.54,170.84,165.86,169.58,23305261,1.04,0.61706,168.53
2020-08-21,BA,168.35,170.0839,167.27,167.5,17104597,-0.85,-0.5049,168.5
2020-08-24,BA,168.78,178.27,167.93,178.27,39288270,9.49,5.62,174.82
2020-08-25,BA,180.46,180.63,172.44,174.73,31497019,-5.73,-3.18,174.99
2020-08-26,BA,173.8,174.4299,171.35,171.9,16277130,-1.9,-1.09,172.47
2020-08-27,BA,174.71,181.31,173.5601,174.2,29673971,-0.51,-0.29191,176.7
2020-08-28,BA,175.11,177.28,172.57,175.8,20448794,0.69,0.39404,175.24
2020-08-31,BA,174.65,175.2699,171.7,171.82,16358094,-2.83,-1.62,172.72
2020-09-01,BA,170.71,175.49,169.25,172.1,19142446,1.39,0.81425,172.59
2020-09-02,BA,172.7398,175.0,171.45,174.78,16653255,2.0402,1.18,173.51
2020-09-03,BA,175.0,180.85,168.12,168.77,27954870,-6.23,-3.56,173.76
2020-09-04,BA,171.31,172.83,164.0,171.05,18982478,-0.26,-0.15177,169.23
2020-09-08,BA,165.8,166.9,160.5,161.08,22792300,-4.72,-2.85,163.01
2020-09-09,BA,161.61,163.06,157.0,160.78,22120083,-0.83,-0.51358,160.21
2020-09-10,BA,160.96,163.78,157.57,157.69,14604659,-3.27,-2.03,160.2
2020-09-11,BA,158.0,161.3592,156.32,160.23,14817541,2.23,1.41,159.38
2020-09-14,BA,161.75,165.94,158.9,165.35,17302693,3.6,2.23,163.15
2020-09-15,BA,166.65,168.84,163.33,163.49,14989151,-3.16,-1.9,165.17
2020-09-16,BA,161.95,170.57,160.31,167.46,21979733,5.51,3.4,166.44
2020-09-17,BA,164.63,168.455,161.05,167.53,19829837,2.9,1.76,165.67
2020-09-18,BA,165.66,169.72,161.02,161.14,22757297,-4.52,-2.73,164.06
2020-09-21,BA,157.83,158.83,154.2,156.35,23366484,-1.48,-0.93772,156.52
2020-09-22,BA,156.81,160.0678,154.95,156.8,17750426,-0.01,-0.00637714,156.57
2020-09-23,BA,157.33,160.42,150.89,151.18,18316817,-6.15,-3.91,155.12
2020-09-24,BA,150.29,150.31,145.02,146.05,27259289,-4.24,-2.82,147.02
2020-09-25,BA,146.85,156.3116,146.415,156.03,29242325,9.18,6.25,152.24
2020-09-28,BA,160.33,168.0,159.2,166.08,39025176,5.75,3.59,164.96
2020-09-29,BA,164.77,165.5,162.01,163.6,20022510,-1.17,-0.71008,163.76
2020-09-30,BA,164.5,170.98,164.11,165.26,38481207,0.76,0.46201,167.5
2020-10-01,BA,170.15,172.76,165.57,167.86,30827741,-2.29,-1.35,168.8
2020-10-02,BA,161.86,169.78,161.8,168.08,31951912,6.22,3.84,166.17
2020-10-05,BA,169.49,172.08,167.51,171.2,19080377,1.71,1.01,170.53
2020-10-06,BA,173.04,175.56,159.33,159.54,47241945,-13.5,-7.8,166.73
2020-10-07,BA,163.71,166.3447,162.38,164.61,26196841,0.9,0.54975,164.21
2020-10-08,BA,166.22,168.09,163.5401,168.0,20675717,1.78,1.07,166.35
2020-10-09,BA,169.93,170.0,166.82,167.33,17542732,-2.6,-1.53,168.29
2020-10-12,BA,167.75,169.2,165.95,167.35,12251078,-0.4,-0.23845,167.61
2020-10-13,BA,165.36,165.5299,162.09,162.14,15305103,-3.22,-1.95,163.59
2020-10-14,BA,162.7,165.17,162.49,163.24,10621917,0.54,0.3319,163.79
2020-10-15,BA,161.01,164.54,158.73,164.24,13326924,3.23,2.01,162.22
2020-10-16,BA,171.22,173.42,167.27,167.35,31962874,-3.87,-2.26,169.75
2020-10-19,BA,169.09,170.84,166.11,167.11,16470660,-1.98,-1.17,168.49
2020-10-20,BA,168.29,169.29,166.18,167.24,12386012,-1.05,-0.62392,167.6
2020-10-21,BA,166.44,167.63,163.82,163.86,11518449,-2.58,-1.55,165.39
2020-10-22,BA,164.7,169.63,164.095,169.07,14289760,4.37,2.65,167.26
2020-10-23,BA,169.99,170.26,166.05,167.36,10149000,-2.63,-1.55,167.67
2020-10-26,BA,164.95,165.5,159.05,160.83,16293503,-4.12,-2.5,161.35
2020-10-27,BA,159.16,160.25,155.0,155.24,15569361,-3.92,-2.46,157.13
2020-10-28,BA,153.0,153.95,148.0,148.14,20462751,-4.86,-3.18,150.68
2020-10-29,BA,148.03,150.1,146.6,148.29,14700833,0.26,0.17564,148.1
2020-10-30,BA,147.2,149.1699,141.58,144.39,15478186,-2.81,-1.91,143.97
2020-11-02,BA,145.75,149.59,143.38,148.6,13972594,2.85,1.96,147.03
2020-11-03,BA,151.83,154.82,150.64,153.65,12344755,1.82,1.2,153.22
2020-11-04,BA,153.17,155.4,151.17,151.63,11424805,-1.54,-1.01,153.11
2020-11-05,BA,152.48,157.63,152.1009,157.09,12010022,4.61,3.02,156.03
2020-11-06,BA,156.33,158.47,154.52,157.74,9067336,1.41,0.90194,156.7
2020-11-09,BA,179.0,184.46,172.16,179.36,49882245,0.36,0.20112,179.14
2020-11-10,BA,182.8,193.95,180.38,188.69,46675129,5.89,3.22,188.89
2020-11-11,BA,189.89,190.0,180.41,182.15,30213252,-7.74,-4.08,184.71
2020-11-12,BA,178.95,184.59,176.25,176.72,20531019,-2.23,-1.25,179.68
2020-11-13,BA,178.9997,187.27,178.71,187.11,19850837,8.1103,4.53,183.89
2020-11-16,BA,194.56,202.94,191.3501,202.4,41016441,7.84,4.03,199.09
2020-11-17,BA,200.25,211.2,196.05,210.05,38560374,9.8,4.89,205.91
2020-11-18,BA,223.02,223.02,203.0,203.3,66652030,-19.72,-8.84,213.28
2020-11-19,BA,200.45,209.44,199.9007,205.67,34434755,5.22,2.6,204.29
2020-11-20,BA,204.59,206.58,199.17,199.62,18352032,-4.97,-2.43,202.03
2020-11-23,BA,203.24,214.2099,201.87,211.53,28519342,8.29,4.08,208.9
2020-11-24,BA,219.43,222.95,215.76,218.49,31503618,-0.94,-0.42838,219.46
2020-11-25,BA,217.71,221.0,213.09,217.61,19308462,-0.1,-0.04593266,217.27
2020-11-27,BA,218.25,219.93,216.04,216.5,9970228,-1.75,-0.80183,217.24
2020-11-30,BA,215.7,217.7799,208.5188,210.71,16617944,-4.99,-2.31,212.61
2020-12-01,BA,214.31,218.09,213.0,213.01,15920791,-1.3,-0.6066,215.38
2020-12-02,BA,213.01,224.99,210.3,223.85,25998346,10.84,5.09,219.9
2020-12-03,BA,228.3,242.0,226.53,237.2,46205780,8.9,3.9,237.44
2020-12-04,BA,236.36,238.1799,230.25,232.71,29703227,-3.65,-1.54,233.94
2020-12-07,BA,238.5,244.08,237.11,238.17,33390517,-0.33,-0.13836,240.74
2020-12-08,BA,238.7,241.7,234.46,236.57,19803038,-2.13,-0.89233,237.07
2020-12-09,BA,238.64,240.84,228.28,232.06,19173889,-6.58,-2.76,234.24
2020-12-10,BA,228.1,237.01,228.02,234.43,16290620,6.33,2.78,234.36
2020-12-11,BA,232.82,236.22,228.33,230.33,17377380,-2.49,-1.07,231.84
2020-12-14,BA,235.0,237.63,228.37,228.62,19378290,-6.38,-2.71,232.41
2020-12-15,BA,230.0,232.5,224.36,229.5,19046157,-0.5,-0.21739,229.01
2020-12-16,BA,229.33,232.37,225.2959,225.87,17936837,-3.46,-1.51,227.95
2020-12-17,BA,227.24,228.49,220.53,221.24,17571133,-6.0,-2.64,223.88
2020-12-18,BA,222.05,223.464,218.61,219.75,19867007,-2.3,-1.04,220.38
2020-12-21,BA,212.34,219.43,211.1,219.31,18986118,6.97,3.28,216.03
2020-12-22,BA,223.28,223.89,217.7,218.78,13496585,-4.5,-2.02,219.95
2020-12-23,BA,219.55,224.4022,219.32,219.69,10959821,0.14,0.0637668,221.39
2020-12-24,BA,219.62,219.88,216.05,217.15,6457992,-2.47,-1.12,217.2
2020-12-28,BA,218.19,219.2,215.1627,216.09,9207162,-2.1,-0.96246,216.69
2020-12-29,BA,218.3,221.68,215.4,216.25,14696303,-2.05,-0.93907,217.74
2020-12-30,BA,216.36,218.554,214.365,216.67,10878245,0.31,0.14328,216.82
2020-12-31,BA,216.24,216.9,212.7,214.06,10540131,-2.18,-1.01,214.54
2021-01-04,BA,210.0,210.2,202.4911,202.72,21453084,-7.28,-3.47,205.45
2021-01-05,BA,204.74,213.35,204.6,211.63,19553787,6.89,3.37,209.63
2021-01-06,BA,210.22,215.61,209.34,211.03,16342978,0.81,0.38531,212.66
2021-01-07,BA,213.39,216.6,211.78,212.71,14567724,-0.68,-0.31867,213.28
2021-01-08,BA,213.61,214.1,208.155,209.9,14337707,-3.71,-1.74,211.02
2021-01-11,BA,203.03,207.7799,201.01,206.79,17177183,3.76,1.85,204.97
2021-01-12,BA,206.65,209.06,204.81,208.41,12915557,1.76,0.85168,207.05
2021-01-13,BA,207.15,208.79,204.85,207.21,8684558,0.06,0.02896452,206.71
2021-01-14,BA,208.79,214.19,208.21,209.91,12534041,1.12,0.53642,211.76
2021-01-15,BA,208.96,209.25,204.2,204.32,11331110,-4.64,-2.22,206.28
2021-01-19,BA,206.99,211.52,206.52,210.71,12100845,3.72,1.8,209.41
2021-01-20,BA,213.24,215.59,211.21,211.45,9824148,-1.79,-0.83943,212.92
2021-01-21,BA,211.72,211.93,206.34,207.41,11235529,-4.31,-2.04,208.0
