date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,BBY,1986,Q3,USD,35550449.79207,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01969032752311742,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1985-12-31,BBY,1986,Q4,USD,59764884.90893,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.030118020016985693,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-03-31,BBY,1987,Q1,USD,105348924.28694001,107148924.28694001,3.2867768186177915,0.0,0.0,-1.4840571230878117,-0.024930747922437674,1.8089171974522293,0.0,0.09069816662717685,-0.013799286607240837,0.0,0.0,12700000.0,16000000.0,0.03761755485893417,0.0,0.03761755485893417,0.08333333333333333,,-4.45679012345679,0.01139071906165408,,0.0,0.0,,0.0,0.0,,0.0,,,,9.386503067484663,0.0,0.0,9.386503067484663,9.386503067484663,,,14400000.0,10900000.0,Consumer Cyclical
1986-06-30,BBY,1987,Q2,USD,170437071.63571,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.008214175393674576,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-09-30,BBY,1987,Q3,USD,119479377.60055001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013391432330265457,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-12-31,BBY,1987,Q4,USD,130465117.59853,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.024527628985451168,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-03-31,BBY,1988,Q1,USD,136089857.5156,144489857.5156,2.0408171965480224,0.0,0.0,-0.9425300555485975,-0.0547945205479452,2.8803088803088803,0.0,0.20108495839598858,0.031433936945004376,0.0,0.0,48700000.0,61600000.0,0.0182648401826484,0.0,0.0182648401826484,0.02872531418312388,,-2.4846029173419772,0.011756937873320881,,0.0,0.0,,0.0,0.0,,0.0,,,,8.64406779661017,0.0,0.0,8.64406779661017,8.64406779661017,,,55700000.0,42700000.0,Consumer Cyclical
1987-06-30,BBY,1988,Q2,USD,118564213.1471,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.006747398551091109,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-09-30,BBY,1988,Q3,USD,145439749.59013,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00687569940692378,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-12-31,BBY,1988,Q4,USD,67753715.71648,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.022139007198909228,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
