date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,BBY,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.0319634703196347,0.0319634703196347,0.0319634703196347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.696589211453572,0.0,0.0,0.0,1.6233082096835616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13119504893129022,0.004193449052598317,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1985-12-31,BBY,1986,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.043689320388349516,0.043689320388349516,0.043689320388349516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.30067845957361,0.041037062047330215,0.041037062047330215,0.0,1.4506040026439322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24681442995292954,0.010783154706681388,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-03-31,BBY,1987,Q1,USD,1.0,-2.214723926380368,-2.214723926380368,-2.214723926380368,0.0,0.03680981595092025,0.03680981595092025,0.03680981595092025,9.588235294117647,0.0,0.0,9.878787878787879,1.0219435736677116,1.8089171974522293,0.29936305732484075,0.06857142857142857,0.006369426751592357,21.947692559779167,-0.6634188887387794,-0.6634188887387794,7.31589751992639,3.2315620946914114,0.0,0.0,0.05956112852664577,0.13194444444444445,0.1165644171779141,0.10559006211180125,2.2152777777777777,0.0,,,0.0,-361.0,0.0,,,0.0,0.0,,,,0.14995224779868374,0.0055197146428963345,0.008739548184585864,0.0004599762202413612,0.06623657571475601,0.06623657571475601,0.06623657571475601,,,,0.0,0.0,7.31589751992639,0.018035305180952293,0.0,-1.4840571230878117,,Consumer Cyclical
1986-06-30,BBY,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.03783783783783784,0.03783783783783784,0.03783783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.435191363519642,0.0,0.0,0.0,4.606407341505676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.17019120148930364,0.006439667083379057,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-09-30,BBY,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.037122969837587005,0.037122969837587005,0.037122969837587005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.66865275008594,0.0,0.0,0.0,2.7721433317993043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.1937309639943542,0.0071918687329690645,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-12-31,BBY,1987,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.03611738148984198,0.03611738148984198,0.03611738148984198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.192587312385157,0.10192587312385157,0.10192587312385157,0.0,1.4725182573197517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.398249731088162,0.014383737465938129,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-03-31,BBY,1988,Q1,USD,1.0,-2.1652542372881354,-2.1652542372881354,-2.1652542372881354,0.0,0.022598870056497175,0.022598870056497175,0.022598870056497175,10.411764705882353,0.0,0.0,5.488372093023256,0.8082191780821918,2.8803088803088803,0.47104247104247104,0.050156739811912224,0.10038610038610038,21.2640402368125,-0.42528080473625,-0.42528080473625,2.4432649464201077,1.9221731287514123,0.0,0.0,0.12557077625570776,0.19748653500897667,0.16491754122938532,0.09724473257698542,1.5727109515260322,0.0,,,0.0,-30.66,0.0,,,0.0,0.0,,,,0.3179318193866157,0.0071848998731438565,0.04939618662786402,0.011675462293858768,0.2501243268338205,0.2501243268338205,0.2501243268338205,,,,0.0,0.0,2.4432649464201077,0.08082894787908106,0.0,-0.9425300555485975,,Consumer Cyclical
1987-06-30,BBY,1988,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.010624169986719787,0.010624169986719787,0.010624169986719787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05131660846875,-0.7327927062563822,-0.7327927062563822,0.0,1.5745579435205843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.3381393502798328,0.0035924499365719282,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-09-30,BBY,1988,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.010438413361169102,0.010438413361169102,0.010438413361169102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3599373975325,0.0,0.0,0.0,1.5181602253667015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.4299875527580252,0.0044883878158457746,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-12-31,BBY,1988,Q4,USD,1.0,1.0,1.0,1.0,0.0,0.00929368029739777,0.00929368029739777,0.00929368029739777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.292285952746667,0.11041346264907854,0.11041346264907854,0.0,0.4197875818864932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7278919462715805,0.006764795039698703,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
