date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,BEN,20.69,20.86,20.47,20.67,3363700,-0.02,-0.09666506,20.6725
2020-07-31,BEN,20.62,21.06,20.5,21.05,13424200,0.43,2.09,20.8075
2020-08-03,BEN,21.05,21.61,20.91,21.47,3111300,0.42,2.0,21.26
2020-08-04,BEN,21.3,21.51,21.05,21.21,2346807,-0.09,-0.42254,21.2675
2020-08-05,BEN,21.37,22.24,21.37,22.18,3199415,0.81,3.79,21.79
2020-08-06,BEN,22.05,22.23,21.81,21.85,2363626,-0.2,-0.90703,21.985
2020-08-07,BEN,21.69,22.38,21.63,22.31,2108836,0.62,2.86,22.0025
2020-08-10,BEN,22.41,22.47,22.1,22.38,2345800,-0.03,-0.13387,22.34
2020-08-11,BEN,22.71,23.26,22.56,22.67,3962008,-0.04,-0.17613,22.8
2020-08-12,BEN,23.02,23.29,21.79,22.01,3520911,-1.01,-4.39,22.5275
2020-08-13,BEN,21.81,22.22,21.67,21.88,2031424,0.07,0.32095,21.895
2020-08-14,BEN,21.76,22.07,21.51,21.95,1613600,0.19,0.87316,21.8225
2020-08-17,BEN,21.9,22.06,21.56,21.8,2036514,-0.1,-0.45662,21.83
2020-08-18,BEN,21.8,22.03,21.69,21.72,2131700,-0.08,-0.36697,21.81
2020-08-19,BEN,21.68,21.98,21.56,21.67,1849400,-0.01,-0.04612546,21.7225
2020-08-20,BEN,21.45,21.56,21.17,21.17,2058500,-0.28,-1.31,21.3375
2020-08-21,BEN,21.12,21.32,20.79,20.99,2795800,-0.13,-0.61553,21.055
2020-08-24,BEN,21.04,21.58,20.94,21.57,2492040,0.53,2.52,21.2825
2020-08-25,BEN,21.77,21.88,21.4,21.46,1218900,-0.31,-1.42,21.6275
2020-08-26,BEN,21.4,21.43,21.17,21.3,1904900,-0.1,-0.46729,21.325
2020-08-27,BEN,21.32,21.58,21.09,21.35,2383800,0.03,0.14071,21.335
2020-08-28,BEN,21.52,21.52,21.06,21.33,2000836,-0.19,-0.8829,21.3575
2020-08-31,BEN,21.34,21.37,20.89,21.06,2796534,-0.28,-1.31,21.165
2020-09-01,BEN,20.87,21.12,20.75,21.02,1952400,0.15,0.71874,20.94
2020-09-02,BEN,21.0,21.87,20.92,21.77,3627400,0.77,3.67,21.39
2020-09-03,BEN,21.79,22.2,21.39,21.52,2798100,-0.27,-1.24,21.725
2020-09-04,BEN,21.82,21.97,21.29,21.3,2854200,-0.52,-2.38,21.595
2020-09-08,BEN,21.13,21.19,20.43,20.56,3195200,-0.57,-2.7,20.8275
2020-09-09,BEN,20.68,20.71,20.27,20.4,3017220,-0.28,-1.35,20.515
2020-09-10,BEN,20.27,20.43,20.02,20.07,3931926,-0.2,-0.98668,20.1975
2020-09-11,BEN,20.09,20.38,20.04,20.23,2852135,0.14,0.69686,20.185
2020-09-14,BEN,20.33,20.63,20.22,20.37,2438600,0.04,0.19675,20.3875
2020-09-15,BEN,20.42,20.6,20.37,20.39,2501308,-0.03,-0.14691,20.445
2020-09-16,BEN,20.41,21.38,20.37,21.06,2439641,0.65,3.18,20.805
2020-09-17,BEN,20.77,21.03,20.63,21.0,2173026,0.23,1.11,20.8575
2020-09-18,BEN,20.95,21.4,20.89,21.22,5448733,0.27,1.29,21.115
2020-09-21,BEN,20.69,21.01,20.02,20.1,4215171,-0.59,-2.85,20.455
2020-09-22,BEN,20.06,20.29,19.56,19.87,2695513,-0.19,-0.94716,19.945
2020-09-23,BEN,19.9,20.37,19.58,19.58,2798920,-0.32,-1.61,19.8575
2020-09-24,BEN,19.53,19.61,19.11,19.27,2818400,-0.26,-1.33,19.38
2020-09-25,BEN,19.16,19.74,19.15,19.64,2664957,0.48,2.51,19.4225
2020-09-28,BEN,20.0,20.58,19.99,20.47,2903104,0.47,2.35,20.26
2020-09-29,BEN,20.09,20.18,19.79,20.04,2218932,-0.05,-0.24888,20.025
2020-09-30,BEN,20.13,20.55,20.07,20.35,2446900,0.22,1.09,20.275
2020-10-01,BEN,20.31,20.39,19.83,19.99,2204217,-0.32,-1.58,20.13
2020-10-02,BEN,19.74,20.59,19.71,20.52,2501400,0.78,3.95,20.14
2020-10-05,BEN,20.78,21.1,20.72,20.8,2927300,0.02,0.09624639,20.85
2020-10-06,BEN,20.99,21.59,20.82,20.91,4209135,-0.08,-0.38113,21.0775
2020-10-07,BEN,20.86,21.85,20.86,21.74,3692138,0.88,4.22,21.3275
2020-10-08,BEN,22.22,22.7,22.17,22.32,6786308,0.1,0.45005,22.3525
2020-10-09,BEN,23.17,23.3,22.48,22.59,6501223,-0.58,-2.5,22.885
2020-10-12,BEN,22.59,23.03,22.53,22.97,3181700,0.38,1.68,22.78
2020-10-13,BEN,22.97,23.53,22.93,23.16,2854300,0.19,0.82717,23.1475
2020-10-14,BEN,23.1,23.73,23.09,23.41,2850600,0.31,1.34,23.3325
2020-10-15,BEN,23.04,23.66,22.97,23.62,2619129,0.58,2.52,23.3225
2020-10-16,BEN,23.67,23.83,23.38,23.49,2480706,-0.18,-0.76046,23.5925
2020-10-19,BEN,23.97,23.97,23.1,23.2,3682004,-0.77,-3.21,23.56
2020-10-20,BEN,23.46,23.48,22.97,22.98,3186800,-0.48,-2.05,23.2225
2020-10-21,BEN,22.92,23.08,22.7,22.76,2965017,-0.16,-0.69808,22.865
2020-10-22,BEN,22.8,23.23,22.54,23.18,2869500,0.38,1.67,22.9375
2020-10-23,BEN,23.29,23.41,23.12,23.22,3217975,-0.07,-0.30056,23.26
2020-10-26,BEN,22.9,22.94,22.23,22.84,4765129,-0.06,-0.26201,22.7275
2020-10-27,BEN,22.6,22.6,19.66,19.73,11141910,-2.87,-12.7,21.1475
2020-10-28,BEN,19.26,19.51,18.46,18.64,7277300,-0.62,-3.22,18.9675
2020-10-29,BEN,18.36,18.83,17.97,18.64,5961300,0.28,1.53,18.45
2020-10-30,BEN,18.54,18.81,18.27,18.75,6194148,0.21,1.13,18.5925
2020-11-02,BEN,19.05,19.59,18.95,19.59,4590032,0.54,2.83,19.295
2020-11-03,BEN,19.95,20.24,19.88,20.01,4171600,0.06,0.30075,20.02
2020-11-04,BEN,19.67,19.89,19.11,19.24,3853200,-0.43,-2.19,19.4775
2020-11-05,BEN,19.51,20.18,19.34,20.13,3157747,0.62,3.18,19.79
2020-11-06,BEN,20.16,20.22,19.22,19.41,3496917,-0.75,-3.72,19.7525
2020-11-09,BEN,21.03,21.54,20.34,20.42,6654223,-0.61,-2.9,20.8325
2020-11-10,BEN,20.42,20.82,20.19,20.76,4538000,0.34,1.67,20.5475
2020-11-11,BEN,20.88,21.01,20.23,20.36,4277053,-0.52,-2.49,20.62
2020-11-12,BEN,20.22,20.3,19.52,19.81,5805744,-0.41,-2.03,19.9625
2020-11-13,BEN,20.06,20.57,20.03,20.51,3202097,0.45,2.24,20.2925
2020-11-16,BEN,21.06,21.28,20.79,21.27,3534700,0.21,0.99715,21.1
2020-11-17,BEN,21.04,21.53,20.91,21.48,3153809,0.44,2.09,21.24
2020-11-18,BEN,21.58,21.98,21.32,21.32,3580800,-0.26,-1.2,21.55
2020-11-19,BEN,21.1,21.2,20.5,20.85,3678006,-0.25,-1.18,20.9125
2020-11-20,BEN,20.78,20.84,20.32,20.59,4344799,-0.19,-0.91434,20.6325
2020-11-23,BEN,20.64,21.34,20.61,21.26,2993600,0.62,3.0,20.9625
2020-11-24,BEN,21.68,22.38,21.43,22.37,5225481,0.69,3.18,21.965
2020-11-25,BEN,22.23,22.49,21.95,22.32,4278422,0.09,0.40486,22.2475
2020-11-27,BEN,22.16,22.44,22.02,22.27,2253439,0.11,0.49639,22.2225
2020-11-30,BEN,22.2,22.26,21.89,21.99,5934300,-0.21,-0.94595,22.085
2020-12-01,BEN,22.5,22.85,22.27,22.36,3723900,-0.14,-0.62222,22.495
2020-12-02,BEN,22.31,22.8,22.26,22.49,4945900,0.18,0.80681,22.465
2020-12-03,BEN,22.71,23.48,22.45,22.96,8103647,0.25,1.1,22.9
2020-12-04,BEN,23.0,23.75,22.79,23.71,3156764,0.71,3.09,23.3125
2020-12-07,BEN,23.6,23.67,23.26,23.57,3362100,-0.03,-0.12712,23.525
2020-12-08,BEN,23.38,24.18,23.37,23.96,3841220,0.58,2.48,23.7225
2020-12-09,BEN,24.04,24.4,23.72,23.98,3327900,-0.06,-0.24958,24.035
2020-12-10,BEN,23.68,24.37,23.68,24.26,3806700,0.58,2.45,23.9975
2020-12-11,BEN,24.0,24.62,23.96,24.33,4016426,0.33,1.37,24.2275
2020-12-14,BEN,24.47,24.63,23.72,23.73,3548900,-0.74,-3.02,24.1375
2020-12-15,BEN,23.97,24.64,23.92,24.62,3184712,0.65,2.71,24.2875
2020-12-16,BEN,24.81,24.95,24.66,24.75,2942861,-0.06,-0.24184,24.7925
2020-12-17,BEN,24.81,25.23,24.62,25.16,3623400,0.35,1.41,24.955
2020-12-18,BEN,25.17,25.34,24.66,25.01,6123900,-0.16,-0.63568,25.045
2020-12-21,BEN,24.77,24.89,24.35,24.82,3599500,0.05,0.20186,24.7075
2020-12-22,BEN,24.93,24.93,24.37,24.55,2930600,-0.38,-1.52,24.695
2020-12-23,BEN,24.75,25.08,24.69,24.74,2861300,-0.01,-0.04040404,24.815
2020-12-24,BEN,24.87,24.89,24.68,24.8,969501,-0.07,-0.28146,24.81
2020-12-28,BEN,25.04,25.31,24.97,25.04,2781624,0.0,0.0,25.09
2020-12-29,BEN,25.17,25.21,24.71,24.8,1886600,-0.37,-1.47,24.9725
