date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,BF-B,68.72,69.69,68.65,69.21,452046,0.49,0.71304,69.0675
2020-07-31,BF-B,69.05,69.44,68.2,69.34,899720,0.29,0.41999,69.0075
2020-08-03,BF-B,69.31,69.6,68.31,69.06,530000,-0.25,-0.3607,69.07
2020-08-04,BF-B,68.58,68.9,67.89,68.38,733100,-0.2,-0.29163,68.4375
2020-08-05,BF-B,68.38,69.07,67.15,67.53,651340,-0.85,-1.24,68.0325
2020-08-06,BF-B,67.12,67.63,66.52,67.63,645830,0.51,0.75983,67.225
2020-08-07,BF-B,67.29,69.32,67.29,68.72,647700,1.43,2.13,68.155
2020-08-10,BF-B,68.98,69.53,68.71,69.4,481800,0.42,0.60887,69.155
2020-08-11,BF-B,69.82,70.43,69.27,69.61,626000,-0.21,-0.30077,69.7825
2020-08-12,BF-B,70.01,72.1,69.99,71.21,623400,1.2,1.71,70.8275
2020-08-13,BF-B,71.24,71.98,71.12,71.48,455100,0.24,0.33689,71.455
2020-08-14,BF-B,71.44,71.67,70.86,71.13,357938,-0.31,-0.43393,71.275
2020-08-17,BF-B,71.21,72.2,71.21,72.04,466140,0.83,1.17,71.665
2020-08-18,BF-B,71.98,72.7,71.27,72.48,466500,0.5,0.69464,72.1075
2020-08-19,BF-B,72.64,73.5,72.27,72.73,501900,0.09,0.1239,72.785
2020-08-20,BF-B,72.29,72.63,72.11,72.3,434800,0.01,0.01383317,72.3325
2020-08-21,BF-B,72.24,72.8,71.01,72.08,796141,-0.16,-0.22148,72.0325
2020-08-24,BF-B,72.44,72.84,72.1,72.83,361101,0.39,0.53838,72.5525
2020-08-25,BF-B,72.8,72.8,72.16,72.48,388500,-0.32,-0.43956,72.56
2020-08-26,BF-B,72.46,72.98,71.83,72.79,463226,0.33,0.45542,72.515
2020-08-27,BF-B,72.95,73.32,72.71,72.9,306404,-0.05,-0.0685401,72.97
2020-08-28,BF-B,72.99,73.61,72.15,73.6,448800,0.61,0.83573,73.0875
2020-08-31,BF-B,73.73,74.06,73.14,73.17,826904,-0.56,-0.75953,73.525
2020-09-01,BF-B,73.22,73.24,71.2,72.6,943478,-0.62,-0.84676,72.565
2020-09-02,BF-B,75.0,83.4,73.96,79.89,2362994,4.89,6.52,78.0625
2020-09-03,BF-B,79.27,81.0,78.64,79.35,1231400,0.08,0.10092,79.565
2020-09-04,BF-B,79.15,80.69,78.68,80.12,908800,0.97,1.23,79.66
2020-09-08,BF-B,80.76,81.31,78.39,78.95,1208511,-1.81,-2.24,79.8525
2020-09-09,BF-B,79.34,82.31,79.31,81.14,910820,1.8,2.27,80.525
2020-09-10,BF-B,81.04,81.58,79.35,79.57,640707,-1.47,-1.81,80.385
2020-09-11,BF-B,78.96,80.28,78.65,79.35,604121,0.39,0.49392,79.31
2020-09-14,BF-B,79.59,80.11,79.19,79.49,575838,-0.1,-0.12564,79.595
2020-09-15,BF-B,80.05,80.35,78.77,78.96,974000,-1.09,-1.36,79.5325
2020-09-16,BF-B,79.26,79.46,77.67,77.94,745300,-1.32,-1.67,78.5825
2020-09-17,BF-B,77.22,77.53,76.6,77.3,1016613,0.08,0.1036,77.1625
2020-09-18,BF-B,77.0,77.35,75.39,76.36,1398000,-0.64,-0.83117,76.525
2020-09-21,BF-B,75.79,75.94,74.03,75.84,677111,0.05,0.06597176,75.4
2020-09-22,BF-B,75.63,77.05,75.6,76.15,739300,0.52,0.68756,76.1075
2020-09-23,BF-B,76.2,76.89,75.26,75.34,815837,-0.86,-1.13,75.9225
2020-09-24,BF-B,75.59,75.74,74.33,74.79,643700,-0.8,-1.06,75.1125
2020-09-25,BF-B,74.09,74.7,73.66,74.5,1345000,0.41,0.55338,74.2375
2020-09-28,BF-B,75.37,76.33,75.17,75.63,1115700,0.26,0.34496,75.625
2020-09-29,BF-B,75.6,76.31,75.11,75.23,830719,-0.37,-0.48942,75.5625
2020-09-30,BF-B,75.85,76.01,74.78,75.32,1109676,-0.53,-0.69875,75.49
2020-10-01,BF-B,75.92,76.73,74.92,75.48,881125,-0.44,-0.57956,75.7625
2020-10-02,BF-B,74.87,76.18,74.87,75.63,1115700,0.76,1.02,75.3875
2020-10-05,BF-B,75.92,76.55,75.26,76.4,525808,0.48,0.63224,76.0325
2020-10-06,BF-B,76.46,77.13,76.07,76.16,834146,-0.3,-0.39236,76.455
2020-10-07,BF-B,76.66,77.73,76.15,77.15,654600,0.49,0.63919,76.9225
2020-10-08,BF-B,77.43,78.1,76.91,78.0,588800,0.57,0.73615,77.61
2020-10-09,BF-B,78.17,78.66,78.04,78.42,708938,0.25,0.31982,78.3225
2020-10-12,BF-B,78.28,79.32,78.14,78.98,988600,0.7,0.89423,78.68
2020-10-13,BF-B,78.08,78.72,77.73,78.09,660700,0.01,0.01280738,78.155
2020-10-14,BF-B,77.67,78.53,77.18,77.49,602313,-0.18,-0.23175,77.7175
2020-10-15,BF-B,76.66,76.95,76.01,76.26,761600,-0.4,-0.52178,76.47
2020-10-16,BF-B,76.51,77.25,75.71,75.95,831745,-0.56,-0.73193,76.355
2020-10-19,BF-B,75.96,76.5,74.22,74.34,841200,-1.62,-2.13,75.255
2020-10-20,BF-B,74.9,75.5,74.24,74.47,631300,-0.43,-0.5741,74.7775
2020-10-21,BF-B,74.28,75.18,74.28,74.74,713429,0.46,0.61928,74.62
2020-10-22,BF-B,75.06,75.59,74.69,75.18,709008,0.12,0.15987,75.13
2020-10-23,BF-B,75.73,76.06,74.17,74.4,624724,-1.33,-1.76,75.09
2020-10-26,BF-B,73.77,73.9,72.2,72.76,694400,-1.01,-1.37,73.1575
2020-10-27,BF-B,73.02,73.24,72.11,72.29,616502,-0.73,-0.99973,72.665
2020-10-28,BF-B,71.51,71.77,69.59,69.63,853900,-1.88,-2.63,70.625
2020-10-29,BF-B,69.37,70.13,68.72,69.62,779700,0.25,0.36039,69.46
2020-10-30,BF-B,69.28,70.43,68.9,69.71,1199800,0.43,0.62067,69.58
2020-11-02,BF-B,70.52,71.96,70.24,70.86,847200,0.34,0.48213,70.895
2020-11-03,BF-B,71.95,73.43,71.92,72.94,633900,0.99,1.38,72.56
2020-11-04,BF-B,73.52,76.0,73.5,73.81,864647,0.29,0.39445,74.2075
2020-11-05,BF-B,75.06,75.44,73.56,75.11,725400,0.05,0.06661338,74.7925
2020-11-06,BF-B,75.23,76.08,75.19,75.27,772418,0.04,0.05317028,75.4425
2020-11-09,BF-B,78.76,80.32,76.22,76.98,1068300,-1.78,-2.26,78.07
2020-11-10,BF-B,76.9,79.16,76.9,78.65,760300,1.75,2.28,77.9025
2020-11-11,BF-B,79.04,79.46,77.81,78.52,498900,-0.52,-0.65789,78.7075
2020-11-12,BF-B,78.32,79.24,77.44,77.83,344632,-0.49,-0.62564,78.2075
2020-11-13,BF-B,78.59,79.64,78.13,79.58,448700,0.99,1.26,78.985
2020-11-16,BF-B,80.25,81.28,79.15,81.2,581148,0.95,1.18,80.47
2020-11-17,BF-B,80.71,81.8,79.87,81.23,437200,0.52,0.64428,80.9025
2020-11-18,BF-B,81.14,81.45,79.15,79.19,657600,-1.95,-2.4,80.2325
2020-11-19,BF-B,79.51,80.83,78.69,80.14,961325,0.63,0.79235,79.7925
2020-11-20,BF-B,80.16,80.87,79.26,79.76,719000,-0.4,-0.499,80.0125
2020-11-23,BF-B,80.2,80.51,79.51,80.1,619500,-0.1,-0.12469,80.08
2020-11-24,BF-B,80.84,82.14,80.67,81.82,710112,0.98,1.21,81.3675
2020-11-25,BF-B,81.73,82.24,81.14,81.15,595400,-0.58,-0.70965,81.565
2020-11-27,BF-B,81.16,81.38,80.49,81.1,308633,-0.06,-0.07392804,81.0325
2020-11-30,BF-B,81.52,81.85,80.46,80.66,2848300,-0.86,-1.05,81.1225
2020-12-01,BF-B,80.7,81.68,80.0,81.6,857307,0.9,1.12,80.995
2020-12-02,BF-B,81.54,81.99,79.22,79.88,964226,-1.66,-2.04,80.6575
2020-12-03,BF-B,79.23,79.79,78.19,78.6,1028400,-0.63,-0.79515,78.9525
2020-12-04,BF-B,78.67,79.84,78.67,79.79,1225600,1.12,1.42,79.2425
2020-12-07,BF-B,80.02,80.92,79.8,80.39,1608304,0.37,0.46238,80.2825
2020-12-08,BF-B,78.66,80.53,77.15,78.96,1823301,0.3,0.38139,78.825
2020-12-09,BF-B,78.96,79.53,76.57,76.75,1108100,-2.21,-2.8,77.9525
2020-12-10,BF-B,76.91,77.42,75.92,76.15,985327,-0.76,-0.98817,76.6
2020-12-11,BF-B,75.9,76.55,75.52,76.37,761200,0.47,0.61924,76.085
2020-12-14,BF-B,76.42,76.76,75.48,75.53,673219,-0.89,-1.16,76.0475
2020-12-15,BF-B,75.98,77.38,75.52,76.57,837400,0.59,0.77652,76.3625
2020-12-16,BF-B,76.55,77.83,76.26,77.79,1141370,1.24,1.62,77.1075
2020-12-17,BF-B,77.83,79.3,77.82,78.91,1344000,1.08,1.39,78.465
2020-12-18,BF-B,78.61,79.6,77.63,79.42,2231815,0.81,1.03,78.815
2020-12-21,BF-B,78.14,78.86,77.04,78.72,967934,0.58,0.74226,78.19
2020-12-22,BF-B,78.63,78.86,77.13,77.76,1314773,-0.87,-1.11,78.095
2020-12-23,BF-B,77.94,78.53,77.26,77.58,587945,-0.36,-0.46189,77.8275
2020-12-24,BF-B,77.42,78.09,76.72,78.03,235802,0.61,0.78791,77.565
2020-12-28,BF-B,78.74,78.96,77.57,78.35,631326,-0.39,-0.4953,78.405
2020-12-29,BF-B,79.01,79.18,78.22,78.94,520700,-0.07,-0.08859638,78.8375
2020-12-30,BF-B,79.33,79.78,78.53,78.68,446000,-0.65,-0.81936,79.08
2020-12-31,BF-B,78.51,79.62,77.72,79.43,594046,0.92,1.17,78.82
2021-01-04,BF-B,79.82,79.82,77.33,78.03,970426,-1.79,-2.24,78.75
2021-01-05,BF-B,77.73,78.16,76.47,77.9,896836,0.17,0.21871,77.565
2021-01-06,BF-B,77.42,77.99,76.96,77.55,1016112,0.13,0.16792,77.48
2021-01-07,BF-B,78.14,78.63,76.72,77.56,970627,-0.58,-0.74226,77.7625
2021-01-08,BF-B,78.17,78.57,77.53,78.43,773400,0.26,0.33261,78.175
2021-01-11,BF-B,78.43,78.81,76.96,77.24,696248,-1.19,-1.52,77.86
2021-01-12,BF-B,77.05,77.11,75.34,76.06,604000,-0.99,-1.28,76.39
2021-01-13,BF-B,75.77,75.93,74.92,75.64,884700,-0.13,-0.17157,75.565
2021-01-14,BF-B,76.34,76.49,73.34,73.46,943449,-2.88,-3.77,74.9075
2021-01-15,BF-B,72.99,74.08,72.27,73.9,970800,0.91,1.25,73.31
2021-01-19,BF-B,74.23,74.69,73.54,74.23,839544,0.0,0.0,74.1725
2021-01-20,BF-B,73.99,74.03,72.41,73.34,1171500,-0.65,-0.8785,73.4425
2021-01-21,BF-B,73.18,73.44,72.39,73.19,708200,0.01,0.01366494,73.05
2021-01-22,BF-B,72.91,73.59,72.01,72.84,896300,-0.07,-0.09600878,72.8375
2021-01-25,BF-B,72.7,73.14,71.71,71.97,861007,-0.73,-1.0,72.38
2021-01-26,BF-B,71.91,73.36,71.76,73.19,851100,1.28,1.78,72.555
2021-01-27,BF-B,72.52,74.05,72.14,73.35,1738020,0.83,1.14,73.015
2021-01-28,BF-B,74.0,75.15,73.41,74.13,1049000,0.13,0.17568,74.1725
