date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1999-03-31,BLK,1999,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.14332965821389196,0.14332965821389196,0.14332965821389196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.77786131519231,0.0,0.0,0.0,8.472423245755238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.667763707045592,0.2390400021123781,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1999-06-30,BLK,1999,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.14332965821389196,0.14332965821389196,0.14332965821389196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.77786131519231,0.0,0.0,0.0,8.472423245755238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.667763707045592,0.2390400021123781,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1999-09-30,BLK,1999,Q3,USD,1.0,1.2584158415841584,1.2584158415841584,1.2584158415841584,0.2811881188118812,0.1603960396039604,0.1603960396039604,0.1603960396039604,0.0,0.0,0.0,5.401069518716578,0.2277852954442941,14.161490683229813,14.161490683229813,0.05491525423728814,0.0,11.822289054166667,0.47289156216666667,0.47289156216666667,5.162293333625338,7.584993373366337,0.0,0.0,0.34551195308976096,1.0323450134770888,0.5079575596816976,0.4802101576182137,2.987870619946092,0.0,,,0.0,7.136645962732919,0.0,,,0.0,0.0,,,,1.8628889050339261,0.29880000258960004,2.8256889133781926,0.046111111510740745,2.7371555792775704,-0.8908666743875112,2.7371555792775704,,,,0.5704225352112676,0.22344610542879623,5.162293333625338,0.19997798396165553,0.4295774647887324,7.232764207002361,,Financial Services
1999-12-31,BLK,1999,Q4,USD,1.0,-2.4219372901471887,-2.3767663139955975,-2.4219372901471887,0.3058398677229892,0.1746482587922622,0.1746482587922622,0.1746482587922622,46.69872098531501,0.0,0.0,4.347179962076113,0.22025237833514305,7.979519114340079,7.979519114340079,0.12971698113207547,5.436049126448712,15.941057190277053,-1.5941057190277077,-1.5941057190277077,3.91346515681256,11.136311526359036,129.14112770027057,75.57680893432466,0.12601042937383541,0.20105088298410842,0.16739580798157458,0.09134313274554136,1.595509863613355,0.4766477373000389,0.5025428126621692,0.14735090940444914,0.5852264904309514,-8.7672695035461,0.0,0.5151063829787234,0.2575531914893617,2.410954356846473,2.410954356846473,0.0,0.0,0.0,1.543599059644858,0.26958688804034775,0.8831213617631186,2.495663388710158,4.392526651240436,1.35081554535359,4.392526651240436,0.22745072519452236,0.09434053554295727,0.1331101896515651,0.571044776119403,-0.12627902009155753,3.91346515681256,0.05137413390128671,0.42895522388059704,-4.255581324177138,0.0,Financial Services
2000-03-31,BLK,2000,Q1,USD,1.0,0.29722376457523597,0.340098093651675,0.29722376457523597,0.30367388487877106,0.17765130483064964,0.17765130483064964,0.17765130483064964,1.4911409173704255,0.0,0.0,4.142293096178173,0.2781968437041423,0.0,0.0,0.2694969691486474,0.0,16.909510548523205,1.521855949367091,1.521855949367091,4.328071758564829,12.015986451971127,-32.09847463660635,-37.2881366951927,0.0,0.0,0.0,0.0,1.2947407718512296,0.5805900462602286,0.0,-0.32224689987044236,1.1616793980816724,0.0,0.0,0.0,0.0,-6.185079928952042,-6.185079928952042,0.0,0.0,0.0,1.685254896128661,0.2993877312694976,0.0,1.4171050471185167,4.678757915676245,1.6868456420050735,4.678757915676245,-0.5430681657689453,0.08780293415884102,-0.6308710999277863,0.5850068566204479,1.0217012267264463,4.328071758564829,0.0,0.414993143379552,32.91821980354276,0.0,Financial Services
2000-06-30,BLK,2000,Q2,USD,1.0,0.30489202370059787,0.3484378747634826,0.30489202370059787,0.31671567277540397,0.18527862415719856,0.18527862415719856,0.18527862415719856,1.5580976899334247,0.0,0.0,3.927671749066676,0.2595422487313507,0.0,0.0,0.22888343907163547,0.0,22.28922522414537,2.228922522414535,2.228922522414535,5.789603819581739,16.518867932238322,52.19630275641386,45.81515428205381,0.0,0.0,0.0,0.0,1.3503940072294334,0.5953035058448375,0.0,0.36055467216245746,0.8777471173745934,0.0,0.0,0.0,0.0,8.179766223297058,8.179766223297058,0.0,0.0,0.0,1.755568245896768,0.32526926921381966,0.0,1.9749304523867515,5.008978317638159,1.9309519636691521,5.008978317638159,0.6329783333581297,0.07738342589245688,0.5555949074656729,0.584999859759347,1.0387797913874484,5.789603819581739,0.0,0.41500014024065296,44.43484810320212,0.0,Financial Services
2000-09-30,BLK,2000,Q3,USD,1.0,0.2891598343004362,0.33189246756094315,0.2891598343004362,0.30468046452259573,0.1782366622031151,0.1782366622031151,0.1782366622031151,1.64476243222009,0.0,0.0,3.389272254365943,0.2592940029848019,0.0,0.0,0.18944993856875264,0.0,22.544166952242872,2.4798583647467183,2.4798583647467183,5.974452291965024,16.072788278870174,43.460544519025134,34.73651394530192,0.0,0.0,0.0,0.0,1.4335551364001538,0.5460131093428653,0.0,0.4627058519510419,0.7992655023016517,0.0,0.0,0.0,0.0,4.98170474664868,4.98170474664868,0.0,0.0,0.0,1.9909426693605037,0.3548589760245764,0.0,2.6992886434697523,5.356139514752917,2.319749655185306,5.356139514752917,0.9212208240121333,0.18492079937733405,0.7363000246347994,0.5849953737020664,1.0536749174023723,5.974452291965024,0.0,0.4150046262979336,44.67789292876861,0.0,Financial Services
2000-12-31,BLK,2000,Q4,USD,1.0,0.30863544421969813,0.34755718064415747,0.30863544421969813,0.33095534463980086,0.19096001244748717,0.19096001244748717,0.19096001244748717,1.543393689063926,0.0,0.0,2.8189832887407342,0.23936551564888836,0.0,0.0,0.17509273414631255,0.0,26.138372036176975,4.704906966511853,4.704906966511853,6.969267191866196,19.965535397541622,76.73403857078786,58.65586176947866,0.0,0.0,0.0,0.0,1.4582922596886279,0.45962708488655035,0.0,0.34038431616617393,0.7644047265330377,0.0,0.0,0.0,0.0,4.244567326348467,4.244567326348467,0.0,0.0,0.0,2.003452409541957,0.3825792970640803,0.0,3.209295719924897,5.7394843530585025,2.744717332098406,5.7394843530585025,0.6819437783934126,0.16066273095968955,0.521281047433723,0.5769963094426553,1.0723180076628354,6.969267191866196,0.0,0.42300369055734466,53.13441343033016,0.0,Financial Services
2001-03-31,BLK,2001,Q1,USD,1.0,0.31351666679131546,0.356513024553321,0.31351666679131546,0.32593916639867176,0.1906827513480768,0.1906827513480768,0.1906827513480768,1.547020710401481,0.0,0.0,2.639444905049548,0.26718127738823405,0.0,0.0,0.31679323525535086,0.0,22.738948658613115,4.320400245136496,4.320400245136496,5.771349281010616,17.343701171948037,-66.91893980492873,-87.64537359688575,0.0,0.0,0.0,0.0,1.2454593418845537,0.4779418072633686,0.0,-0.19788495912765783,1.3097244793831966,0.0,0.0,0.0,0.0,-3.2286760219646125,-3.2286760219646125,0.0,0.0,0.0,2.075681519364906,0.3957966630348566,0.0,2.578204808473054,6.237709458765606,3.295500878922873,6.237709458765606,-0.4107461526215591,0.12721813827936343,-0.5379642909009226,0.5850255845437232,1.0396230916030533,5.771349281010616,0.0,0.41497441545627684,45.59843797856049,0.0,Financial Services
2001-06-30,BLK,2001,Q2,USD,1.0,1.2931495911638153,1.3403320962280612,0.31574278067749995,0.333715308068785,0.19391994795286185,0.19391994795286185,0.19391994795286185,1.729339265623402,0.0,0.0,2.384395712875476,0.23678912669764055,0.0,0.0,0.2290779842935615,0.0,21.08209302277926,8.432837209111735,8.432837209111735,5.15756029759462,16.352953526858983,28.691751520241784,25.44469981882182,0.0,0.0,0.0,0.0,1.331945195769367,0.4601930087488454,0.0,0.6426860463396963,0.886829784541763,0.0,0.0,0.0,0.0,8.836247204716406,8.836247204716406,0.0,0.0,0.0,2.0968689199587236,0.4066247118223693,0.0,3.7465126660187233,6.64849231447515,3.750899810259887,6.64849231447515,1.3476283958608613,0.15251139591721194,1.1951169999436493,0.5810939542302666,1.0569214198744965,5.15756029759462,0.0,0.4189060457697335,11.653330464819962,0.0,Financial Services
