date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,BRO,44.46,44.89,44.16,44.76,1004209,0.3,0.67476,44.5675
2020-07-31,BRO,44.9,45.48,44.41,45.47,1761449,0.57,1.27,45.065
2020-08-03,BRO,45.5,46.09,45.34,45.53,930532,0.03,0.06593407,45.615
2020-08-04,BRO,45.14,45.46,44.91,45.46,875426,0.32,0.70891,45.2425
2020-08-05,BRO,45.61,45.79,45.47,45.63,745873,0.02,0.04385003,45.625
2020-08-06,BRO,45.57,45.86,45.39,45.62,714000,0.05,0.10972,45.61
2020-08-07,BRO,45.55,46.08,45.45,46.06,628931,0.51,1.12,45.785
2020-08-10,BRO,46.1,46.34,45.78,45.93,727694,-0.17,-0.36876,46.0375
2020-08-11,BRO,46.25,46.43,45.61,45.66,971739,-0.59,-1.28,45.9875
2020-08-12,BRO,46.16,46.31,45.74,45.8,732400,-0.36,-0.7799,46.0025
2020-08-13,BRO,45.53,46.01,45.52,45.82,516900,0.29,0.63694,45.72
2020-08-14,BRO,45.72,46.22,45.65,45.82,433300,0.1,0.21872,45.8525
2020-08-17,BRO,45.91,46.13,45.7,46.0,650447,0.09,0.19604,45.935
2020-08-18,BRO,45.84,46.29,45.76,46.09,628500,0.25,0.54538,45.995
2020-08-19,BRO,46.09,46.34,45.95,45.96,391100,-0.13,-0.28206,46.085
2020-08-20,BRO,45.75,46.16,45.66,45.79,544200,0.04,0.08743169,45.84
2020-08-21,BRO,45.68,45.68,45.21,45.52,1019700,-0.16,-0.35026,45.5225
2020-08-24,BRO,45.88,45.88,45.42,45.72,604412,-0.16,-0.34874,45.725
2020-08-25,BRO,45.99,46.28,45.76,46.01,723301,0.02,0.04348771,46.01
2020-08-26,BRO,46.0,46.0,45.47,45.66,1105600,-0.34,-0.73913,45.7825
2020-08-27,BRO,45.86,46.36,45.81,46.06,739900,0.2,0.43611,46.0225
2020-08-28,BRO,46.36,46.38,45.8,46.21,710933,-0.15,-0.32355,46.1875
2020-08-31,BRO,46.07,46.69,45.95,46.4,882200,0.33,0.7163,46.2775
2020-09-01,BRO,46.4,46.79,46.13,46.69,725600,0.29,0.625,46.5025
2020-09-02,BRO,46.65,47.29,46.5,47.18,826300,0.53,1.14,46.905
2020-09-03,BRO,47.39,47.41,45.64,45.88,771331,-1.51,-3.19,46.58
2020-09-04,BRO,46.19,46.39,44.47,45.25,959836,-0.94,-2.04,45.575
2020-09-08,BRO,44.95,45.0,43.47,44.19,1754300,-0.76,-1.69,44.4025
2020-09-09,BRO,44.61,45.97,44.44,45.4,1451439,0.79,1.77,45.105
2020-09-10,BRO,45.36,45.66,44.84,44.86,763900,-0.5,-1.1,45.18
2020-09-11,BRO,45.01,45.22,44.48,44.64,1022008,-0.37,-0.82204,44.8375
2020-09-14,BRO,45.11,45.51,44.97,45.17,947200,0.06,0.13301,45.19
2020-09-15,BRO,45.36,45.8,45.09,45.16,674905,-0.2,-0.44092,45.3525
2020-09-16,BRO,45.44,45.9,45.13,45.18,1082891,-0.26,-0.57218,45.4125
2020-09-17,BRO,44.7,45.07,44.3,44.76,979006,0.06,0.13423,44.7075
2020-09-18,BRO,45.1,45.52,44.71,44.8,2466500,-0.3,-0.66519,45.0325
2020-09-21,BRO,44.02,44.42,43.45,44.02,1663600,0.0,0.0,43.9775
2020-09-22,BRO,43.94,44.63,43.91,44.51,864735,0.57,1.3,44.2475
2020-09-23,BRO,44.48,44.75,43.31,43.34,919900,-1.14,-2.56,43.97
2020-09-24,BRO,43.37,44.32,43.16,43.56,1016100,0.19,0.43809,43.6025
2020-09-25,BRO,43.4,44.0,43.06,43.94,675800,0.54,1.24,43.6
2020-09-28,BRO,44.28,44.99,44.05,44.87,783303,0.59,1.33,44.5475
2020-09-29,BRO,44.83,45.42,44.73,45.17,1067118,0.34,0.75842,45.0375
2020-09-30,BRO,45.33,45.65,44.94,45.27,922749,-0.06,-0.13236,45.2975
2020-10-01,BRO,45.51,45.71,44.75,44.94,995200,-0.57,-1.25,45.2275
2020-10-02,BRO,44.54,45.9,44.45,45.36,1003622,0.82,1.84,45.0625
2020-10-05,BRO,45.81,46.0,45.37,45.73,1004600,-0.08,-0.17463,45.7275
2020-10-06,BRO,45.93,46.47,45.6,45.73,1044900,-0.2,-0.43545,45.9325
2020-10-07,BRO,45.96,46.41,45.86,46.27,764312,0.31,0.6745,46.125
2020-10-08,BRO,46.57,46.85,46.32,46.71,612333,0.14,0.30062,46.6125
2020-10-09,BRO,47.0,47.5,46.84,47.22,727912,0.22,0.46809,47.14
2020-10-12,BRO,47.51,48.37,47.31,48.31,590800,0.8,1.68,47.875
2020-10-13,BRO,48.1,48.45,47.27,47.37,682900,-0.73,-1.52,47.7975
2020-10-14,BRO,47.48,47.95,46.96,46.98,661507,-0.5,-1.05,47.3425
2020-10-15,BRO,46.59,47.65,46.35,47.32,696946,0.73,1.57,46.9775
2020-10-16,BRO,47.5,47.9,47.3,47.45,430715,-0.05,-0.10526,47.5375
2020-10-19,BRO,47.46,47.71,46.39,46.46,534300,-1.0,-2.11,47.005
