date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1997-06-30,BXP,1997,Q2,USD,1078152163.25,1748752163.25,342.89258102941176,0.0,0.0,372.0749283510638,142.68085106382978,6.8584686774942,0.0,4.897766415327051,-17.788351824280404,6.066666666666666,0.38461538461538464,252500000,1066900000,0.008198198198198198,0.0,0.008198198198198198,0.04961832061068702,0.002680663604836442,0.003655450370231512,0.008440367055953222,,0.0,0.0,,0.0,0.0,,0.0,,,,232.94117647058823,3375.0,0.0,232.94117647058823,-3142.0588235294117,,,259600000,-554800000,Real Estate
1997-09-30,BXP,1997,Q3,USD,1248602792.3600001,2208202792.36,35.96421485928339,101.76049734377881,-6.911432839937403,38.53757054729494,16.74694589877836,4.431137724550898,1.5724637681159421,6.450700107334639,-25.830656632634668,0.267578125,1.032258064516129,114600000,1262500000,0.010574251312133374,0.041237113402061855,0.010574251312133374,0.070076726342711,-0.0025327800665504675,0.03929646648708604,0.010972264425346554,-0.2558860207224981,15.723502304147466,-36.68817204301075,5.55700325732899,0.0,0.0,0.0,0.0,13200000.0,23050000.0,0.0,19.348534201954397,178.88888888888889,0.0,19.348534201954397,-159.54035468693448,-1279100000.0,-215796875.0,276700000,-870900000,Real Estate
1997-12-31,BXP,1997,Q4,USD,1799933318.64,3114626318.6400003,14.90529964270845,93.90172506376437,-20.05012371824748,23.834176253567907,10.060476434622242,2.6387596899224808,1.3344464113292565,4.746549043083254,-24.680792038210548,0.0,0.0,105700000,1607982000,0.010137989298789073,0.05512308965840678,0.010137989298789073,0.0968648599241351,,0.05087371371393781,0.009420348978711987,-0.08630430827147188,5.6833489101269254,3.857160395310294,0.9021348481295552,0.0,0.0,0.0,0.0,18829000.0,11982000.0,17201500.0,10.534118806858695,8.761900045805117,38.331084343315545,48.86520315017424,40.10330310436912,-1470035000.0,,275684000,-1226637000,Real Estate
1998-03-31,BXP,1998,Q1,USD,1915899984.36,2861099984.3599997,31.20065413696837,48.74105595161839,-11.335578384944531,34.264670471377244,11.319760479041916,8.836569579288026,2.9948979591836733,11.313993595079197,-18.237398108060393,0.2506393861892583,1.0524899057873487,484300000,2454100000,0.007790452720696371,0.03547876395424433,0.007790452720696371,0.02278010227801023,-0.001045330373066378,0.03027586487918178,0.01023017911164466,-0.13173965345811794,5.2998296422487225,-23.748091603053435,3.392584514721919,0.05234460196292257,0.0,0.0,0.0,21679000.0,22832000.0,17201500.0,18.549618320610687,261.6923076923077,0.0,18.549618320610687,-243.142689371697,-1197600000.0,-705365345.2685422,1117400000,-852400000,Real Estate
1998-06-30,BXP,1998,Q2,USD,2125000000.0,3343600000.0,32.27413127413127,57.54905335628227,-19.19402985074627,35.9140708915145,13.089151450053706,3.4057971014492754,2.2007575757575757,12.29423279428204,-20.5248,0.3508771929824561,1.0555555555555556,199200000,2555200000,0.011372682815876264,0.03143311731149831,0.011372682815876264,0.0342974734194581,0.0004820081199829446,0.03170130327580134,0.014117647058823528,-0.08197647058823529,3.9982788296041307,-13.993975903614459,2.2422779922779923,0.0,0.0,0.0,0.0,21850000.0,49950000.0,0.0,21.544401544401545,405.0,0.0,21.544401544401545,-383.4555984555985,-1392800000.0,37431578.94736844,1227500000,-1128400000,Real Estate
1998-09-30,BXP,1998,Q3,USD,1802625000.0,3734525000.0,26.847771387491015,121.6457654723127,-6.284962975429148,29.22163536776213,15.116588419405321,0.8688340807174888,1.2134387351778657,11.791870985720355,-31.299604743083005,0.23317972350230415,1.01024208566108,-35100000,3191700000,0.007313618362096378,0.035229285573705964,0.007313618362096378,0.025890298812934916,-0.004851833663780203,0.033649779114578435,0.014035087719298246,-0.3296304001109493,20.355048859934854,-29.065116279069766,4.492451473759885,0.0,0.0,0.0,0.0,29000000.0,51800000.0,0.0,21.480948957584474,157.59493670886076,0.0,21.480948957584474,-136.11398775127628,-2526100000.0,-428531705.06912446,1439200000,-1787600000,Real Estate
1998-12-31,BXP,1998,Q4,USD,1931992000.0,5008550000.0,27.91102665410957,73.88658592355466,-10.856008947420897,38.7200142246411,23.784202917597582,0.03245315370483772,3.1077847056666057,9.841899211612285,-49.95869379893912,0.0,0.0,-1580004000,2979805000,0.00347883425815082,0.0006291415369479183,0.00347883425815082,0.019201228068880662,,0.0007592820495451665,0.009426540068488897,-0.23880119586416507,7.806054258191098,4.17909775861252,2.94877596170457,0.0,0.0,0.0,0.0,37015000.0,25605000.0,0.0,20.477912698456926,8.731141972224998,0.0,20.477912698456926,11.746770726231928,-3537920000.0,,2027715000,-3154376000,Real Estate
1999-03-31,BXP,1999,Q1,USD,2009580420.0,4986380420.0,26.551546432374867,79.02346148969889,-144.53276579710146,40.31678864812419,24.068564036222508,0.02959094865100087,2.445736434108527,12.155272349696185,-48.890357918594766,0.0,0.0,-1115000000,3520200000,0.005227222075896023,0.053683161391542264,0.005227222075896023,0.02511193303484524,,0.07209443578841736,0.012838500884677211,-0.01716776281090557,1.5467511885895404,3.5107913669064748,0.5197018104366348,0.03514376996805112,0.0,0.0,0.0,20415000.0,4855000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3011300000.0,,1795500000,-3106200000,Real Estate
1999-06-30,BXP,1999,Q2,USD,2351359920.0,5260859920.0,27.428883837330552,84.03929584664537,-292.26999555555557,16.92138925699582,9.358314570601479,0.030131826741996232,2.1660899653979238,13.236066803755834,-46.50563066499832,0.0,0.0,-1030000000,3685800000,0.005758348609229298,0.05655733587824602,0.005758348609229298,0.024976233687667444,,0.07114334816012939,0.012290759808477129,-0.0076551445173906,1.2875399361022364,2.741496598639456,0.42022940563086547,0.03858185610010428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2927500000.0,,1939100000,-3047700000,Real Estate
1999-09-30,BXP,1999,Q3,USD,2083881690.0,5311681690.0,26.243486610671937,52.43515982230997,-19.322232411786104,16.032845427105343,9.742831270751585,0.03977724741447892,3.4810996563573884,12.801606914370165,-49.62960781137244,0.0,0.0,-1207000000,3857100000,0.005434376634047957,0.05787768951954963,0.005434376634047957,0.025216637781629116,,0.07325882180682318,0.013964324433408691,-0.13191727789498453,3.713721618953603,12.096463022508038,1.858695652173913,0.036561264822134384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3502700000.0,,1934900000,-3369900000,Real Estate
