date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CAH,56.81,57.0,55.6,56.48,2437405,-0.33,-0.58088,56.4725
2020-07-31,CAH,56.43,56.5,53.91,54.62,4732100,-1.81,-3.21,55.365
2020-08-03,CAH,55.55,58.31,55.54,58.04,2856100,2.49,4.48,56.86
2020-08-04,CAH,57.76,58.34,57.03,57.83,1890000,0.07,0.12119,57.74
2020-08-05,CAH,58.64,58.97,57.09,57.6,2764599,-1.04,-1.77,58.075
2020-08-06,CAH,52.5,55.45,52.11,53.11,5229135,0.61,1.16,53.2925
2020-08-07,CAH,52.62,52.74,51.61,52.58,2844789,-0.04,-0.07601672,52.3875
2020-08-10,CAH,52.58,53.81,52.35,53.06,2161747,0.48,0.91289,52.95
2020-08-11,CAH,53.36,53.92,52.85,53.04,1782400,-0.32,-0.5997,53.2925
2020-08-12,CAH,53.48,54.17,53.26,53.82,1635241,0.34,0.63575,53.6825
2020-08-13,CAH,53.42,53.65,52.26,52.43,2608926,-0.99,-1.85,52.94
2020-08-14,CAH,52.2,53.7,51.92,53.68,1985671,1.48,2.84,52.875
2020-08-17,CAH,53.7,53.78,52.6,52.73,1616753,-0.97,-1.81,53.2025
2020-08-18,CAH,52.7,53.29,51.93,52.05,1724222,-0.65,-1.23,52.4925
2020-08-19,CAH,51.98,52.63,51.51,51.64,1358715,-0.34,-0.6541,51.94
2020-08-20,CAH,51.37,51.53,50.05,50.16,1729663,-1.21,-2.36,50.7775
2020-08-21,CAH,49.95,50.32,49.59,49.85,1629000,-0.1,-0.2002,49.9275
2020-08-24,CAH,50.23,50.27,49.44,49.8,1365943,-0.43,-0.85606,49.935
2020-08-25,CAH,49.85,50.6,49.46,50.56,1781208,0.71,1.42,50.1175
2020-08-26,CAH,50.21,51.1,49.94,50.95,2038300,0.74,1.47,50.55
2020-08-27,CAH,51.19,51.46,50.26,50.67,1932032,-0.52,-1.02,50.895
2020-08-28,CAH,50.6,50.79,49.98,50.5,1119865,-0.1,-0.19763,50.4675
