date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CB,129.73,132.38,128.52,130.0,2094000,0.27,0.20812,130.1575
2020-07-31,CB,129.57,129.69,125.55,127.24,2207700,-2.33,-1.8,128.0125
2020-08-03,CB,127.59,127.65,125.41,126.45,1851600,-1.14,-0.89349,126.775
2020-08-04,CB,125.81,126.56,124.09,124.76,1775700,-1.05,-0.83459,125.305
2020-08-05,CB,125.82,127.25,125.6,125.67,1615295,-0.15,-0.11922,126.085
2020-08-06,CB,124.98,127.56,124.09,126.56,1247930,1.58,1.26,125.7975
2020-08-07,CB,125.67,130.16,125.58,129.95,1284307,4.28,3.41,127.84
2020-08-10,CB,130.34,131.52,129.46,130.96,1309200,0.62,0.47568,130.57
2020-08-11,CB,133.03,134.83,131.54,132.01,1665000,-1.02,-0.76674,132.8525
2020-08-12,CB,133.65,133.78,130.11,130.28,1913512,-3.37,-2.52,131.955
2020-08-13,CB,129.35,131.74,128.4,131.2,1635235,1.85,1.43,130.1725
2020-08-14,CB,130.35,131.78,129.59,130.14,1412803,-0.21,-0.1611,130.465
2020-08-17,CB,129.58,129.83,125.62,125.84,1670641,-3.74,-2.89,127.7175
2020-08-18,CB,125.84,126.55,124.63,125.08,1489900,-0.76,-0.60394,125.525
2020-08-19,CB,125.38,126.17,123.45,123.93,1480700,-1.45,-1.16,124.7325
2020-08-20,CB,122.81,124.41,122.25,123.44,1793206,0.63,0.51299,123.2275
2020-08-21,CB,123.34,123.68,121.71,121.92,1523648,-1.42,-1.15,122.6625
2020-08-24,CB,121.9,124.43,121.32,124.42,1670654,2.52,2.07,123.0175
2020-08-25,CB,125.53,126.24,124.63,125.91,1324204,0.38,0.30272,125.5775
2020-08-26,CB,125.43,126.54,124.19,125.59,1476600,0.16,0.12756,125.4375
2020-08-27,CB,126.17,130.34,125.86,127.76,1685124,1.59,1.26,127.5325
2020-08-28,CB,128.22,128.4,125.6,126.39,1397600,-1.83,-1.43,127.1525
2020-08-31,CB,126.14,126.36,123.65,125.0,1568280,-1.14,-0.90376,125.2875
2020-09-01,CB,124.02,125.25,123.65,124.86,1110726,0.84,0.67731,124.445
2020-09-02,CB,124.62,126.46,123.48,125.83,1783551,1.21,0.97095,125.0975
2020-09-03,CB,127.51,130.23,123.1,124.01,1436000,-3.5,-2.74,126.2125
2020-09-04,CB,126.29,127.72,124.32,125.56,1420400,-0.73,-0.57803,125.9725
2020-09-08,CB,125.0,125.27,120.26,121.11,1757431,-3.89,-3.11,122.91
2020-09-09,CB,121.78,124.75,121.12,122.22,1403100,0.44,0.36131,122.4675
2020-09-10,CB,122.69,123.54,119.08,119.23,1795625,-3.46,-2.82,121.135
2020-09-11,CB,119.56,121.49,118.35,120.67,1766241,1.11,0.9284,120.0175
2020-09-14,CB,121.61,122.77,120.72,120.88,1750545,-0.73,-0.60028,121.495
2020-09-15,CB,120.72,121.85,117.51,117.66,2136500,-3.06,-2.53,119.435
2020-09-16,CB,118.14,120.2,117.22,118.59,2014200,0.45,0.3809,118.5375
2020-09-17,CB,116.94,117.25,114.7,117.03,2054300,0.09,0.07696254,116.48
2020-09-18,CB,115.97,118.8,115.76,117.42,2604300,1.45,1.25,116.9875
2020-09-21,CB,115.0,116.71,113.59,115.99,2036000,0.99,0.86087,115.3225
2020-09-22,CB,115.35,118.32,114.96,116.04,1732500,0.69,0.59818,116.1675
2020-09-23,CB,116.56,117.89,113.64,113.85,1766002,-2.71,-2.32,115.485
2020-09-24,CB,114.14,115.49,112.24,113.99,1804000,-0.15,-0.13142,113.965
2020-09-25,CB,112.65,114.2,111.93,113.85,1812300,1.2,1.07,113.1575
2020-09-28,CB,116.01,118.38,115.34,116.97,1665723,0.96,0.82751,116.675
2020-09-29,CB,116.32,116.42,113.16,114.34,2480847,-1.98,-1.7,115.06
2020-09-30,CB,114.88,117.13,114.54,116.12,1805300,1.24,1.08,115.6675
2020-10-01,CB,116.5,117.17,114.56,115.88,1459321,-0.62,-0.53219,116.0275
2020-10-02,CB,114.76,117.17,114.21,116.56,1255800,1.8,1.57,115.675
2020-10-05,CB,117.91,119.6,117.44,119.1,1301800,1.19,1.01,118.5125
2020-10-06,CB,120.0,120.16,116.84,117.26,1541400,-2.74,-2.28,118.565
2020-10-07,CB,117.4,119.38,117.28,119.11,1955344,1.71,1.46,118.2925
2020-10-08,CB,119.6,122.06,119.13,121.28,1236300,1.68,1.4,120.5175
2020-10-09,CB,121.87,121.94,119.97,120.45,1241300,-1.42,-1.17,121.0575
2020-10-12,CB,120.65,123.86,119.93,123.45,1542300,2.8,2.32,121.9725
2020-10-13,CB,122.17,122.54,118.11,118.57,1738226,-3.6,-2.95,120.3475
2020-10-14,CB,118.69,120.41,118.49,118.56,994500,-0.13,-0.10953,119.0375
2020-10-15,CB,117.04,120.69,116.5,120.16,1414500,3.12,2.67,118.5975
2020-10-16,CB,120.17,121.0,119.01,119.26,1249442,-0.91,-0.75726,119.86
2020-10-19,CB,119.32,119.93,116.82,116.92,1628800,-2.4,-2.01,118.2475
2020-10-20,CB,118.47,120.12,117.49,119.3,2469300,0.83,0.7006,118.845
2020-10-21,CB,119.27,128.58,118.43,128.22,3800303,8.95,7.5,123.625
2020-10-22,CB,127.53,128.5,125.95,127.63,2174000,0.1,0.07841292,127.4025
2020-10-23,CB,129.06,129.55,127.49,129.02,1259800,-0.04,-0.03099334,128.78
2020-10-26,CB,127.04,127.67,124.87,125.99,1323600,-1.05,-0.82651,126.3925
2020-10-27,CB,125.93,126.52,123.31,123.41,1519035,-2.52,-2.0,124.7925
2020-10-28,CB,129.11,129.6,125.56,127.42,4252074,-1.69,-1.31,127.9225
2020-10-29,CB,128.57,134.73,126.56,132.75,3946003,4.18,3.25,130.6525
2020-10-30,CB,131.68,133.5,128.52,129.91,3557216,-1.77,-1.34,130.9025
2020-11-02,CB,132.27,134.66,130.26,134.62,2708889,2.35,1.78,132.9525
2020-11-03,CB,135.7,138.55,135.07,135.28,3096436,-0.42,-0.30951,136.15
2020-11-04,CB,132.13,136.2,131.1,132.95,1799500,0.82,0.6206,133.095
2020-11-05,CB,133.33,138.5,133.01,136.73,1697200,3.4,2.55,135.3925
2020-11-06,CB,137.38,138.63,136.77,137.69,1724900,0.31,0.22565,137.6175
2020-11-09,CB,149.66,150.61,142.29,146.98,4092900,-2.68,-1.79,147.385
2020-11-10,CB,147.83,151.99,147.34,151.5,3016003,3.67,2.48,149.665
2020-11-11,CB,151.35,151.45,147.32,149.03,1603500,-2.32,-1.53,149.7875
2020-11-12,CB,147.87,147.87,144.44,146.18,1872201,-1.69,-1.14,146.59
2020-11-13,CB,148.39,149.33,146.73,149.26,1583901,0.87,0.58629,148.4275
2020-11-16,CB,152.38,153.27,149.93,151.36,1433466,-1.02,-0.66938,151.735
2020-11-17,CB,150.67,150.94,148.22,150.03,1670700,-0.64,-0.42477,149.965
2020-11-18,CB,150.11,151.41,148.47,149.28,1595412,-0.83,-0.55293,149.8175
