date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CBRE,42.2,43.36,41.62,43.27,1575669,1.07,2.54,42.77
2020-07-31,CBRE,43.33,43.99,42.17,43.81,3730708,0.48,1.11,43.19
2020-08-03,CBRE,43.62,43.6599,41.26,41.35,2822453,-2.27,-5.2,41.69
2020-08-04,CBRE,41.15,41.84,41.025,41.49,2381552,0.34,0.82625,41.43
2020-08-05,CBRE,42.04,42.86,41.46,42.83,2772353,0.79,1.88,42.5
2020-08-06,CBRE,42.39,42.86,42.01,42.25,2643890,-0.14,-0.33027,42.39
2020-08-07,CBRE,42.22,44.195,42.08,44.02,1515316,1.8,4.26,43.62
2020-08-10,CBRE,44.04,45.855,43.97,45.37,1743878,1.33,3.02,45.19
2020-08-11,CBRE,46.42,47.8,46.29,47.2,2132001,0.78,1.68,47.26
2020-08-12,CBRE,47.34,48.58,47.1,47.28,1774162,-0.06,-0.12674,47.61
2020-08-13,CBRE,46.8,47.09,45.76,46.03,853755,-0.77,-1.65,46.21
2020-08-14,CBRE,45.78,46.46,45.43,46.02,1060309,0.24,0.52425,45.97
2020-08-17,CBRE,45.93,46.01,44.93,45.09,1484484,-0.84,-1.83,45.24
2020-08-18,CBRE,45.16,45.43,44.57,44.66,972823,-0.5,-1.11,44.82
2020-08-19,CBRE,44.38,44.58,43.76,44.31,1016128,-0.07,-0.15773,44.32
2020-08-20,CBRE,43.83,44.61,43.63,44.08,1289526,0.25,0.57039,44.22
2020-08-21,CBRE,44.4,45.05,44.34,44.91,949095,0.51,1.15,44.75
2020-08-24,CBRE,45.08,47.055,44.9456,47.01,1301923,1.93,4.28,46.5
2020-08-25,CBRE,47.32,48.03,47.01,47.39,1731939,0.07,0.14793,47.32
2020-08-26,CBRE,47.01,47.32,46.465,46.98,1723043,-0.03,-0.06381621,46.97
2020-08-27,CBRE,46.89,47.9,46.865,47.35,1317689,0.46,0.98102,47.28
2020-08-28,CBRE,47.55,47.9,46.965,47.85,870451,0.3,0.63091,47.7
2020-08-31,CBRE,47.96,47.96,46.565,47.03,2059729,-0.93,-1.94,47.01
2020-09-01,CBRE,46.8,47.91,46.41,47.77,1008850,0.97,2.07,47.49
2020-09-02,CBRE,47.9,49.16,47.58,49.04,2507272,1.14,2.38,48.82
2020-09-03,CBRE,48.86,49.99,47.92,48.62,1593613,-0.24,-0.4912,48.67
2020-09-04,CBRE,49.31,49.42,47.67,48.22,1269962,-1.09,-2.21,48.38
2020-09-08,CBRE,47.93,48.43,47.2593,47.63,1812940,-0.3,-0.62591,47.82
2020-09-09,CBRE,47.73,49.07,47.56,48.53,1555077,0.8,1.68,48.5
2020-09-10,CBRE,48.91,48.91,47.4158,47.52,1172476,-1.39,-2.84,47.92
2020-09-11,CBRE,47.93,47.98,46.37,46.91,1286841,-1.02,-2.13,46.92
2020-09-14,CBRE,47.4,49.04,47.4,48.78,1138957,1.38,2.91,48.62
2020-09-15,CBRE,49.21,50.23,49.05,49.63,1296664,0.42,0.85349,49.72
2020-09-16,CBRE,49.92,51.03,49.47,49.99,1180419,0.07,0.14022,50.15
2020-09-17,CBRE,49.48,49.91,48.95,49.57,1364440,0.09,0.18189,49.51
