date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CCI,168.95,170.7,167.1,170.21,2780918,1.26,0.74578,169.24
2020-07-31,CCI,169.57,170.2,165.9,166.7,3308567,-2.87,-1.69,168.0925
2020-08-03,CCI,165.93,166.05,162.0,164.1,2800261,-1.83,-1.1,164.52
2020-08-04,CCI,164.4,167.77,164.15,165.88,2300200,1.48,0.90024,165.55
2020-08-05,CCI,166.37,166.57,163.73,164.52,1714386,-1.85,-1.11,165.2975
2020-08-06,CCI,164.01,165.29,163.43,163.87,1513690,-0.14,-0.08536065,164.15
2020-08-07,CCI,163.91,169.36,163.8,168.19,1633515,4.28,2.61,166.315
2020-08-10,CCI,168.06,168.23,164.92,166.18,2287500,-1.88,-1.12,166.8475
2020-08-11,CCI,167.17,167.3,161.4,161.79,1865216,-5.38,-3.22,164.415
2020-08-12,CCI,162.99,166.16,162.62,165.2,1098663,2.21,1.36,164.2425
2020-08-13,CCI,164.7,165.39,163.6,164.36,1309754,-0.34,-0.20644,164.5125
2020-08-14,CCI,164.34,165.88,163.63,164.63,1435300,0.29,0.17646,164.62
2020-08-17,CCI,164.76,166.32,164.41,166.06,1182399,1.3,0.78903,165.3875
2020-08-18,CCI,165.73,168.21,165.34,166.0,1071459,0.27,0.16292,166.32
2020-08-19,CCI,167.13,167.41,162.28,162.64,1487118,-4.49,-2.69,164.865
2020-08-20,CCI,160.0,163.75,160.0,162.88,1261531,2.88,1.8,161.6575
2020-08-21,CCI,163.5,163.62,161.43,163.17,1077754,-0.33,-0.20183,162.93
2020-08-24,CCI,163.1,163.1,159.0,161.01,1144700,-2.09,-1.28,161.5525
2020-08-25,CCI,161.06,161.6,159.69,160.69,1443925,-0.37,-0.22973,160.76
2020-08-26,CCI,160.0,161.42,158.89,160.97,1828217,0.97,0.60625,160.32
2020-08-27,CCI,161.5,163.61,161.38,163.42,1859113,1.92,1.19,162.4775
2020-08-28,CCI,163.3,164.04,161.7,163.79,1781200,0.49,0.30006,163.2075
2020-08-31,CCI,163.11,164.03,162.53,163.25,1386400,0.14,0.08583165,163.23
2020-09-01,CCI,162.51,163.04,160.36,162.1,1148600,-0.41,-0.25229,162.0025
2020-09-02,CCI,161.16,166.72,160.51,166.28,2362742,5.12,3.18,163.6675
2020-09-03,CCI,166.36,166.82,160.58,161.71,1749115,-4.65,-2.8,163.8675
2020-09-04,CCI,161.28,162.27,157.0,160.59,1943200,-0.69,-0.42783,160.285
2020-09-08,CCI,159.81,161.44,157.62,158.5,2921466,-1.31,-0.81972,159.3425
2020-09-09,CCI,159.91,163.53,159.74,161.29,1743100,1.38,0.86299,161.1175
2020-09-10,CCI,160.67,161.09,158.65,158.76,1892414,-1.91,-1.19,159.7925
2020-09-11,CCI,159.38,160.3,157.76,158.59,1267163,-0.79,-0.49567,159.0075
2020-09-14,CCI,158.24,160.86,158.22,160.16,1390175,1.92,1.21,159.37
2020-09-15,CCI,160.51,165.1,160.31,163.46,2093600,2.95,1.84,162.345
2020-09-16,CCI,164.94,167.79,164.16,166.17,1599036,1.23,0.74573,165.765
2020-09-17,CCI,164.51,165.55,161.39,162.65,1820005,-1.86,-1.13,163.525
2020-09-18,CCI,162.23,162.62,158.92,159.68,3016580,-2.55,-1.57,160.8625
2020-09-21,CCI,159.01,159.5,156.07,157.58,2017461,-1.43,-0.89931,158.04
2020-09-22,CCI,157.1,160.89,157.05,159.98,2203100,2.88,1.83,158.755
2020-09-23,CCI,158.6,158.99,155.01,155.62,2495533,-2.98,-1.88,157.055
2020-09-24,CCI,156.53,159.26,155.65,157.4,2292200,0.87,0.5558,157.21
2020-09-25,CCI,156.4,161.86,156.12,161.71,1827149,5.31,3.4,159.0225
2020-09-28,CCI,163.89,164.75,161.83,163.59,1843922,-0.3,-0.18305,163.515
2020-09-29,CCI,163.21,164.5,162.38,164.18,1552650,0.97,0.59433,163.5675
2020-09-30,CCI,164.8,167.0,164.35,166.5,2341666,1.7,1.03,165.6625
2020-10-01,CCI,166.75,168.3,164.93,168.01,1693312,1.26,0.75562,166.9975
2020-10-02,CCI,166.91,169.3,166.1,168.62,2275700,1.71,1.02,167.7325
2020-10-05,CCI,168.62,169.0,165.28,168.66,1450245,0.04,0.02372198,167.89
2020-10-06,CCI,168.75,168.75,164.44,165.09,2010009,-3.66,-2.17,166.7575
2020-10-07,CCI,166.2,166.5,164.18,164.92,1514438,-1.28,-0.77016,165.45
2020-10-08,CCI,165.75,169.31,165.34,165.78,1329000,0.03,0.01809955,166.545
2020-10-09,CCI,166.6,167.63,164.88,167.36,1010400,0.76,0.45618,166.6175
2020-10-12,CCI,168.23,168.5,166.52,168.23,1029700,0.0,0.0,167.87
2020-10-13,CCI,168.09,168.09,165.94,166.8,1635520,-1.29,-0.76745,167.23
2020-10-14,CCI,167.17,167.49,164.5,165.03,1463929,-2.14,-1.28,166.0475
2020-10-15,CCI,164.16,168.5,163.45,168.14,1046821,3.98,2.42,166.0625
2020-10-16,CCI,167.04,168.45,166.36,166.9,1171730,-0.14,-0.08381226,167.1875
2020-10-19,CCI,168.25,168.75,163.75,164.32,3165600,-3.93,-2.34,166.2675
2020-10-20,CCI,164.67,165.64,162.26,164.46,2082405,-0.21,-0.12753,164.2575
2020-10-21,CCI,162.92,165.45,162.75,163.79,1434317,0.87,0.534,163.7275
2020-10-22,CCI,162.64,163.34,154.61,156.25,3377500,-6.39,-3.93,159.21
2020-10-23,CCI,156.39,158.99,155.0,158.47,1784100,2.08,1.33,157.2125
2020-10-26,CCI,157.7,160.43,156.67,159.92,1548100,2.22,1.41,158.68
2020-10-27,CCI,160.19,162.35,160.12,160.61,1763707,0.42,0.26219,160.8175
2020-10-28,CCI,158.5,160.08,156.5,156.85,1743447,-1.65,-1.04,157.9825
2020-10-29,CCI,158.81,159.61,156.22,157.71,1310745,-1.1,-0.69265,158.0875
2020-10-30,CCI,156.64,157.59,154.08,156.2,1256000,-0.44,-0.2809,156.1275
2020-11-02,CCI,157.45,160.81,156.93,159.48,1260700,2.03,1.29,158.6675
2020-11-03,CCI,160.79,162.4,159.14,160.35,1311511,-0.44,-0.27365,160.67
2020-11-04,CCI,159.63,165.45,159.56,162.13,1684449,2.5,1.57,161.6925
2020-11-05,CCI,163.72,164.45,161.61,162.92,1213400,-0.8,-0.48864,163.175
2020-11-06,CCI,163.41,165.28,162.11,164.07,877503,0.66,0.40389,163.7175
2020-11-09,CCI,167.17,169.42,161.45,161.78,2174088,-5.39,-3.22,164.955
2020-11-10,CCI,161.78,162.07,157.67,160.42,2372514,-1.36,-0.84065,160.485
2020-11-11,CCI,161.74,167.29,160.97,164.64,1254039,2.9,1.79,163.66
2020-11-12,CCI,164.32,167.13,164.01,166.95,1883718,2.63,1.6,165.6025
2020-11-13,CCI,167.51,168.37,165.64,168.01,1650627,0.5,0.29849,167.3825
2020-11-16,CCI,169.27,169.42,164.5,165.42,2073461,-3.85,-2.27,167.1525
2020-11-17,CCI,165.1,166.89,164.5,166.34,2371723,1.24,0.75106,165.7075
2020-11-18,CCI,166.29,172.13,165.95,170.65,3104414,4.36,2.62,168.755
2020-11-19,CCI,170.33,170.34,167.17,168.09,2220211,-2.24,-1.32,168.9825
2020-11-20,CCI,168.11,168.84,166.25,166.97,1569842,-1.14,-0.67813,167.5425
2020-11-23,CCI,167.5,167.89,165.09,166.36,2038936,-1.14,-0.6806,166.71
2020-11-24,CCI,167.8,168.27,164.01,164.25,2143929,-3.55,-2.12,166.0825
2020-11-25,CCI,164.58,166.5,163.51,164.96,1932661,0.38,0.23089,164.8875
2020-11-27,CCI,165.31,167.17,164.73,167.17,879727,1.86,1.13,166.095
2020-11-30,CCI,167.0,167.75,164.01,167.57,3208980,0.57,0.34132,166.5825
2020-12-01,CCI,168.0,170.9,167.75,170.8,2891947,2.8,1.67,169.3625
2020-12-02,CCI,170.04,170.56,166.32,166.84,1494253,-3.2,-1.88,168.44
2020-12-03,CCI,166.2,168.58,166.2,167.44,1861208,1.24,0.74609,167.105
2020-12-04,CCI,167.92,167.95,163.03,163.5,2521300,-4.42,-2.63,165.6
2020-12-07,CCI,162.83,165.0,161.35,162.45,2032632,-0.38,-0.23337,162.9075
2020-12-08,CCI,162.8,163.75,161.02,161.33,2404024,-1.47,-0.90295,162.225
2020-12-09,CCI,160.54,160.94,156.88,158.39,3029620,-2.15,-1.34,159.1875
2020-12-10,CCI,158.38,159.55,156.5,157.22,2148200,-1.16,-0.73242,157.9125
2020-12-11,CCI,158.44,158.9,156.14,157.68,2702879,-0.76,-0.47968,157.79
2020-12-14,CCI,157.91,158.9,154.92,155.19,2711966,-2.72,-1.72,156.73
2020-12-15,CCI,155.3,156.01,154.35,155.41,3089963,0.11,0.07083065,155.2675
2020-12-16,CCI,155.88,157.25,153.52,154.12,4286500,-1.76,-1.13,155.1925
2020-12-17,CCI,156.28,157.53,155.02,155.75,4831200,-0.53,-0.33913,156.145
2020-12-18,CCI,154.82,155.8,152.09,153.81,5924500,-1.01,-0.65237,154.13
2020-12-21,CCI,152.45,153.6,151.21,153.26,2423128,0.81,0.53132,152.63
2020-12-22,CCI,152.71,154.29,152.0,153.49,2248656,0.78,0.51077,153.1225
2020-12-23,CCI,154.21,155.38,152.41,152.46,1977127,-1.75,-1.13,153.615
2020-12-24,CCI,152.88,154.29,152.58,154.0,521800,1.12,0.7326,153.4375
2020-12-28,CCI,154.34,156.32,153.43,156.25,1742490,1.91,1.24,155.085
2020-12-29,CCI,157.0,157.98,155.18,155.81,1771560,-1.19,-0.75796,156.4925
2020-12-30,CCI,155.99,157.19,155.69,156.39,1310100,0.4,0.25643,156.315
2020-12-31,CCI,155.8,159.36,155.2,159.19,1579921,3.39,2.18,157.3875
2021-01-04,CCI,158.35,159.06,154.37,155.0,2219002,-3.35,-2.12,156.695
2021-01-05,CCI,155.21,157.04,154.9,155.61,2380762,0.4,0.25772,155.69
2021-01-06,CCI,154.61,154.66,151.34,151.43,2709917,-3.18,-2.06,153.01
2021-01-07,CCI,151.05,153.26,150.76,152.45,2568007,1.4,0.92685,151.88
2021-01-08,CCI,153.82,155.13,153.35,154.06,2432694,0.24,0.15603,154.09
2021-01-11,CCI,153.76,154.74,151.96,153.06,1622752,-0.7,-0.45525,153.38
2021-01-12,CCI,152.41,152.99,149.14,150.46,2304114,-1.95,-1.28,151.25
2021-01-13,CCI,150.41,152.95,150.35,152.69,1457440,2.28,1.52,151.6
2021-01-14,CCI,154.09,156.12,152.42,154.76,3882469,0.67,0.43481,154.3475
2021-01-15,CCI,154.78,157.96,154.03,157.25,2437210,2.47,1.6,156.005
2021-01-19,CCI,158.87,160.0,157.02,159.39,2824700,0.52,0.32731,158.82
2021-01-20,CCI,159.56,161.46,158.27,159.06,1671043,-0.5,-0.31336,159.5875
2021-01-21,CCI,158.15,159.79,157.11,159.34,1492526,1.19,0.75245,158.5975
2021-01-22,CCI,158.9,159.67,157.96,158.92,1367820,0.02,0.01258653,158.8625
2021-01-25,CCI,160.05,162.31,159.51,160.89,1720100,0.84,0.52484,160.69
2021-01-26,CCI,160.56,164.3,159.62,163.45,1882800,2.89,1.8,161.9825
2021-01-27,CCI,162.77,163.0,159.11,159.88,1866000,-2.89,-1.78,161.19
2021-01-28,CCI,157.45,160.92,156.87,158.13,2522464,0.68,0.43188,158.3425
2021-01-29,CCI,156.13,159.9,155.11,159.26,2569697,3.13,2.0,157.6
2021-02-01,CCI,160.0,164.54,158.04,164.27,1898541,4.27,2.67,161.7125
2021-02-02,CCI,165.08,167.11,164.25,165.61,1608445,0.53,0.32106,165.5125
2021-02-03,CCI,164.56,165.0,161.36,163.16,2201735,-1.4,-0.85075,163.52
2021-02-04,CCI,162.63,164.65,161.23,163.13,2014400,0.5,0.30745,162.91
2021-02-05,CCI,163.5,163.58,161.92,162.26,2192956,-1.24,-0.75841,162.815
2021-02-08,CCI,161.98,162.04,157.2,160.9,2556100,-1.08,-0.66675,160.53
2021-02-09,CCI,161.43,164.37,161.11,163.99,3077110,2.56,1.59,162.725
2021-02-10,CCI,164.81,165.48,162.88,163.08,1447600,-1.73,-1.05,164.0625
2021-02-11,CCI,161.9,163.71,160.85,162.0,2336300,0.1,0.06176652,162.115
2021-02-12,CCI,162.35,164.7,161.51,164.46,2199525,2.11,1.3,163.255
2021-02-16,CCI,164.32,164.89,160.67,161.96,3150970,-2.36,-1.44,162.96
2021-02-17,CCI,161.11,163.38,161.0,163.13,1569370,2.02,1.25,162.155
2021-02-18,CCI,162.94,165.31,162.5,164.9,1745299,1.96,1.2,163.9125
2021-02-19,CCI,165.44,166.39,164.77,165.8,4530802,0.36,0.2176,165.6
2021-02-22,CCI,165.01,166.29,163.22,165.32,3437345,0.31,0.18787,164.96
2021-02-23,CCI,166.3,166.3,161.64,161.64,2594822,-4.66,-2.8,163.97
2021-02-24,CCI,161.0,162.11,160.27,161.2,1732010,0.2,0.12422,161.145
2021-02-25,CCI,161.02,162.7,157.89,159.61,2360705,-1.41,-0.87567,160.305
2021-02-26,CCI,160.0,160.5,155.63,155.75,3615900,-4.25,-2.66,157.97
2021-03-01,CCI,156.34,157.98,153.61,153.73,2199013,-2.61,-1.67,155.415
2021-03-02,CCI,153.82,154.5,151.77,153.16,2443306,-0.66,-0.42907,153.3125
2021-03-03,CCI,153.37,153.44,148.5,148.52,2593500,-4.85,-3.16,150.9575
2021-03-04,CCI,148.96,152.83,148.55,149.13,2880900,0.17,0.11412,149.8675
2021-03-05,CCI,149.94,151.01,146.15,150.15,3773828,0.21,0.14006,149.3125
2021-03-08,CCI,150.1,150.89,146.43,146.77,3389508,-3.33,-2.22,148.5475
2021-03-09,CCI,148.39,151.76,148.2,151.04,2533621,2.65,1.79,149.8475
2021-03-10,CCI,151.44,152.64,150.0,151.94,1860909,0.5,0.33016,151.505
2021-03-11,CCI,152.5,156.63,152.22,155.74,2568561,3.24,2.12,154.2725
2021-03-12,CCI,153.83,158.86,152.96,158.68,2381426,4.85,3.15,156.0825
2021-03-15,CCI,158.24,162.02,157.75,161.54,2636076,3.3,2.09,159.8875
2021-03-16,CCI,161.99,165.62,161.16,165.05,2594500,3.06,1.89,163.455
2021-03-17,CCI,164.79,166.0,163.26,164.96,2235100,0.17,0.10316,164.7525
2021-03-18,CCI,163.9,165.71,162.1,165.19,1561770,1.29,0.78707,164.225
