date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1986-02-28,CCL,1986,Q1,USD,1711126240.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013499880640016367,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-05-31,CCL,1986,Q2,USD,1711126240.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013558321681748042,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-08-31,CCL,1986,Q3,USD,1711126240.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013558321681748042,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1986-11-30,CCL,1986,Q4,USD,1711126240.0,1870326240.0,17.778766539923954,0.0,0.0,-8.72353656716418,-0.7425373134328358,0.6106587712805329,0.0,0.8360894731165246,-0.5788678689188941,0.0,0.0,-52600000.0,388200000.0,0.05339897746638894,0.0,0.05339897746638894,0.13570741097208855,,-0.5455470737913486,0.016480373768331672,,0.0,0.0,,0,0,,0.0,,,,5.475285171102661,0.0,0.0,5.475285171102661,5.475285171102661,,,207800000.0,-237800000.0,Consumer Cyclical
1987-02-28,CCL,1987,Q1,USD,2123234480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.012292566009949123,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-05-31,CCL,1987,Q2,USD,2123234480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.019875336613787473,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-08-31,CCL,1987,Q3,USD,2274124240.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02203045863492489,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1987-11-30,CCL,1987,Q4,USD,1212507000.0,967307000.0,7.683137410643368,0.0,0.0,-3.3810101363159735,0.8570429919608529,1.7436135624709708,0.0,1.3014471040576572,0.10247878981317221,0.0,0.0,160100000.0,634300000.0,0.036556854410201914,0.0,0.036556854410201914,0.054130605822187254,,-0.39424004409535623,0.028370970229450218,,0.0,0.0,,0,0,,0.0,,,,5.9332803812549635,0.0,0.0,5.9332803812549635,5.9332803812549635,,,635500000.0,69900000.0,Consumer Cyclical
1988-02-29,CCL,1988,Q1,USD,1754861360.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026212896955005036,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-05-31,CCL,1988,Q2,USD,1649009520.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03153408113738482,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-08-31,CCL,1988,Q3,USD,1970822160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.028566758149299477,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1988-11-30,CCL,1988,Q4,USD,1900707320.0,1634107320.0,12.531497852760737,0.0,0.0,-5.249300738837134,0.8564086090587857,1.7889492753623188,0.0,1.5677878556222116,0.13302218986561276,0.0,0.0,174200000.0,742900000.0,0.0401143401619819,0.0,0.0401143401619819,0.05596171739997342,,-0.3756486062507542,0.022149649005402894,,0.0,0.0,,0,0,,0.0,,,,6.1426380368098155,0.0,0.0,6.1426380368098155,6.1426380368098155,,,752300000.0,97800000.0,Consumer Cyclical
1989-02-28,CCL,1989,Q1,USD,2221081500.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020845700619270387,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1989-05-31,CCL,1989,Q2,USD,2422998000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01716881318102615,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1989-08-31,CCL,1989,Q3,USD,3298067500.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.025590743670346347,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1989-11-30,CCL,1989,Q4,USD,2673847375.0,3564147375.0,15.76358856700575,0.0,0.0,-5.235234099588719,-1.3077262044653348,0.41924603174603176,0.0,1.2005174532293597,-2.1542676169016564,0.0,0.0,-292700000.0,1682100000.0,0.009593730294568057,0.0,0.010930924766499026,0.023846842812360054,,-0.3966903624286214,0.0079660492962879,,0.0,0.0,,0,0,,0.12233132150256734,,,,14.250331711632022,0.0,0.0,14.250331711632022,14.250331711632022,,,621600000.0,-1115700000.0,Consumer Cyclical
1990-02-28,CCL,1990,Q1,USD,2373699750.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.010616338481730892,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1990-05-31,CCL,1990,Q2,USD,3114428750.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.017531304898209664,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1990-08-31,CCL,1990,Q3,USD,2374915875.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.04513844095635598,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
