date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1986-02-28,CCL,1986,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.21958174904942965,0.21958174904942965,0.21958174904942965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.51868225108225,0.0,0.0,0.0,16.26545855513308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24223110505277506,0.053189529721664484,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-05-31,CCL,1986,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.22053231939163498,0.22053231939163498,0.22053231939163498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.438860344827585,0.0,0.0,0.0,16.26545855513308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24223110505277506,0.05341978742608728,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-08-31,CCL,1986,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.22053231939163498,0.22053231939163498,0.22053231939163498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.438860344827585,0.0,0.0,0.0,16.26545855513308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24223110505277506,0.05341978742608728,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1986-11-30,CCL,1986,Q4,USD,0.0,-2.038022813688213,-2.038022813688213,-2.038022813688213,0.0,0.26806083650190116,0.26806083650190116,0.26806083650190116,16.4375,0.0,0.0,0.23865698729582577,0.19920469608028782,0.6106587712805329,0.5455218356772761,0.08804246019356853,0.44189489267209475,15.169558865248225,0.04559987634844156,0.04559987634844156,8.234486236766122,16.26545855513308,0.0,0.0,0.4145048286309411,1.0534167468719924,0.5130067963440357,0.4712468193384224,2.541385948026949,0.0,,,0.0,-6.362017804154303,0.0,,,0.0,0.0,,,,0.24223110505277506,0.06493267264722678,0.5040341149814873,0.1374638495404056,0.4784755097905576,0.4784755097905576,0.4784755097905576,,,,0.0,0.0,8.234486236766122,0.12792744035063128,0.0,-8.72353656716418,,Consumer Cyclical
1987-02-28,CCL,1987,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.21499176276771004,0.21499176276771004,0.21499176276771004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33749501915709,-0.26450970475817537,-0.26450970475817537,0.0,17.489575617792422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.22527704994692815,0.04843271007919954,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-05-31,CCL,1987,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.2693044033184429,0.2693044033184429,0.2693044033184429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.578403317535544,0.18867604976303315,0.18867604976303315,0.0,13.54967760051053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.29078182641419803,0.07830882625832264,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-08-31,CCL,1987,Q3,USD,0.0,1.0,1.0,1.0,0.0,0.31292941911305433,0.31292941911305433,0.31292941911305433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.347925349301397,1.1347925349301413,1.1347925349301413,0.0,14.204398750780761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.29709106834022403,0.09296853543938303,,,,,,,,,0.0,0.0,0.0,,0.0,,,Consumer Cyclical
1987-11-30,CCL,1987,Q4,USD,0.0,-2.272438443208896,-2.272438443208896,-2.272438443208896,0.0,0.2732327243844321,0.2732327243844321,0.2732327243844321,15.168674698795181,0.0,0.0,0.2654997891185154,0.13379383634431455,1.7436135624709708,1.6943799349744542,0.11260229132569557,1.6219228982814677,8.811824127906977,0.06675624339323469,0.06675624339323469,1.9079575137686862,9.630714853057983,0.0,0.0,0.11052072263549416,0.16365066876475218,0.14063556457065585,0.12429378531073447,1.4807238394964595,0.0,,,0.0,-20.731884057971016,0.0,,,0.0,0.0,,,,0.23362751720196254,0.063834683016263,0.1929885765607951,0.6479962589906697,1.1792715423498585,1.1792715423498585,1.1792715423498585,,,,0.0,0.0,1.9079575137686862,0.08577270069368671,0.0,-3.3810101363159735,,Consumer Cyclical
1988-02-29,CCL,1988,Q1,USD,0.0,1.0,1.0,1.0,0.0,0.30085022890778285,0.30085022890778285,0.30085022890778285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.53729,-0.14733150169491527,-0.14733150169491527,0.0,11.477183518639634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2961891304347826,0.007763975155279503,0.7763975155279502,0.28055663610941894,0.08440552819511622,,,,,,,,,0.0,0.0,0.0,,0.0,,0.025,Consumer Cyclical
1988-05-31,CCL,1988,Q2,USD,0.0,1.0,1.0,1.0,0.0,0.3276622558286074,0.3276622558286074,0.3276622558286074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.927930384615386,0.7135137346153844,0.7135137346153844,0.0,10.390734215500945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2590826923076923,0.008169934640522876,0.8169934640522876,0.2944931451942133,0.09649428828039755,,,,,,,,,0.0,0.0,0.0,,0.0,,0.025,Consumer Cyclical
