date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CCL,14.23,14.52,14.01,14.34,16051177,0.11,0.77301,14.27
2020-07-31,CCL,14.22,14.345,13.72,13.88,20797506,-0.34,-2.39,13.9
2020-08-03,CCL,13.48,13.54,12.83,13.07,35540198,-0.41,-3.04,13.12
2020-08-04,CCL,13.1,13.99,13.07,13.74,24420979,0.64,4.89,13.7
2020-08-05,CCL,14.2,14.27,13.67,14.02,24722977,-0.18,-1.27,13.97
2020-08-06,CCL,13.45,14.02,13.3,13.78,85549031,0.33,2.45,13.63
2020-08-07,CCL,13.62,14.32,13.33,14.22,36958392,0.6,4.41,13.96
2020-08-10,CCL,14.37,15.47,14.34,15.44,42185133,1.07,7.45,15.12
2020-08-11,CCL,16.49,16.52,15.6202,15.82,54940688,-0.67,-4.06,16.1
2020-08-12,CCL,16.2,16.23,14.815,15.19,36241090,-1.01,-6.23,15.29
2020-08-13,CCL,15.0,15.75,14.91,15.22,21590889,0.22,1.47,15.33
2020-08-14,CCL,15.02,15.72,14.86,15.47,21109605,0.45,3.0,15.4
2020-08-17,CCL,15.4,15.44,14.68,14.68,33630320,-0.72,-4.68,14.86
2020-08-18,CCL,14.68,14.905,14.26,14.41,25005169,-0.27,-1.84,14.49
2020-08-19,CCL,14.42,15.1733,14.25,14.6,26802798,0.18,1.25,14.84
2020-08-20,CCL,14.35,14.72,14.17,14.54,20168419,0.19,1.32,14.51
2020-08-21,CCL,14.47,14.93,14.44,14.65,19011961,0.18,1.24,14.7
2020-08-24,CCL,15.02,16.21,14.65,16.14,56773542,1.12,7.46,15.79
2020-08-25,CCL,16.29,16.39,15.33,15.89,39114261,-0.4,-2.46,15.75
2020-08-26,CCL,15.7,15.78,15.19,15.28,24712834,-0.42,-2.68,15.39
2020-08-27,CCL,15.67,16.68,15.65,16.12,48404070,0.45,2.87,16.17
2020-08-28,CCL,16.58,17.34,16.23,17.21,51483558,0.63,3.8,16.93
2020-08-31,CCL,17.33,17.34,16.47,16.48,44276076,-0.85,-4.9,16.89
2020-09-01,CCL,16.09,16.7,16.02,16.51,26774874,0.42,2.61,16.44
2020-09-02,CCL,16.6,16.77,16.21,16.71,20992665,0.11,0.66265,16.5
2020-09-03,CCL,17.62,18.74,17.1,17.58,94793041,-0.04,-0.22701,17.92
2020-09-04,CCL,18.4,18.65,17.4,18.53,67408296,0.13,0.70652,18.1
2020-09-08,CCL,17.86,18.92,17.86,18.29,47278898,0.43,2.41,18.44
2020-09-09,CCL,18.13,18.22,17.26,17.66,36531005,-0.47,-2.59,17.66
2020-09-10,CCL,17.8,18.75,17.8,17.88,36896951,0.08,0.44944,18.24
2020-09-11,CCL,18.24,18.24,17.44,17.69,24118632,-0.55,-3.02,17.73
2020-09-14,CCL,17.94,18.12,17.54,17.85,26015125,-0.09,-0.50167,17.84
2020-09-15,CCL,17.205,17.23,15.85,15.93,81256767,-1.275,-7.41,16.4
2020-09-16,CCL,16.1,16.67,15.94,16.46,38622501,0.36,2.24,16.37
2020-09-17,CCL,15.8,16.51,15.7,16.24,30995709,0.44,2.78,16.18
2020-09-18,CCL,15.96,16.0753,15.07,15.31,52188716,-0.65,-4.07,15.43
2020-09-21,CCL,14.75,14.89,14.0,14.29,43595027,-0.46,-3.12,14.41
2020-09-22,CCL,14.4,14.82,14.18,14.41,30477641,0.01,0.06944444,14.4
2020-09-23,CCL,14.55,15.05,14.11,14.13,31504992,-0.42,-2.89,14.54
2020-09-24,CCL,14.07,14.165,13.4,13.74,32911603,-0.33,-2.35,13.75
2020-09-25,CCL,14.55,15.09,14.165,15.07,54574994,0.52,3.57,14.65
2020-09-28,CCL,15.54,15.55,14.78,15.31,37159497,-0.23,-1.48,15.18
2020-09-29,CCL,15.25,15.43,14.815,15.07,23640136,-0.18,-1.18,15.07
2020-09-30,CCL,15.42,15.96,15.11,15.18,44711840,-0.24,-1.56,15.5
2020-10-01,CCL,15.43,15.43,14.7,15.03,28492608,-0.4,-2.59,14.94
2020-10-02,CCL,14.26,15.215,14.23,15.16,31402078,0.9,6.31,14.82
2020-10-05,CCL,15.11,15.23,14.8,14.96,22501446,-0.15,-0.99272,14.97
2020-10-06,CCL,15.26,15.97,15.1218,15.19,44017124,-0.07,-0.45872,15.58
2020-10-07,CCL,15.48,16.045,15.29,15.99,30587019,0.51,3.29,15.75
2020-10-08,CCL,16.16,16.17,15.37,15.61,41305404,-0.55,-3.4,15.68
2020-10-09,CCL,15.72,16.065,15.5409,15.69,34172390,-0.03,-0.19084,15.79
2020-10-12,CCL,15.45,15.51,15.2,15.21,26275568,-0.24,-1.55,15.33
2020-10-13,CCL,14.71,14.83,13.98,14.03,49913447,-0.68,-4.62,14.27
2020-10-14,CCL,14.3299,14.43,13.91,13.97,34826747,-0.3599,-2.51,14.11
2020-10-15,CCL,13.72,14.04,13.62,14.02,29665576,0.3,2.19,13.79
2020-10-16,CCL,14.05,14.33,13.71,14.08,39954331,0.03,0.21352,13.98
2020-10-19,CCL,14.21,14.5,13.99,14.15,28501189,-0.06,-0.42224,14.25
2020-10-20,CCL,14.42,14.71,14.23,14.61,27765975,0.19,1.32,14.51
2020-10-21,CCL,14.6,14.63,14.31,14.48,17684841,-0.12,-0.82192,14.48
2020-10-22,CCL,14.525,15.24,14.47,15.19,32753575,0.665,4.58,14.9
2020-10-23,CCL,15.19,15.5,15.03,15.36,25819998,0.17,1.12,15.28
2020-10-26,CCL,14.75,14.83,13.82,14.03,50108504,-0.72,-4.88,14.09
2020-10-27,CCL,14.04,14.17,13.73,13.76,24613519,-0.28,-1.99,13.9
2020-10-28,CCL,13.24,13.265,12.29,12.3,59542694,-0.94,-7.1,12.69
2020-10-29,CCL,12.34,13.09,12.11,12.98,31961017,0.64,5.19,12.7
2020-10-30,CCL,12.78,14.48,12.62,13.71,76843981,0.93,7.28,13.62
2020-11-02,CCL,13.49,13.645,12.93,13.55,32427894,0.06,0.44477,13.36
2020-11-03,CCL,13.59,13.98,13.47,13.71,26661651,0.12,0.883,13.73
