date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1986-03-31,CDNS,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.07317073170731707,0.07317073170731707,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.34666666666666,0.0,0.0,0.0,18.833170731707316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10619560712805635,0.00777041027766266,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1986-06-30,CDNS,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26,0.0,0.0,0.0,18.833170731707316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10619560712805635,0.010360547036883548,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1986-09-30,CDNS,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.26,0.0,0.0,0.0,18.384761904761906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10878574388727724,0.010360547036883548,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1986-12-31,CDNS,1986,Q4,USD,1.0,-2.4047619047619047,-2.4047619047619047,-2.4047619047619047,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.8076923076923077,0.0,0.0,0.8076923076923077,0.2485207100591716,2.888888888888889,2.888888888888889,0.02877697841726619,1.3888888888888888,48.26,0.0,0.0,25.738666666666667,18.384761904761906,0.0,0.0,0.14792899408284024,0.8333333333333334,0.45454545454545453,0.3333333333333333,5.633333333333334,0.0,,,0.0,-10.1,0.0,,,0.0,0.0,,,,0.10878574388727724,0.010360547036883548,0.06475341898052217,0.12950683796104434,0.07770410277662661,0.07770410277662661,0.07770410277662661,,,,0.0,0.0,25.738666666666667,0.032376709490261085,0.0,-7.397623762376238,,Technology
1987-03-31,CDNS,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.92666666666666,0.0,0.0,0.0,18.34938775510204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.10899546222973575,0.006673191565085862,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1987-06-30,CDNS,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.14035087719298245,0.14035087719298245,0.14035087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6516625,0.206516625,0.206516625,0.0,11.593915789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.12679063973663138,0.017795177506895632,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1987-09-30,CDNS,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89305555555556,0.0,0.0,0.0,15.281147540983607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13480662983425415,0.019889502762430938,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1987-12-31,CDNS,1987,Q4,USD,1.0,-1.732394366197183,-1.732394366197183,-1.732394366197183,0.0,0.16901408450704225,0.16901408450704225,0.16901408450704225,0.7888888888888889,0.0,0.0,1.3653846153846154,0.20821114369501467,4.114754098360656,4.114754098360656,0.13333333333333333,2.5737704918032787,12.538020833333334,0.0,0.0,2.397709163346614,8.476408450704225,0.0,0.0,0.07331378299120235,0.099601593625498,0.09057971014492754,0.04198473282442748,1.3585657370517927,0.0,,,0.0,-8.785714285714286,0.0,,,0.0,0.0,,,,0.1569060773480663,0.026519337016574586,0.055248618784530384,0.3469613259668508,0.554696132596685,0.554696132596685,0.554696132596685,,,,0.0,0.0,2.397709163346614,0.04154031487558676,0.0,-3.8197154471544716,,Technology
1988-03-31,CDNS,1988,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.183206106870229,0.183206106870229,0.183206106870229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.292154166666666,0.3458430833333333,0.3458430833333333,0.0,12.672112977099237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13178544122972918,0.02414389762987405,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
1988-06-30,CDNS,1988,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.09868421052631579,0.09868421052631579,0.09868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.99879333333333,-0.8399638,-0.8399638,0.0,11.052155263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.15291135165586897,0.015089936018671282,,,,,,,,,0.0,0.0,0.0,,0.0,,,Technology
