date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,CHD,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.06341463414634146,0.06341463414634146,0.06341463414634146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.013224158653845,0.0,0.0,0.0,3.0472568597560974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1630723107692305,0.128256,12.8256,0.25637812496795276,0.016258124997967735,,,,,,,,,0.0,0.0,0.0,,0.0,,0.1002,Consumer Defensive
1985-12-31,CHD,1985,Q4,USD,1.0,-2.3212025316455698,-2.3212025316455698,-2.3212025316455698,0.0,0.058544303797468354,0.058544303797468354,0.058544303797468354,3.0980392156862746,0.0,0.0,0.9266862170087976,0.4244459368703828,2.3184713375796178,1.5668789808917198,0.04946524064171123,0.8280254777070064,16.85643664864865,-1.6558970119554848,-1.6558970119554848,3.3667376842105265,3.9473933924050635,0.0,0.0,0.14976494291470785,0.300944669365722,0.23132780082987553,0.2191780821917808,2.00944669365722,0.0,,,0.0,-97.8,0.0,,,0.0,0.0,6.496211354594594,0.09634615384615385,9.634615384615383,0.26346499996706685,0.015424374998071953,0.09296312498837961,0.10838749998645156,0.30890437496138695,0.29097874996362766,0.30890437496138695,,,,0.0,0.0,3.3667376842105265,0.08938762018113423,0.0,-1.675359661895024,0.1002,Consumer Defensive
1986-03-31,CHD,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.04821150855365474,0.04821150855365474,0.04821150855365474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.311698967741933,-2.0569146148007578,-2.0569146148007578,0.0,4.495568696734059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.786107455225807,0.08350000000000002,8.350000000000001,0.26692952125762776,0.012869074897335088,,,,,,,,,0.0,0.0,0.0,,0.0,,0.10020000000000001,Consumer Defensive
1986-06-30,CHD,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.03343949044585987,0.03343949044585987,0.03343949044585987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24637703333333,-0.9109536290866667,-0.9109536290866667,0.0,4.5807255904458595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.767205006285714,0.042100840336134454,4.2100840336134455,0.2597841709798147,0.008687050303465142,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0501,Consumer Defensive
1986-09-30,CHD,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.0577716643741403,0.0577716643741403,0.0577716643741403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.940529847619047,0.14762666397052157,0.14762666397052157,0.0,3.4525571037138927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1064467999999996,0.05198019801980198,5.198019801980198,0.29253679799055304,0.016900337710595913,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0525,Consumer Defensive
1986-12-31,CHD,1986,Q4,USD,1.0,-2.4007936507936507,-2.4007936507936507,-2.4007936507936507,0.0,0.046296296296296294,0.046296296296296294,0.046296296296296294,2.597938144329897,0.0,0.0,0.75,0.3291249455811929,2.6425,1.8725,0.02802241793434748,1.045,18.993703291428574,-0.9329260146084033,-0.9329260146084033,2.5373267755725193,3.5173524613756615,0.0,0.0,0.2642577274706138,0.5791984732824428,0.3667673716012085,0.36097560975609755,2.191793893129771,0.0,,,0.0,-121.0,0.0,,,0.0,0.0,3.7277361599999996,0.04906542056074766,4.906542056074766,0.3042060787907264,0.014083614758829927,0.2442501188174219,0.16819859911974028,0.421703664778679,0.3879029893574871,0.421703664778679,,,,0.0,0.0,2.5373267755725193,0.22827113908170268,0.0,-1.5692112731680443,0.0525,Consumer Defensive
1987-03-31,CHD,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.017167381974248927,0.017167381974248927,0.017167381974248927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.277211333333334,-1.0139601334136548,-1.0139601334136548,0.0,4.345216228898426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.891979,0.0430327868852459,4.30327868852459,0.28076853618612374,0.0048200607070579184,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0525,Consumer Defensive
1987-06-30,CHD,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.03994673768308921,0.03994673768308921,0.03994673768308921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.43253375,0.20472040111940298,0.20472040111940298,0.0,4.383360918774967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60866567,0.041999999999999996,4.2,0.2851693080179539,0.011391583542661276,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0525,Consumer Defensive
1987-09-30,CHD,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,0.06053550640279395,0.06053550640279395,0.06053550640279395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5114057,0.2609439116746988,0.2609439116746988,0.0,4.482389273108265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7843182819999996,0.037602739726027394,3.7602739726027394,0.32571914464438706,0.01971757336613286,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0549,Consumer Defensive
1987-12-31,CHD,1987,Q4,USD,1.0,-2.3629124004550626,-2.3629124004550626,-2.3629124004550626,0.0,0.05233219567690557,0.05233219567690557,0.05233219567690557,2.8173076923076925,0.0,0.0,0.8184357541899442,0.3570268074735987,2.5509761388286334,1.8329718004338396,0.035357417371252885,0.9913232104121475,16.33943016521739,-0.9902684948616598,-0.9902684948616598,2.5895393198966405,3.42031302662116,0.0,0.0,0.23679935012185216,0.5021533161068045,0.3342889908256881,0.3285135916714864,2.120585701981051,0.0,,,0.0,-138.46666666666667,0.0,,,0.0,0.0,3.1474902318260867,0.04815789473684211,4.815789473684211,0.3333028267082843,0.017442468746963685,0.22106433216260493,0.17328713516005226,0.44023274380923555,0.4095188314504517,0.44023274380923555,,,,0.0,0.0,2.5895393198966405,0.19391608084439033,0.0,-1.5081632885893113,0.0549,Consumer Defensive
