date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,CI,1985,Q3,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.902639486899563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38049628601524016,0.012036999999999999,1.2036999999999998,0.0,0.1898099998723963,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.072222,Healthcare
1985-12-31,CI,1985,Q4,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,-0.024630205308646194,0.0,-1.2267098648404993,0.0014125749958769386,0.0014125749958769386,1.3193829915503463,0.0,0.0,0.0,0.007555402559895566,0.09003729355354288,0.0826001955034213,0.0826001955034213,11.916941928609484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.04963329964062215,0.010115126050420168,1.0115126050420167,0.0,-1.4551118004028534,0.4872476605272087,0.0,5.411620466328821,5.411620466328821,5.411620466328821,,,,0.0,0.0,1.3193829915503463,0.06824196926151382,0.0,0.0,0.072222,Healthcare
1986-03-31,CI,1986,Q1,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.63770913817992,-0.20339335141477388,-0.20339335141477388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745817245985773,0.008949442379182155,0.8949442379182154,0.0,0.09323999999797135,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.072222,Healthcare
1986-06-30,CI,1986,Q2,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.012012007920791,0.19709850689053135,0.19709850689053135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49291564274775873,0.010258806818181818,1.0258806818181816,0.0,0.14652000004990384,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.072222,Healthcare
1986-09-30,CI,1986,Q3,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.915810550801501,0.2968428956550561,0.2968428956550561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3804962859234515,0.012016971713810316,1.2016971713810316,0.0,0.1898099999181849,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.072222,Healthcare
1986-12-31,CI,1986,Q4,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.004527349154454206,0.0,5.446565622712896,0.11498305203505,0.11498305203505,0.9680166360800001,0.0,0.0,0.0,0.010228767709403829,0.11061621621621621,0.09959895650819608,0.09959895650819608,10.814227027027027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.25752054004763203,0.011820317512274959,1.1820317512274958,0.0,0.2804519592365001,0.6981957291746641,0.0,6.311874994982059,6.311874994982059,6.311874994982059,,,,0.0,0.0,0.9680166360800001,0.11427098677163079,0.0,0.0,0.07222214,Healthcare
1987-03-31,CI,1987,Q1,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.343020438021156,-0.3337208175208461,-0.3337208175208461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3767203815919151,0.011288489114658925,1.1288489114658926,0.0,0.2064600000438872,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.07777769,Healthcare
1987-06-30,CI,1987,Q2,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.145680561313869,0.16132411473448904,0.16132411473448904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27158911223687277,0.011047967329545454,1.1047967329545454,0.0,0.28638000013846054,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.07777769,Healthcare
1987-09-30,CI,1987,Q3,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.345183023638345,-0.5325257692137803,-0.5325257692137803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3156305901689535,0.010742774861878452,1.0742774861878452,0.0,0.24641999990674693,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.07777769,Healthcare
1987-12-31,CI,1987,Q4,USD,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0025163739484194863,0.0,7.4959685344799345,-0.20822134817999818,-0.20822134817999818,0.7361815870178967,0.0,0.0,0.0,0.00590520270977583,0.0635230243313895,0.059728866115827485,0.059728866115827485,10.757128493866881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.4788658044554699,0.01597077823408624,1.597077823408624,0.0,0.16242063909416735,0.4202185085163593,0.0,6.61521571019897,6.61521571019897,6.61521571019897,,,,0.0,0.0,0.7361815870178967,0.08628716807317438,0.0,0.0,0.07777769,Healthcare
