date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2005-09-30,CMG,2005,Q3,USD,1156364000.0,1159094000.0,7.652755494813847,0.0,0.0,69.3860520802155,0.16342412451361868,0.38342273103301044,0.0,0.14043717396560707,-0.05270632776530573,0.5494541130688574,0.9738919886303822,-23105000,314162000,0.013672174448661428,0.0,0.014357175339440005,0.017070050004533655,0.01539642416352326,0.02841425768163109,0.004395674718341284,,0.0,0.0,,0.0,0,,0.047711396885767546,,,,1.1450472398835343,7.294876175478733,1.7943042205814626,2.939351460464997,-4.355524715013736,,,280035000,-59636000,Consumer Cyclical
2005-12-31,CMG,2005,Q4,USD,1156364000.0,1156360000.0,6.672090379833019,46.511141501085994,-238.32646331409728,75.23976836489037,-0.0002602641681306526,0.42456290791291507,5.833411543876115,0.13107321713149014,-0.0598392374719379,0.5592441936753707,0.985261797026503,-24158000,334274000,0.01085873705397521,0.020241484707015305,0.011372702844776749,0.013777096788792128,0.012339201409359022,0.02206765512263454,0.0036856906648771496,-0.004195910630216783,1.1951572681200224,3.8923238145140164,0.17144703513296752,0.0,0,0.0,0.045192932394043234,3054000.0,12050000.0,2654500.0,2.1711585397517785,8.408628812298536,1.6736920406645177,3.8448505804162965,-4.56377823188224,-4848000.0,-16701246.161921008,291616000,-65317000,Consumer Cyclical
2006-03-31,CMG,2006,Q1,USD,1702906500.0000002,1569500500.0000002,8.39237761676871,67.66838406484436,174.50528129864355,75.68964602623458,-6.433545524691358,3.3458708094848735,2.9036054081121683,0.17648535305275487,0.020441449662679658,0.5856734364689493,1.071153695122909,103284000,466812000,0.015553322896952422,0.028105592975477964,0.016109710597963095,0.01958419142885162,0.015879672130453118,0.027116875372689326,0.0046908036348443085,0.005281558323959653,0.6122273001638354,1.7743346245158065,0.0759297382562896,0.0,0,0.008127690292222548,0.03453741131023311,3477000.0,11239000.0,2837000.0,1.3344918856776193,5.600921763945364,1.8382357866813148,3.172727672358934,-2.4281940915864304,142400000.0,-126181620.13344087,390142000,41604000,Consumer Cyclical
2006-06-30,CMG,2006,Q2,USD,1980182000.0,1839423000.0,8.975597259632275,84.08406472846956,-1980.0032292787944,76.07523057198395,-5.821539352330535,3.5309923942250765,2.027057079318013,0.1990012818597909,0.024421939498490544,0.6192689504791415,1.098109640831758,111146000,488511000,0.020169964470809435,0.030267746540522448,0.020861564037385344,0.025117944015286754,0.019958000105811204,0.03231264468918168,0.005450004090533093,-0.0004691487954137549,1.0424666300969099,2.7446142736791432,0.11127864308857399,0.0,0,0.0,0.03315185598436043,2370000.0,10504000.0,3044500.0,0.8638306593277902,6.571127712735135,1.7047472475435066,2.5685779068712966,-4.002549805863838,139830000.0,-12530201.755896024,411915000,49660000,Consumer Cyclical
2006-09-30,CMG,2006,Q3,USD,1614225330.0,1460786330.0,6.914637555618669,51.40174988563989,499.4141299145299,55.063754005051074,-5.783821478382148,3.081353029329908,2.4079816980172852,0.21371567237297476,0.02615326625434629,0.5960606060606061,1.1090573012939002,116664000,514293000,0.02058880995910848,0.03221757737460942,0.021246260031755976,0.02598609319059551,0.020573444203208162,0.03452043034038966,0.0073112469372537976,0.0018120146832288897,0.8970758999261058,2.938450899031812,0.12067594433399602,0.0,0,0.0,0.030944273093938844,2513000.0,15268000.0,3216500.0,1.3031809145129223,10.211819184921223,1.8412531881410197,3.1444341026539417,-7.067385082267282,156364000.0,-11694530.0,436428000,53658000,Consumer Cyclical
2006-12-31,CMG,2006,Q4,USD,1854779999.9999998,1701208999.9999998,7.742657667293224,56.50355387272485,-361.5747077577045,68.70518153547917,-6.202132385606397,2.922125455466414,2.7772345724564156,0.20898150345812566,0.02174523663183774,0.6234401058140203,1.122160557563242,117636000,540114000,0.017942496623679263,0.026321689915001462,0.018485174007195595,0.02287338302841819,0.017789024559444613,0.02853738533757392,0.005844898047207755,-0.002536688987373166,1.1562707586023648,3.757474365893146,0.15844328437686317,0.0,0,0.02363473345500389,0.029357439822048036,8353500.0,19192500.0,3449000.0,5.590413209599534,10.059579572717926,1.801953615903119,7.392366825502653,-2.667212747215273,148866000.0,-16859172.12030594,456219000,48586000,Consumer Cyclical
2007-03-31,CMG,2007,Q1,USD,2018596000.0,1863784000.0,7.8942120756475145,60.61677562038573,-1369.4224834680383,64.68552389546386,-5.372991358067539,2.660010793308149,2.471623794212219,0.22660202386766726,0.015312979912771054,0.6200159489633174,1.0758753820580191,110736000,556340000,0.019864556935748377,0.03031251193669953,0.020504874852683024,0.025588231059258146,0.02066221251099777,0.033329580203491124,0.006162699222628005,-0.0006742310001605076,1.0442644810875858,3.1589925226288864,0.1359961032635168,0.0,0,0.0066413943539676825,0.031227594488383865,9514000.0,19609000.0,3823500.0,2.0508693534382343,9.449059950526523,1.9916546900962222,4.042524043534456,-5.406535906992067,153451000.0,-3481322.567783095,466605000,37364000,Consumer Cyclical
2007-06-30,CMG,2007,Q2,USD,2790891000.0,2634748000.0,9.603741261035335,84.19877284929055,3851.970760233918,63.860293761209945,-3.7845508749818215,2.930723992424494,1.5660877833942246,0.293566633558802,0.017132834997855523,0.6217250606758354,1.0474545336027639,116218000,582416000,0.030938338548819895,0.04823933198854784,0.032026273693928776,0.03913001756650106,0.03256845641407308,0.052390636552552,0.007159362368505255,0.00024508302187365973,0.9781413779879842,2.8940998487140694,0.11156714513789157,0.0,0,0.0,0.033970082049074604,5849000.0,19787000.0,4280000.0,2.072638201395318,8.51547733252282,1.8883390480894353,3.9609772494847535,-4.554500083038067,156827000.0,-6438231.688344017,488692000,41210000,Consumer Cyclical
2007-09-30,CMG,2007,Q3,USD,4006485000.0000005,3838903000.0000005,13.402540227838468,88.18172003491524,1602.2132721202006,90.1934309141743,-3.9372694593896105,2.68516567979959,2.1128907008347895,0.30504400682747423,0.01711750137589433,0.6258999362070536,1.048509364250223,118393000,609627000,0.030150709647963687,0.04724044538068011,0.03115078285164825,0.03838537018855481,0.03204697171356922,0.051207693223576156,0.005142662458489174,0.0005980304431440526,0.9449625580006432,3.6838900331333395,0.14362272240085744,0.0,0,0.0,0.032104271935870475,6314500.0,22440500.0,4411000.0,1.982990667909549,10.189018166972852,1.797917942437232,3.7809086103467813,-6.408109556626071,169978000.0,-12495245.602843344,514828000,42049000,Consumer Cyclical
2007-12-31,CMG,2007,Q4,USD,4822776000.0,4675636000.0,16.18371119033609,113.07463119709794,1003.570723331187,95.0641672088484,-2.991623292127521,2.7536322833249205,2.3577374843197627,0.28710594612084167,0.0149463545476713,0.6072504414667083,0.7702421591636441,128543000,645412000,0.024286990299329056,0.03971733540522041,0.025047987934462192,0.031200298873885896,0.026119938775104087,0.043018492202696,0.003636494832022055,0.0009660411348153014,0.8873276904474002,3.1392026009582477,0.12699802706725277,0.0,0,0.02700148835277422,0.03038158742028624,10609500.0,22419000.0,4368000.0,4.644076009830051,7.9512578825976234,1.7326382870932044,6.3767142969232555,-1.574543585674368,151799000.0,-12383537.446764305,540171000,41839000,Consumer Cyclical
