date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1985-09-30,CMI,1985,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.01768254628666528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2771937591013105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008572319201995013,0.8572319201995015,6.279391785975546,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1985-12-31,CMI,1985,Q4,USD,1.0,-2.7626617375231053,-2.7626617375231053,-2.7626617375231053,0.0,0.028835489833641405,0.0,0.0,2.0492424242424243,0.0,0.0,0.7706552706552706,0.3172834437862882,1.649770466717674,1.1105585309869932,0.0,0.3203902065799541,0.0,0.0,0.0,0.968195615514334,1.2735083179297597,0.0,0.0,0.17289308544953375,0.4142776840921866,0.29292527821939585,0.24746192893401014,2.396149522203485,0.0,,,0.0,-24.582236842105264,0.0,,,0.0,0.0,0.0,0.0076388888888888895,0.763888888888889,7.0670916501201795,0.0,3.850977113595987,2.188055178179538,9.295642177866025,9.295642177866025,9.295642177866025,,,,0.0,0.0,0.968195615514334,0.42788634595510966,0.0,-0.5461447879031179,0.06875,Industrials
1986-03-31,CMI,1986,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.007158057651383247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5750679822015863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007168925964546403,0.7168925964546403,6.088626083678854,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1986-06-30,CMI,1986,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.005466291204240517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666691403014742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008253301320528213,0.8253301320528212,7.1399848613870756,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1986-09-30,CMI,1986,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.21465295629820053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1512032317297098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009278002699055331,0.9278002699055332,6.436743570347958,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1986-12-31,CMI,1986,Q4,USD,1.0,-2.600062637018478,-2.600062637018478,-2.600062637018478,0.0,0.0039148136548700285,0.0,0.0,1.7452855971576933,0.0,0.0,0.7596954556269332,0.3209206492788582,1.4300588501584428,0.9013128112267994,0.0,0.24460540214274937,0.0,0.0,0.0,1.083261284907676,1.1115896022549328,0.0,0.0,0.22388059701492538,0.6798412940637876,0.4047056686046512,0.3280352748154225,3.036624446818251,0.0,,,0.0,-13.219745222929935,0.0,,,0.0,0.0,0.0,0.008194278903456496,0.8194278903456497,7.547749621785174,0.0,5.265459531013616,1.91589447806354,7.745130484114977,7.745130484114977,7.745130484114977,,,,0.0,0.0,1.083261284907676,0.6275875483925645,0.0,-0.5982059262828234,0.06875,Industrials
1987-03-31,CMI,1987,Q1,USD,1.0,1.0,1.0,1.0,0.0,0.021749049429657795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2948374144486694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006840796019900498,0.6840796019900498,7.7615922183397865,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1987-06-30,CMI,1987,Q2,USD,1.0,1.0,1.0,1.0,0.0,0.014988358556461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3890551804423747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00609485815602837,0.609485815602837,8.120627717905085,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1987-09-30,CMI,1987,Q3,USD,1.0,1.0,1.0,1.0,0.0,-0.00942690408499177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3381793805177316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006510416666666667,0.6510416666666667,7.891318722841489,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.06875,Industrials
1987-12-31,CMI,1987,Q4,USD,1.0,-2.563626723223754,-2.563626723223754,-2.563626723223754,0.0,-0.005832449628844115,0.0,0.0,2.1149425287356323,0.0,0.0,0.829284379465758,0.3735763097949886,1.3681132656201909,0.732071406586642,0.0,0.11819021237303785,0.0,0.0,0.0,0.7229612595695508,0.6634492046659597,0.0,0.0,0.20015846290977518,0.5838509316770186,0.3686274509803922,0.32451946531368914,2.916943521594684,0.0,,,0.0,-27.011173184357542,0.0,,,0.0,0.0,0.0,0.011632825719120136,1.1632825719120137,8.90799168713395,0.0,4.77281314944266,0.906858114490837,8.174711883619874,8.174711883619874,8.174711883619874,,,,0.0,0.0,0.7229612595695508,0.8075825971984196,0.0,-0.4280796690796277,0.06875,Industrials
