date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CNP,19.2,19.22,18.77,19.13,7231600,-0.07,-0.36458,19.08
2020-07-31,CNP,19.16,19.3,18.4,19.01,16893400,-0.15,-0.78288,18.9675
2020-08-03,CNP,18.94,19.55,18.77,19.32,5847185,0.38,2.01,19.145
2020-08-04,CNP,19.26,19.92,19.26,19.49,8598400,0.23,1.19,19.4825
2020-08-05,CNP,19.68,19.83,18.9,19.02,8742571,-0.66,-3.35,19.3575
2020-08-06,CNP,19.05,20.51,19.05,20.27,11881251,1.22,6.4,19.72
2020-08-07,CNP,20.19,20.7,20.15,20.41,7286401,0.22,1.09,20.3625
2020-08-10,CNP,20.58,21.04,20.49,20.98,4454734,0.4,1.94,20.7725
2020-08-11,CNP,21.22,21.42,20.6,20.61,5286233,-0.61,-2.87,20.9625
2020-08-12,CNP,20.83,20.95,20.39,20.4,8297450,-0.43,-2.06,20.6425
2020-08-13,CNP,20.26,20.87,20.26,20.74,5698300,0.48,2.37,20.5325
2020-08-14,CNP,20.64,20.65,20.27,20.54,4585438,-0.1,-0.4845,20.525
2020-08-17,CNP,20.54,20.84,20.46,20.65,5439000,0.11,0.53554,20.6225
2020-08-18,CNP,20.66,20.77,20.11,20.24,6967946,-0.42,-2.03,20.445
2020-08-19,CNP,20.14,20.48,20.11,20.25,3552909,0.11,0.54618,20.245
2020-08-20,CNP,20.13,20.19,19.81,19.82,5580900,-0.31,-1.54,19.9875
2020-08-21,CNP,19.91,20.08,19.7,19.79,4430200,-0.12,-0.60271,19.87
2020-08-24,CNP,19.83,20.26,19.81,20.22,4113822,0.39,1.97,20.03
2020-08-25,CNP,20.39,20.39,19.9,20.01,3347613,-0.38,-1.86,20.1725
2020-08-26,CNP,19.89,19.89,19.55,19.64,3582127,-0.25,-1.26,19.7425
2020-08-27,CNP,19.69,19.92,19.61,19.76,3315715,0.07,0.35551,19.745
2020-08-28,CNP,19.85,19.98,19.61,19.95,2492920,0.1,0.50378,19.8475
2020-08-31,CNP,19.98,20.13,19.88,20.07,4348200,0.09,0.45045,20.015
2020-09-01,CNP,19.85,20.05,19.74,20.0,3018800,0.15,0.75567,19.91
2020-09-02,CNP,19.98,20.55,19.88,20.45,3410418,0.47,2.35,20.215
2020-09-03,CNP,20.59,20.75,19.96,20.15,3829400,-0.44,-2.14,20.3625
2020-09-04,CNP,20.23,20.3,19.6,19.87,3613637,-0.36,-1.78,20.0
2020-09-08,CNP,19.83,19.94,19.31,19.37,3899606,-0.46,-2.32,19.6125
2020-09-09,CNP,19.58,19.73,19.39,19.53,6291200,-0.05,-0.25536,19.5575
2020-09-10,CNP,19.46,19.77,19.4,19.45,3673315,-0.01,-0.05138746,19.52
2020-09-11,CNP,19.45,19.56,19.26,19.45,2795638,0.0,0.0,19.43
2020-09-14,CNP,19.57,19.86,19.42,19.54,4468843,-0.03,-0.1533,19.5975
2020-09-15,CNP,19.58,19.66,18.86,19.01,4827483,-0.57,-2.91,19.2775
2020-09-16,CNP,19.02,19.77,19.02,19.74,7213172,0.72,3.79,19.3875
2020-09-17,CNP,19.57,19.59,19.13,19.29,4768812,-0.28,-1.43,19.395
2020-09-18,CNP,19.24,19.29,18.84,18.93,10942126,-0.31,-1.61,19.075
2020-09-21,CNP,18.75,19.25,18.67,18.9,6933700,0.15,0.8,18.8925
2020-09-22,CNP,18.84,19.11,18.79,18.91,3106514,0.07,0.37155,18.9125
2020-09-23,CNP,18.93,19.13,18.84,18.86,5520610,-0.07,-0.36978,18.94
2020-09-24,CNP,18.82,19.14,18.6,18.9,4206943,0.08,0.42508,18.865
2020-09-25,CNP,18.75,19.01,18.67,18.99,3570800,0.24,1.28,18.855
2020-09-28,CNP,19.17,19.3,18.99,19.02,3074222,-0.15,-0.78247,19.12
2020-09-29,CNP,19.11,19.26,18.78,19.0,2858440,-0.11,-0.57561,19.0375
2020-09-30,CNP,19.14,19.49,19.06,19.35,5278800,0.21,1.1,19.26
2020-10-01,CNP,19.44,19.48,19.19,19.4,3313607,-0.04,-0.20576,19.3775
2020-10-02,CNP,19.2,19.98,19.1,19.93,5795606,0.73,3.8,19.5525
2020-10-05,CNP,20.02,20.24,19.71,20.19,3382604,0.17,0.84915,20.04
2020-10-06,CNP,20.29,20.81,20.09,20.57,5278933,0.28,1.38,20.44
2020-10-07,CNP,20.7,20.92,20.47,20.65,3957681,-0.05,-0.24155,20.685
2020-10-08,CNP,20.77,21.36,20.68,21.32,4644159,0.55,2.65,21.0325
2020-10-09,CNP,21.39,21.54,21.21,21.37,5488000,-0.02,-0.09350164,21.3775
2020-10-12,CNP,21.4,21.82,21.22,21.61,5879712,0.21,0.98131,21.5125
2020-10-13,CNP,21.39,21.59,20.77,20.82,5772200,-0.57,-2.66,21.1425
2020-10-14,CNP,20.85,21.06,20.61,20.79,2780164,-0.06,-0.28777,20.8275
2020-10-15,CNP,20.59,20.99,20.59,20.92,2190000,0.33,1.6,20.7725
2020-10-16,CNP,20.94,21.12,20.65,20.85,2424100,-0.09,-0.4298,20.89
