date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
1994-03-31,COF,1994,Q1,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.402777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.18,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1994-06-30,COF,1994,Q2,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8382194364161855,-1.4108794985549158,-1.4108794985549158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.17000034393133165,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1994-09-30,COF,1994,Q3,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-265.3580475,2.57776389,2.57776389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,-0.005021517201207173,,,,,,,,,0.0,0.0,0.0,,0.0,,,Financial Services
1994-12-31,COF,1994,Q4,USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31660782693607753,0.31660782693607753,0.010124551081225643,0.30564110268158945,10.013511226415094,-0.00370870786163522,-0.00370870786163522,2.236477433628319,0.0,0.0,0.0,0.445019404915912,2.899283607248209,0.7435426348211391,0.1021566401816118,6.5149599662874,0.0,,0.0,0.0,0.040090771558245086,0.0,,,0.0,0.0,,,,0.0,0.13307020583199008,6.90960766886107,2.0432553491711984,2.383212063692924,2.383212063692924,2.383212063692924,,,,0.0,0.0,2.236477433628319,1.2963616639514202,0.0,76.6238562264151,,Financial Services
1995-03-31,COF,1995,Q1,USD,0.7281021897810219,0.17883211678832117,0.21715328467153286,0.17883211678832117,0.17883211678832117,0.114507299270073,0.114507299270073,0.114507299270073,8.148698884758364,2.0,0.0,1.9312775330396477,0.05777238943650836,0.27261443749379405,0.27261443749379405,0.010171241195044936,0.25925925925925924,12.250004880478087,0.0,0.0,2.45685275669197,5.610859899635036,17.544942796005706,13.80359696969697,0.5230088029097043,3.9640431482221334,0.7985513078470825,0.0,7.579304834198961,-0.18459724619984,0.04423592493297587,0.40647810218978103,0.7867564534231201,0.016458681340277094,0.7686274509803922,0.04490022172949002,0.04490022172949002,4.689473684210526,4.689473684210526,0.0,0.0,0.0,1.1352983524707758,0.12999994820719196,10.541908150634203,2.7046204364062008,2.5927479710167445,2.5927479710167445,2.5927479710167445,0.4614739197315061,0.09840633529628076,0.3630675844352253,0.6403061224489796,1.0,2.45685275669197,1.6134638664954106,0.3596938775510204,56.55673298319328,0.0,Financial Services
1995-06-30,COF,1995,Q2,USD,0.6801839464882943,0.193561872909699,0.22909698996655517,0.193561872909699,0.193561872909699,0.12374581939799331,0.12374581939799331,0.12374581939799331,4.851926977687627,1.3304347826086957,0.0,2.083623693379791,0.05687519319019426,0.329054576903819,0.329054576903819,0.010370451019352732,0.30661386499157905,10.833315033783784,0.7041654771959464,0.7041654771959464,2.4119302369311773,5.362309782608696,-23.321172727272728,-26.5013326446281,0.5086905865848729,4.022940955246333,0.8009134471398622,0.0,7.90842421963144,-0.16277091626688442,-0.02203104374345669,-0.20234113712374582,1.1363636363636365,0.017329209496952606,0.7820945945945946,-0.022623165373469197,-0.022623165373469197,-7.333333333333333,-4.080182673847633,0.17777749969966217,0.004102564615384615,0.4102564615384615,1.2121642097368408,0.15000025337880638,11.141572874278504,3.4135192795933778,2.6949369846908526,2.6949369846908526,2.6949369846908526,-0.2452706845788591,0.03344600244257169,-0.27871668702143076,0.6393088552915767,1.0,2.4119302369311773,1.6679342103878294,0.36069114470842334,50.154461678832114,0.02666667,Financial Services
1995-09-30,COF,1995,Q3,USD,0.904883011190234,0.2695829094608342,0.31943031536113936,0.6220752797558494,0.2695829094608342,0.17243133265513733,0.17243133265513733,0.17243133265513733,6.281150159744409,0.0,0.0,1.5395458104933437,0.03810003682099184,0.42327360884882004,0.42327360884882004,0.009501652461297617,0.4114170991325429,14.397075811209438,1.0797806858407062,1.0797806858407062,3.4805553218042427,9.930027873855543,-40.08713511293634,-65.7321037037037,0.5022964671227301,4.620966304154038,0.8220946460289267,0.0,9.199679087181316,-0.13121975638244618,-0.011250426152505776,-0.1510681586978637,1.6397306397306397,0.016421163384939125,1.7647907647907648,-0.011458775415718199,-0.011458775415718199,-1.563157894736842,-1.2222222222222223,0.15634218289085547,0.0027148253044748296,0.27148253044748294,0.9858985417126351,0.1699997994102662,13.345234990873166,5.446512747477584,2.8127695424548174,2.8127695424548174,2.8127695424548174,-0.14893787735943675,0.09528012356327603,-0.24421800092271279,0.6396226415094339,0.4333605887162715,3.4805553218042427,1.3276520201260964,0.360377358490566,55.06438662420382,0.026578139730808577,Financial Services
1995-12-31,COF,1995,Q4,USD,0.9010175763182239,0.27335800185013875,0.3228492136910268,0.5966697502312673,0.27335800185013875,0.17483811285846437,0.17483811285846437,0.17483811285846437,3.8884892086330933,0.0,0.0,1.5542774982027319,0.045426848486121905,5.336975273145486,5.336975273145486,0.011658373596788538,5.017251293847038,10.27393835978836,0.8732847605820104,0.8732847605820104,2.5924891188251,7.1851039777983345,17.31794292084727,14.5587580131209,0.5445968945012922,4.325600801068091,0.812227758453198,0.8061531493643039,7.942757009345795,-0.5628009891969283,0.6135710178263369,0.4935245143385754,0.8406747891283973,0.28546203649205415,1.8454935622317596,1.067,0.041166711678691306,6.276470588235294,4.7847533632287,0.1402116402116402,0.003411827950039612,0.3411827950039612,1.0841875112831725,0.18955729845746494,13.348243836880428,4.375363568892544,3.004834212585,3.004834212585,3.004834212585,0.5350731149579765,0.08525063687240488,0.4498224780855716,0.6395939086294417,0.45813953488372094,2.5924891188251,1.6685126157939,0.3604060913705584,46.888531232091694,0.026578139730808577,Financial Services
1996-03-31,COF,1996,Q1,USD,0.8954113269946259,0.24927656056221578,0.29185613890037204,0.24927656056221578,0.24927656056221578,0.15708970649028525,0.15708970649028525,0.15708970649028525,8.090301003344482,0.0,0.0,1.650068212824011,0.05570267345199991,10.56396866840731,10.56396866840731,0.013008699399391312,10.173629242819842,12.5,0.0,0.0,3.016830739917434,7.854485324514262,40.25423728813559,32.423208191126285,0.5836000644760172,4.0241346459193394,0.8009607483724164,0.7987345008308833,6.895363607494443,0.3253968253968254,0.7650130548302873,0.24224886316659777,0.8054607508532423,0.49640287769784175,0.9678972712680578,1.6742857142857144,0.023121843434343436,5.140350877192983,3.5301204819277108,0.1368421052631579,0.0027368421052631577,0.2736842105263158,1.2095,0.19,12.9835,3.8965,3.149,3.149,3.149,0.293,0.057,0.236,0.6301824212271974,1.0,3.016830739917434,1.3338947368421052,0.36981757877280264,51.771954674220964,0.026,Financial Services
1996-06-30,COF,1996,Q2,USD,0.8975928192574459,0.24724602203182375,0.2933496532027744,0.24724602203182375,0.24724602203182375,0.1558547531619747,0.1558547531619747,0.1558547531619747,4.277486910994765,0.0,0.0,1.5751928020565553,0.043181057416183645,6.627855563743552,6.627855563743552,0.009876691009218244,6.205600589535741,12.723707526178009,0.0,0.0,2.926663420141502,7.932201183190535,36.6136065913371,25.750761721854307,0.5988618946107362,5.116965226554267,0.836520241171404,0.833862698511942,8.544482914345927,0.32760809997995055,0.5563743551952837,0.3080375356997144,0.7033112582781457,0.3858144972720187,0.957345971563981,1.1615384615384616,0.022211108496116735,3.3705357142857144,2.7554744525547443,0.13089005235602094,0.002571775013036199,0.25717750130361994,1.2190815357144633,0.18999965183309875,17.22182708042158,4.188447822216032,3.3041038930033375,3.3041038930033375,3.3041038930033375,0.37552287207850665,0.11141340840474899,0.26410946367375765,0.6303630363036303,1.0,2.926663420141502,1.7483955248625296,0.3696369636963696,62.604763699582755,0.024869064376060044,Financial Services
