date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,COP,1985,Q3,USD,2107113340.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1985-12-31,COP,1985,Q4,USD,2107113340.0,8215113340.0,2.1971418400641882,0.0,0.0,-0.8700607223045965,-0.6468968438890066,1.0109324758842444,0.0,0.0,-22.540347782146355,0.0,0.0,34000000.0,10315000000.0,0.0,0.0,0.0,0.0,,-0.8634659350708733,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,39.596148702861726,0.0,0.0,39.596148702861726,39.596148702861726,,,1644000000.0,-9257000000.0,Energy
1986-03-31,COP,1986,Q1,USD,1730837280.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1986-06-30,COP,1986,Q2,USD,1685386220.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1986-09-30,COP,1986,Q3,USD,1777487400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1986-12-31,COP,1986,Q4,USD,2064619980.0,6868619980.0,3.200661686859273,0.0,0.0,-1.0005273095411507,-0.6997815003641661,1.2550425818018827,0.0,0.0,-18.641144797988442,0.0,0.0,569000000.0,9708000000.0,0.0,0.0,0.0,0.0,,-0.6751573564122738,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,43.86766076421249,0.0,0.0,43.86766076421249,43.86766076421249,,,1724000000.0,-7875000000.0,Energy
1987-03-31,COP,1987,Q1,USD,2789287920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1987-06-30,COP,1987,Q2,USD,2926882920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1987-09-30,COP,1987,Q3,USD,2858666560.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1987-12-31,COP,1987,Q4,USD,2465942400.0,7056942400.0,2.579291812865497,0.0,0.0,-0.9879521769564609,-0.6427271454570909,1.201082431307244,0.0,0.0,-18.098415437440874,0.0,0.0,483000000.0,9255000000.0,0.0,0.0,0.0,0.0,,-0.735709135853332,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,41.74342105263158,0.0,0.0,41.74342105263158,41.74342105263158,,,1617000000.0,-7609000000.0,Energy
1988-03-31,COP,1988,Q1,USD,3014008800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
1988-06-30,COP,1988,Q2,USD,2772169000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Energy
