date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-08-31,COST,1985,Q4,USD,487599840.0,417299840.0,0.8748424318658281,0.0,0.0,-0.3177490596208026,0.05352927739282723,1.6856524873828407,0.0,1.1182535466225536,-0.14354598639737043,0.0,0.0,95100000.0,211500000.0,0.03389385181292696,0.0,0.034742795583086454,0.07997520148791072,,-5.429102935097148,0.02645612024811165,,0.0,0.0,,0,0,,0.024435102469784552,,,,0.9622641509433962,0.0,0.0,0.9622641509433962,0.9622641509433962,,,152000000.0,14500000.0,Consumer Defensive
1985-11-30,COST,1986,Q1,USD,491909040.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0374052894006583,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-02-28,COST,1986,Q2,USD,495813080.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.026824625118804853,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-05-31,COST,1986,Q3,USD,552421660.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020455389095351547,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1986-08-31,COST,1986,Q4,USD,390404000.0,260804000.0,0.37418077474892397,0.0,0.0,-0.1409903773380906,0.07006162828413882,1.4054644808743169,0.0,1.6883195227335122,0.02945666540301841,0.0,0.0,74200000.0,279900000.0,0.032460945425035505,0.0,0.03316749585406302,0.053032814053695726,,-5.969022265246854,0.04098318664767779,,0.0,0.0,,0,0,,0.02130249543517955,,,,1.4203730272596844,0.0,0.0,1.4203730272596844,1.4203730272596844,,,291200000.0,66000000.0,Consumer Defensive
1986-11-30,COST,1987,Q1,USD,414165440.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.05505046485771483,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-02-28,COST,1987,Q2,USD,451997860.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03694707758129651,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-05-31,COST,1987,Q3,USD,396093000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.037112496307685316,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
1987-08-31,COST,1987,Q4,USD,421109400.0,355309400.0,0.41512957121159016,0.0,0.0,-0.15296598932323058,0.028327880144653005,1.8978190630048466,0.0,1.9366707690904181,-0.4085719767832302,0.0,0.0,222300000.0,513900000.0,0.022929171668667467,0.0,0.023213417598444336,0.05035591879778539,,-3.967885206696276,0.045356384825415916,,0.0,0.0,,0,0,,0.012244897959183673,,,,1.7139852786540484,0.0,0.0,1.7139852786540484,1.7139852786540484,,,369100000.0,16200000.0,Consumer Defensive
1987-11-30,COST,1988,Q1,USD,296836800.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.10409760514868777,,0.0,0.0,,0,0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Defensive
