date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CPAY,260.63,260.9,251.33,259.49,426800,-1.14,-0.4374,257.24
2020-07-31,CPAY,259.72,259.72,254.09,258.57,332800,-1.15,-0.44278,257.46
2020-08-03,CPAY,258.65,263.57,255.5,263.21,476300,4.56,1.76,260.76
2020-08-04,CPAY,260.77,263.35,257.77,258.54,554000,-2.23,-0.85516,259.89
2020-08-05,CPAY,260.8,268.62,260.8,265.29,544800,4.49,1.72,264.9
2020-08-06,CPAY,265.08,267.49,261.13,263.0,502200,-2.08,-0.78467,263.87
2020-08-07,CPAY,245.4,248.16,235.18,240.61,1809200,-4.79,-1.95,241.32
2020-08-10,CPAY,239.45,242.15,229.67,236.4,1101300,-3.05,-1.27,236.07
2020-08-11,CPAY,238.23,240.34,234.21,234.76,1015000,-3.47,-1.46,236.44
2020-08-12,CPAY,236.24,236.73,228.41,230.57,1038700,-5.67,-2.4,231.9
2020-08-13,CPAY,229.3,235.96,228.11,234.63,938100,5.33,2.32,232.9
2020-08-14,CPAY,235.14,240.54,234.12,240.28,998500,5.14,2.19,238.31
2020-08-17,CPAY,241.47,246.66,241.17,245.44,1274100,3.97,1.64,244.42
2020-08-18,CPAY,245.28,246.98,239.38,243.7,800100,-1.58,-0.64416,243.35
2020-08-19,CPAY,243.28,245.84,243.2,244.87,510400,1.59,0.65357,244.64
2020-08-20,CPAY,242.55,244.3,240.99,241.21,752600,-1.34,-0.55246,242.17
2020-08-21,CPAY,240.28,241.84,235.96,238.67,742000,-1.61,-0.67005,238.82
2020-08-24,CPAY,240.84,241.02,237.4,240.09,586800,-0.75,-0.31141,239.5
2020-08-25,CPAY,241.23,242.35,238.0,242.35,518200,1.12,0.46429,240.9
2020-08-26,CPAY,242.27,245.13,240.15,244.8,546800,2.53,1.04,243.36
2020-08-27,CPAY,244.73,248.02,242.64,248.0,682800,3.27,1.34,246.22
2020-08-28,CPAY,248.05,255.07,247.68,255.0,555400,6.95,2.8,252.58
2020-08-31,CPAY,255.64,257.11,251.38,251.45,808800,-4.19,-1.64,253.31
2020-09-01,CPAY,251.43,255.03,249.68,249.99,402700,-1.44,-0.57272,251.57
2020-09-02,CPAY,251.41,254.78,247.77,253.65,510300,2.24,0.89097,252.07
2020-09-03,CPAY,253.69,253.69,241.41,246.16,804700,-7.53,-2.97,247.09
2020-09-04,CPAY,248.29,249.0,237.59,238.04,693500,-10.25,-4.13,241.54
2020-09-08,CPAY,232.53,237.16,230.81,231.91,925700,-0.62,-0.26663,233.29
2020-09-09,CPAY,235.48,237.41,230.99,234.96,659300,-0.52,-0.22083,234.45
2020-09-10,CPAY,236.48,239.63,232.41,233.21,499100,-3.27,-1.38,235.08
