date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2000-03-25,CRL,2000,Q1,USD,436048118.0,815732118.0,11.770686531413235,438.3299935518538,-881.87256,35.71506646234676,16.62364273204904,1.3319113441372736,2.9261006289308176,,-21.40063588119878,0.20489690721649484,0.20378151260504201,27854000,189647000,0.0015836653386454183,0.0,0.001771681509606358,-0.00572081350687667,0.009592478717971127,0.047947620246789224,0.0014585546267625446,-0.0021213255184832605,1.4970445996775927,0.36619348054679285,0.04020086000404029,0,0,0.0,0.10612300796812749,,,,68.85775302300078,25.377355767843227,84.31931657479292,153.17706959779372,127.79971382995049,-380609000,,-139643000,-386850000,Healthcare
2000-06-24,CRL,2000,Q2,USD,436048118.0,817071118.0,11.027047221884827,157.7052920285659,439.28554731182794,40.88831096431967,19.067357253665616,1.6151048033632487,0.6497366440933032,,-21.180508798801878,1.5604696673189824,0.28056882446604076,41260000,200659000,0.019989972424166457,0.04550405996252342,0.02232100368937583,-0.07338284420639961,0.08396730645064074,0.05488786156433269,0.01828697263176813,0.004265584285814989,0.6409959467284309,1.876271186440678,0.0448196283250334,0,0,0.0,0.10443218851842567,51976000.0,9231500.0,32327000.0,61.86080408113689,18.767721351980235,69.50080360783937,131.36160768897628,112.59388633699604,-379163000,13463834.050880626,-135850000,-384754000,Healthcare
2000-09-23,CRL,2000,Q3,USD,813960800.0,989045800.0,13.66595000898125,71.63364959802999,86.87270970575318,43.9049052248413,7.772228880898477,1.887252068504236,2.8532754701384584,,-5.719406266247711,-2.4184609250398723,0.5620797848498431,53724000,208916000,-0.05930260411319851,0.04417701498226533,-0.0658195293721888,-0.2145295064282809,0.024676104625389536,0.05120334164345284,-0.029807332244992633,0.013987160069624974,0.17541826609690736,0.5176319726437273,0.033465518908985394,0,0,0.0,0.09901203064122682,49612000.0,8330500.0,31868000.0,60.05637461484255,18.520661157024794,73.32024793388429,133.37662254872683,114.85596139170204,-163700000,-1597901.9138755985,86206000,-168133000,Healthcare
2000-12-31,CRL,2000,Q4,USD,1100475000.0,1270258000.0,13.987622917423717,98.32479294063008,215.9201087880333,68.36327431246973,9.137452236155212,1.861582711442786,2.917570009033424,2.684889494833141,-4.871026119402985,0.5929298339582217,0.542417199302731,55417000,214311000,0.010784008105053968,0.03359154843668037,0.012009275456653513,0.0378697820007355,0.023546172350553205,0.039758813473178396,0.004023717031281946,0.005345873372861719,0.5446241969192662,1.4618740910035322,0.07747789413409974,0,0,0.0,0.10202675057475744,47121500.0,9367500.0,32717000.0,45.537643288956424,17.183210979891477,54.085541015001596,99.62318430395803,82.43997332406656,-163900000,4247457.953936797,88364000,-160614000,Healthcare
2001-03-31,CRL,2001,Q1,USD,905417667.0,1081509667.0,10.920920388565197,138.1591296627491,302.5201865734266,42.80494209609752,6.969524261853874,1.965780463242699,1.1261688965616459,4.824157563049623,-5.356545577545043,0.5256352087114338,0.6825642613812326,95902000,327125000,0.01251564230218677,0.0401120919095687,0.014985254044358595,0.03490491661686945,0.02371019146890356,0.04247892388480218,0.007677119911997476,0.003948453990129618,0.5433060807358201,0.721826205023761,0.042946148175823734,0,0,0.0,0.16480279445789858,62163500.0,10790500.0,34088500.0,71.23042279690198,15.60486780291491,49.47698375795668,120.70740655485866,105.10253875194375,-172517000,-27610427.8584392,119574000,-149080000,Healthcare
2001-06-30,CRL,2001,Q2,USD,1365971420.0,1540112420.0,13.183636534839925,145.92689217358347,499.87420318078546,62.88226441286951,7.110117589416952,2.0090600648745385,1.170326014637392,5.116144640988477,-6.20785535908211,0.48029399233063486,0.7666176710762698,81192000,312479000,0.01744985922851421,0.045686358633811486,0.021103869510782445,0.043310376624499325,0.033170154982379185,0.05613156953879156,0.006601895082109405,0.0022555376744266,0.7080727686185333,1.0760259179265659,0.06397021058038008,0,0,0.0,0.17314409001635078,39189000.0,10157500.0,35447000.0,0.0,11.705544147843943,45.101026694045174,45.101026694045174,33.39548254620123,-171060000,28683361.52535151,131191000,-134469000,Healthcare
2001-09-29,CRL,2001,Q3,USD,1522836843.805522,1639179843.805522,13.252858825286186,97.4831902352377,204.61613329241317,68.26502764474104,4.8452023988006,2.5925772005772005,1.5982321072141432,5.954750577981479,-4.564078096591951,0.5537659876835623,0.7912293853073463,137957000,378190000,0.017951780504035356,0.043544767491941444,0.021250853387088302,0.03789071081547321,0.031119268836251702,0.0480773658761225,0.006908816294271124,0.005260576687900957,0.5235801367826346,1.1770053475935829,0.07118082225007075,0,0,0.0,0.15524425409933967,0.0,9454500.0,37906500.0,0.0,10.52165916942118,43.84695678107215,43.84695678107215,33.32529761165097,-108332000,-42515766.4613927,200676000,-69828000,Healthcare
2001-12-29,CRL,2001,Q4,USD,1523973704.0,1622502704.0,12.86740609386648,44.943428270685025,81.22666853566959,52.90884706189265,3.212972021130894,2.132850241545894,4.04855893237636,5.376923662364348,-4.262678537660647,0.482521645021645,0.8248158893104218,111622000,357915000,0.015606568165191246,0.03871501738331064,0.0185389240480012,0.030800317778315083,0.028856051767824107,0.04738489520546497,0.005851150827993552,0.013107181539662578,0.446691227389823,1.952063914780293,0.127888717940584,0,0,0.03542595206750519,0.1581729271460125,0.0,11638000.0,39131000.0,0.0,15.131295007637659,42.6137768833499,42.6137768833499,27.48248187571224,-78554000,32140929.653679654,212124000,-58710000,Healthcare
2002-03-30,CRL,2002,Q1,USD,1371901745.0,1499159745.0,11.20280783888806,202.20660169948746,520.7223845085099,52.76873442449842,4.479338261175642,3.2793020792686325,-3.32168458781362,,-2.938415061203964,-0.0895127331060758,0.8776839141147483,204442000,449017000,-0.003360474079784159,0.04598746796983377,-0.003891769743931315,-0.007739090032800982,0.030001439026053518,0.04945195536269119,-0.0016269386697222985,0.002098546787692875,0.6116806042622066,0.7808195592286501,0.033888805858616054,0,0,-0.04648034673441937,0.13651775390248602,52563500.0,12822500.0,39090500.0,70.7026602899417,12.639129034950692,41.98912486137775,112.69178515131946,100.05265611636878,-124379000,-74217298.77681974,209673000,-69708000,Healthcare
2002-06-29,CRL,2002,Q2,USD,1546746992.37027,1651082992.37027,12.095757484342752,35.75630180982047,45.35319303310727,54.34411797677144,3.4341386347179252,2.341447214190826,2.828025477707006,7.64156070735398,-2.8925454563170905,0.5576312284416516,0.9637614376933711,137332000,413527000,0.025922397917063567,0.04695565625405696,0.031233441665885577,0.05274992246459216,0.03513458132012866,0.05759577178561679,0.010556348310707626,0.023536493156008764,0.21160343035343035,1.5813238388088688,0.07158189317294379,0,0,0.0,0.17004350034927287,102478000.0,12008500.0,39289500.0,65.82083647738844,13.098536283754058,42.22137667804188,108.04221315543032,94.94367687167626,-67931000,82051632.18469314,215815000,-67250000,Healthcare
