date,symbol,fiscalYear,period,reportedCurrency,grossProfitMargin,ebitMargin,ebitdaMargin,operatingProfitMargin,pretaxProfitMargin,continuousOperationsProfitMargin,netProfitMargin,bottomLineProfitMargin,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,solvencyRatio,cashRatio,priceToEarningsRatio,priceToEarningsGrowthRatio,forwardPriceToEarningsGrowthRatio,priceToBookRatio,priceToSalesRatio,priceToFreeCashFlowRatio,priceToOperatingCashFlowRatio,debtToAssetsRatio,debtToEquityRatio,debtToCapitalRatio,longTermDebtToCapitalRatio,financialLeverageRatio,workingCapitalTurnoverRatio,operatingCashFlowRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,debtServiceCoverageRatio,interestCoverageRatio,shortTermOperatingCashFlowCoverageRatio,operatingCashFlowCoverageRatio,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,dividendYield,dividendYieldPercentage,revenuePerShare,netIncomePerShare,interestDebtPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,operatingCashFlowPerShare,capexPerShare,freeCashFlowPerShare,netIncomePerEBT,ebtPerEbit,priceToFairValue,debtToMarketCap,effectiveTaxRate,enterpriseValueMultiple,dividendPerShare,sector
2018-01-31,CRWD,2018,Q4,USD,0.5048686623447065,-0.9496345274685538,-0.884314383862386,-0.9496345274685538,-0.9559108401993957,-0.968385980318723,-1.077485342356071,-1.077485342356071,0.6494615358808333,1.5634940053829214,0.0,1.2548454009204641,0.17784320840778492,0.9259810717945627,0.9259810717945627,-0.16593764423423005,0.3808487551992284,-14.965069156458998,0.0,0.0,-135.29045183660202,64.498570653718,-245.5448534906588,-371.3295405204461,0.0733614144040275,-0.8652616751544046,-6.421793325291516,-6.421793325291516,-11.794506447069022,0.0,-0.040538911326782806,-0.17369630911485912,1.5122676579925651,0.0,0.0,0.0,-0.4210756997057166,-1.9521044992743106,-1.9521044992743106,0,0,0,0.8992447338312699,-0.9689230198940797,0.37094396890304543,1.5276267436410436,-0.42870726804911485,-0.8945530625697073,-0.42870726804911485,-0.15619549125746546,0.08001389849545999,-0.23620938975292544,1.127181842745204,1.0066091875866945,-135.29045183660202,0.006395585670742163,-0.013050526884625777,-71.55742625153339,0,Technology
2018-04-30,CRWD,2019,Q1,USD,0.5898834824166297,-0.7042652625346275,-0.6569180993465711,-0.700247414832202,-0.7083254033707628,-0.7108841379602021,-0.7108841379602021,-0.7108841379602021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.84445369902133,0.9302483128318271,0.9302483128318271,-537.9627261891862,209.97940324388335,-592.8542599558183,-1553.216956045675,0.0,0.0,0.0,0.0,0.0,1.7680444170265268,0.0,-0.13519000190319103,2.619896762083529,-162.42708333333334,-172.46875,0.0,0.0,-0.6173232908458864,-0.6173232908458864,0,0,0,0.27621756755178095,-0.1963586873985117,0.0011214822256749336,0.38417775493276946,0.0,0.0,-0.10781416104952045,-0.037341853483020056,0.06048994754734174,-0.09783180103036179,1.0036123716264629,1.0115359062632119,-537.9627261891862,0.0,-0.0036123716264628613,-321.76043779172704,0,Technology
2018-07-31,CRWD,2019,Q2,USD,0.6665230426742788,-0.5795048562862426,-0.5023069603777311,-0.5462559020484372,-0.5837417640616865,-0.5902407497172403,-0.5902407497172403,-0.5902407497172403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.50655473431274,15.101310946862535,15.101310946862535,0.0,178.26818189978636,-278.4787278795188,-345.4535207347621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5160410046498267,1.240502365711105,0.0,-128.92796610169492,0.0,0.0,-4.157963257630551,-4.157963257630551,0,0,0,0.32535250756416395,-0.19203630798705623,,,,,,-0.16789523486875152,0.040379201177556334,-0.20827443604630788,1.0111333230816546,1.0686232622341998,0.0,,-0.011133323081654621,,0,Technology
2018-10-31,CRWD,2019,Q3,USD,0.6644420675213546,-0.6295364497808041,-0.5717320236821887,-0.6341011464469185,-0.6295364497808041,-0.6375962277226231,-0.6375962277226231,-0.6375962277226231,0.8613378317005126,3.885225885225885,0.0,1.3713252763144304,0.1703974288545362,1.3660744621877292,1.3660744621877292,-0.17205522075785484,0.373124586470199,-58.65437232710347,-1.8573884570249426,-1.8573884570249426,102.83573773547778,149.59122614079754,-759.3848271642704,-2728.6935971420717,0.0,0.0,0.0,0.0,4.03436241054692,0.0,-0.016268485899751436,-0.05482155500986758,3.5932948612256115,0.0,0.0,0.0,0.0,-0.38560983363357,-0.38560983363357,0,0,0,0.3877232742608147,-0.24721089706895946,0.0,1.1181469842642024,0.9688555040244857,0.8493183490847069,0.5640062616090934,-0.02125559280849523,0.055122019602574734,-0.07637761241106997,1.0128027184837753,0.9928013114442518,102.83573773547778,0.0,-0.012802718483775247,-259.44649679850335,0,Technology
2019-01-31,CRWD,2019,Q4,USD,0.6644708221987446,-0.3842023491392704,-0.32498912435522964,-0.38819215710645705,-0.3842023491392704,-0.3885401777391088,-0.3885401777391088,-0.3440929712261513,0.8700095159825252,3.938001458789205,0.5849150632691974,1.09113718044348,0.18571438464148618,1.177556676853102,1.013559803851894,-0.07389496406489236,0.3141496695330822,-79.41231605886117,2.836154144959327,2.836154144959327,133.00626875267895,123.4195015847368,-75799.35877862596,628.1449898785426,0.0,0.0,0.0,0.0,5.802869159879982,1.2203742046066453,0.05617226920616872,0.19648250574855508,-0.008286943319838057,0.0,0.0,0.0,0.0,0.9917811656942092,0.9917811656942092,0,0,0,0.4699419399306083,-0.18259132486770013,0.0,1.1194670623006742,0.4360696720832701,0.3835293980210512,0.4360696720832701,0.09233536991390287,0.09310054789079567,-0.0007651779768927934,1.0112904791174662,0.9897220799180327,133.00626875267895,0.0,-0.011290479117466274,-376.3838298848816,0,Technology
2019-04-30,CRWD,2020,Q1,USD,0.6953172975842293,-0.2641735274831645,-0.21193417779489368,-0.2682744049043996,-0.2641839358014926,-0.27037688520665715,-0.27037688520665715,-0.27037688520665715,1.099845458187854,2.952395360564801,1.117588668728286,1.1126590927515083,0.21006819558292028,1.0281777610406941,0.9416525447524288,-0.022235708268526045,0.30719044929159195,-109.7890472148439,3.952405699734382,3.952405699734382,-23.512986637866184,118.73768246302446,-708.1291320918684,8062.162768904594,0.0,0.0,0.0,0.0,-0.9426683457789632,3.2847960614038088,0.004674271028438728,0.014727770434130958,-11.385159010600706,-20957.0,-25775.0,0.0,0.0,0.08074179743223965,0.08074179743223965,0,0,0,0.48847172015557494,-0.13207146220720226,5.084169157608741e-06,0.8900295685618285,-2.4667219393811357,-2.5108932010224407,-2.4667219393811357,0.007194099358016368,0.08910006448709318,-0.08190596512907682,1.0234418091560948,0.984752667313288,-23.512986637866184,0.0,-0.02344180915609487,-555.690370199391,0,Technology
2019-07-31,CRWD,2020,Q2,USD,0.7078662078662079,-0.4725829725829726,-0.4220871720871721,-0.4684112184112184,-0.4740999740999741,-0.47997372997373,-0.47997372997373,-0.47997372997373,0.9379815367529674,28.04795737122558,0.9284181438692418,1.001101964088935,0.09227491622467322,2.941743397087609,2.842214751551432,-0.10469256283695876,2.1440864179108843,-55.826887056987026,-0.2687961228669746,-0.2687961228669746,15.914370434159183,107.18175685425686,-397.39369538377116,-1864.6934937238493,0.0,0.0,0.0,0.0,1.6091070283217759,0.32166336150530883,-0.0181812330117824,-0.05747955747955748,4.6923076923076925,-282.109756097561,-308.7743902439024,0.0,0.0,-0.2708333333333333,-0.2708333333333333,0,0,0,0.8310182871989608,-0.3988669469832656,0.0012606560023368258,6.3556356704153245,5.596828373984365,5.531351131131285,5.596828373984365,-0.047766563405616067,0.17636884949765932,-0.2241354129032754,1.012389276934483,1.0121447895890519,15.914370434159183,0.0,-0.012389276934483162,-237.8733179198352,0,Technology
2019-10-31,CRWD,2020,Q3,USD,0.701444225097707,-0.27924615765790967,-0.23209104932104638,-0.3078509259185256,-0.28030115330205646,-0.2837698511017511,-0.2837698511017511,-0.2837698511017511,0.8587793594794569,7.1233790999237225,1.0398340941988642,0.9661400420064246,0.09961275550255005,2.5341912012396417,2.4477531496328235,-0.054868908298887596,1.7892152144830176,-71.72532995352768,1.2473970426700467,1.2473970426700467,14.206185077024776,81.41394480454608,1445.2938933030648,263.6581172511971,0.0,0.0,0.0,0.0,1.7517160779982204,0.19230334742985106,0.09296108795872994,0.3087860356940193,0.182425262068073,-223.28030303030303,-291.8030303030303,0.0,0.0,1.22312976857568,1.22312976857568,0,0,0,0.6130399419880841,-0.17396225305738475,0.0006467544684854187,4.084783631232361,3.513258466603951,3.4719494747569772,3.513258466603951,0.18929817340859204,0.15476540451552212,0.03453276889306993,1.0123748966382482,0.9105093722415494,14.206185077024776,0.0,-0.012374896638248126,-325.1773945383794,0,Technology
2020-01-31,CRWD,2020,Q4,USD,0.7145665279503514,-0.18361832633177524,-0.13690840121228856,-0.20467559447501463,-0.18457159010972396,-0.18676080968253028,-0.18676080968253028,-0.18676080968253028,0.9219453653924249,32.280297397769516,1.0103790928765912,1.1178074339716928,0.10826987713056958,2.376080925418174,2.2889356230835376,-0.032165230507671005,0.5370110485584957,-111.58956851943115,6.323408882767768,6.323408882767768,17.086681368050698,83.36223267525261,250.2199433656958,191.81245329541503,0.0,0.0,0.0,0.0,1.8931313139479886,0.23114129328134356,0.13406517189350553,0.434602817716243,0.7665754004870892,-145.91724137931035,-214.7103448275862,0.0,0.0,4.284038623549996,4.284038623549996,0,0,0,0.7328258617782382,-0.13686315130200177,0.0006985763495772409,4.394112687591838,3.5777081877965937,3.537966420157541,3.5752993038325345,0.3184881844241563,0.07434297689880279,0.2441452075253535,1.011861086375779,0.9017762502810522,17.086681368050698,0.0,-0.011861086375779163,-596.1751668667467,0,Technology
2020-04-30,CRWD,2021,Q1,USD,0.7366603398510765,-0.10132076955042173,-0.05468390255955256,-0.1267759071867384,-0.10212378845225126,-0.10794146385291839,-0.10794146385291839,-0.10794146385291839,1.2350489295151434,7.183670343137255,0.8780190975472758,1.0185547433565554,0.11720315177873313,2.2468738976754903,2.150751200408895,-0.014247438475783792,1.8086958556197854,-187.54952840495264,5.272476702147262,5.272476702147262,19.172040981023805,80.97748256382035,165.7487631176653,146.2847128640555,0.026049825062064137,0.05262227233023069,0.04999160070377261,0.0,2.0200624075154923,0.2597104476001161,0.1774103562712816,0.5535607992003504,0.8825689562474005,-1.5806924882629108,-157.87412587412587,14.77251610969579,2.490576048509348,8.51563579820318,8.51563579820318,0,0,0,0.8355409165341179,-0.09018950963970178,0.18638007967005898,4.7154117928578465,3.533789395155047,3.4959203111730455,3.5290974011044955,0.46252269752121955,0.05431452312918467,0.4082081743920349,1.056966897613549,0.805545712260808,19.172040981023805,0.00046275016700163247,-0.05696689761354888,-1381.6899917847607,0,Technology
