date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,CTRA,18.39,18.49,17.98,18.14,4379700,-0.25,-1.36,18.25
2020-07-31,CTRA,17.99,18.95,17.85,18.7,7537400,0.71,3.95,18.3725
2020-08-03,CTRA,18.93,19.45,18.69,19.12,6412144,0.19,1.0,19.0475
2020-08-04,CTRA,19.17,19.69,18.73,19.63,5705415,0.46,2.4,19.305
2020-08-05,CTRA,19.95,19.95,19.23,19.62,4981920,-0.33,-1.65,19.6875
2020-08-06,CTRA,19.6,20.14,19.55,19.83,4187135,0.23,1.17,19.78
2020-08-07,CTRA,20.07,20.63,19.85,20.59,5021848,0.52,2.59,20.285
2020-08-10,CTRA,20.67,21.34,20.55,20.58,6619600,-0.09,-0.43541,20.785
2020-08-11,CTRA,20.79,20.87,19.61,19.73,6781527,-1.06,-5.1,20.25
2020-08-12,CTRA,19.87,20.09,19.59,19.81,4209200,-0.06,-0.30196,19.84
2020-08-13,CTRA,19.78,19.81,19.21,19.35,4880042,-0.43,-2.17,19.5375
2020-08-14,CTRA,19.37,20.27,19.19,20.04,3380000,0.67,3.46,19.7175
2020-08-17,CTRA,20.08,20.2,19.74,20.16,3110829,0.08,0.39841,20.045
2020-08-18,CTRA,20.34,20.52,19.87,19.89,4730011,-0.45,-2.21,20.155
2020-08-19,CTRA,19.89,20.36,19.67,20.1,3476900,0.21,1.06,20.005
2020-08-20,CTRA,19.99,19.99,19.37,19.37,3922913,-0.62,-3.1,19.68
2020-08-21,CTRA,19.41,19.56,19.1,19.52,3573600,0.11,0.56672,19.3975
2020-08-24,CTRA,19.53,19.75,19.31,19.51,4083000,-0.02,-0.10241,19.525
2020-08-25,CTRA,19.56,19.68,19.1,19.29,3520400,-0.27,-1.38,19.4075
2020-08-26,CTRA,19.19,19.19,18.55,18.68,4823413,-0.51,-2.66,18.9025
2020-08-27,CTRA,18.78,19.11,18.74,19.07,2978100,0.29,1.54,18.925
2020-08-28,CTRA,19.1,19.15,18.82,18.95,2812106,-0.15,-0.78534,19.005
2020-08-31,CTRA,18.85,19.06,18.56,18.97,4812600,0.12,0.6366,18.86
2020-09-01,CTRA,18.57,18.81,18.11,18.59,4683516,0.02,0.1077,18.52
2020-09-02,CTRA,18.47,18.56,18.11,18.17,4730344,-0.3,-1.62,18.3275
2020-09-03,CTRA,18.04,18.7,18.02,18.14,4001033,0.1,0.55432,18.225
2020-09-04,CTRA,18.24,18.48,18.01,18.33,4430313,0.09,0.49342,18.265
2020-09-08,CTRA,18.05,18.2,17.44,17.88,6192300,-0.17,-0.94183,17.8925
2020-09-09,CTRA,18.05,18.63,17.95,18.58,4877067,0.53,2.94,18.3025
2020-09-10,CTRA,18.67,18.7,18.15,18.2,4819140,-0.47,-2.52,18.43
2020-09-11,CTRA,18.29,18.39,18.02,18.24,3878500,-0.05,-0.27337,18.235
2020-09-14,CTRA,18.34,18.8,18.28,18.61,3990300,0.27,1.47,18.5075
2020-09-15,CTRA,18.7,18.84,18.41,18.68,3890600,-0.02,-0.10695,18.6575
2020-09-16,CTRA,18.96,19.51,18.88,19.3,4470600,0.34,1.79,19.1625
2020-09-17,CTRA,19.0,19.41,18.74,19.41,6384400,0.41,2.16,19.14
2020-09-18,CTRA,19.44,19.73,19.2,19.39,6629246,-0.05,-0.2572,19.44
2020-09-21,CTRA,19.19,19.47,19.03,19.45,4925837,0.26,1.35,19.285
2020-09-22,CTRA,19.38,19.82,19.3,19.41,4695923,0.03,0.1548,19.4775
2020-09-23,CTRA,19.56,19.59,18.62,18.65,4098100,-0.91,-4.65,19.105
2020-09-24,CTRA,18.73,19.05,18.54,18.74,4266111,0.01,0.05339028,18.765
2020-09-25,CTRA,18.47,18.64,18.02,18.12,4274000,-0.35,-1.89,18.3125
2020-09-28,CTRA,18.24,18.29,18.04,18.07,3393444,-0.17,-0.93202,18.16
2020-09-29,CTRA,17.86,18.04,17.33,17.64,5966500,-0.22,-1.23,17.7175
2020-09-30,CTRA,17.65,17.75,17.18,17.36,4253402,-0.29,-1.64,17.485
2020-10-01,CTRA,17.26,17.48,16.82,16.85,5552400,-0.41,-2.38,17.1025
2020-10-02,CTRA,16.47,17.22,16.41,17.01,4434900,0.54,3.28,16.7775
2020-10-05,CTRA,17.2,17.77,17.05,17.74,3835755,0.54,3.14,17.44
2020-10-06,CTRA,17.91,18.18,17.58,17.61,3715900,-0.3,-1.68,17.82
2020-10-07,CTRA,17.84,18.37,17.72,18.26,4793122,0.42,2.35,18.0475
2020-10-08,CTRA,18.11,18.52,18.03,18.49,4257800,0.38,2.1,18.2875
2020-10-09,CTRA,18.75,18.97,18.42,18.93,4311313,0.18,0.96,18.7675
2020-10-12,CTRA,18.9,19.66,18.71,19.57,4950913,0.67,3.54,19.21
2020-10-13,CTRA,19.56,19.87,19.16,19.3,6068650,-0.26,-1.33,19.4725
2020-10-14,CTRA,19.16,19.33,18.99,19.19,4078907,0.03,0.15658,19.1675
2020-10-15,CTRA,19.27,19.58,19.03,19.47,3409324,0.2,1.04,19.3375
2020-10-16,CTRA,19.39,19.59,19.08,19.1,2906000,-0.29,-1.5,19.29
