date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1998-03-31,CTSH,1998,Q1,USD,91138541.75999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007680614441290355,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Technology
1998-06-30,CTSH,1998,Q2,USD,83012011.929,61512011.929000005,4.843465506220473,0.0,0.0,27.96000542227273,-9.772727272727273,4.012345679012346,0.0,0.07983481263334774,0.0489661364126025,0.6470588235294118,1.0,24400000.0,31800000.0,0.02743142144638404,0.0,0.028871391076115485,0.03914590747330961,0.034374999999999996,0.053125,0.013251094322841224,,0.0,0.0,,0.25196850393700787,0,,0.04987531172069826,,,,63.070866141732274,11.095890410958905,0.0,63.070866141732274,51.974975730773366,,,26100000.0,20500000.0,Technology
1998-09-30,CTSH,1998,Q3,USD,131879159.02727999,105779159.02727999,6.529577717733333,20.74101157397647,23.506479783839996,35.259719675759996,-8.7,3.7474747474747474,3.0,0.08280501486660653,0.04327775739621893,0.6296296296296297,1.125,27200000.0,34600000.0,0.03803131991051454,0.05660377358490566,0.0397196261682243,0.056856187290969896,0.04342273307790549,0.06896551724137931,0.012890588721818773,0.034122146616579106,0.11764705882352941,1.0,0.037037037037037035,0.2654320987654321,0,0.0,0.042505592841163314,8700000.0,900000.0,0.0,47.22222222222222,9.101123595505618,0.0,47.22222222222222,38.1210986267166,30600000.0,-1288888.888888889,28000000.0,22300000.0,Technology
1998-12-31,CTSH,1998,Q4,USD,278238765.84328,249838765.84328002,12.812244402219488,69.3996571786889,108.62555036664348,55.51972574295112,-6.311111111111111,3.2615384615384615,1.44,0.09739255485102552,0.04196160252729205,0.625,1.0256410256410255,29400000.0,37500000.0,0.048355899419729204,0.08091286307053942,0.050100200400801605,0.07668711656441718,0.06298449612403101,0.10077519379844961,0.008985088732776163,0.008266281634154068,0.3611111111111111,2.1666666666666665,0.06666666666666667,0.2717948717948718,0,0.0,0.03481624758220503,10350000.0,1300000.0,0.0,56.307692307692314,15.773195876288659,0.0,56.307692307692314,40.53449643140365,30700000.0,-462500.0,30800000.0,23300000.0,Technology
1999-03-31,CTSH,1999,Q1,USD,254192246.18655998,237992246.18655998,11.666286577772548,-108.17829372116363,-69.99771946663529,50.35807155873042,-3.427845958527296,4.08411214953271,-0.7857142857142857,0.10755736310565818,0.04326934894751931,0.6363636363636364,1.0664081434803685,33000000.0,41700000.0,0.05204460966542751,0.07772511848341232,0.05384615384615385,0.07887323943661972,0.050174825174825174,0.0951276102088167,0.011015284856269725,-0.013375703039756095,-0.5454545454545454,2.0,0.058823529411764705,0.24509803921568626,0,0.0,0.03345724907063197,14250000.0,1700000.0,0.0,71.91176470588236,14.299065420560748,0.0,71.91176470588236,57.61269928532161,12800000.0,-1574363.6363636362,33700000.0,25400000.0,Technology
1999-06-30,CTSH,1999,Q2,USD,242247275.76016,212847275.76016,9.899873291170232,34.330205767767744,50.6779228000381,46.29127354505437,-6.394084384515007,4.378640776699029,2.48,0.1058155162866936,0.04774067309409136,0.6341463414634146,1.051821446895844,34800000.0,44800000.0,0.04609929078014184,0.07078039927404718,0.04753199268738574,0.06824146981627296,0.05364795513464896,0.08459869848156182,0.010732834835154817,0.017337656272173162,0.3225806451612903,2.857142857142857,0.09302325581395349,0.26976744186046514,0,0.0,0.030141843971631204,14950000.0,1400000.0,0.0,56.93023255813954,8.91891891891892,0.0,56.93023255813954,48.01131363922062,33600000.0,-628097.5609756098,36400000.0,26800000.0,Technology
1999-09-30,CTSH,1999,Q3,USD,286886636.34975004,253186636.34975004,11.056184993438867,42.912989211822044,60.2825324642262,49.64443849995099,-6.607843137254902,4.271929824561403,2.0344827586206895,0.11892889962586554,0.054428275916497244,0.6304347826086957,1.0952380952380953,37300000.0,48200000.0,0.047540983606557376,0.07155025553662692,0.04882154882154882,0.0705596107055961,0.05338359046283311,0.0846774193548387,0.010108522435546784,0.014639929044584998,0.288135593220339,1.8888888888888888,0.07423580786026202,0.26200873362445415,0,0.0,0.02622950819672131,13400000.0,1150000.0,0.0,51.877729257641924,9.152542372881355,0.0,51.877729257641924,42.72518688476057,37900000.0,-652173.913043478,39500000.0,28800000.0,Technology
1999-12-31,CTSH,1999,Q4,USD,1012319999.9999999,969719999.9999999,40.23734439834024,111.46206896551723,125.93766233766232,182.96603773584903,-8.037735849056604,4.295454545454546,2.9,0.12481725136426464,0.06176801801801802,0.625,1.0666666666666667,43500000.0,54500000.0,0.043478260869565216,0.06923076923076923,0.044444444444444446,0.06593406593406594,0.05040322580645161,0.08064516129032258,0.002963489805595069,0.007606290501027344,0.11494252873563218,1.25,0.04149377593360996,0.26141078838174275,0,0.0,0.021739130434782608,12150000.0,1300000.0,0.0,41.45228215767635,10.08,0.0,41.45228215767635,31.372282157676352,50300000.0,-3587500.0,44000000.0,33200000.0,Technology
2000-03-31,CTSH,2000,Q1,USD,1154400000.0,1114040000.0,41.15404506834134,-592.2594364699628,-416.6192969334331,182.80932064325566,-6.6229077781424355,5.26378021213702,-0.5434845420398728,0.13956077687163876,0.06574549549549549,0.6259721468620003,1.0792504391957838,49042000.0,59851000.0,0.047535332170473434,0.0722521137586472,0.04848968841067025,0.07019287322286896,0.052308142763045455,0.08356305152755802,0.002998094248094248,-0.0023163548163548163,-0.42158426368952684,0.8166838311019567,0.029294421869227927,0.25995567048393053,0,0.0,0.01968163276518013,13772000.0,1585500.0,0.0,54.671592168452165,11.43482315804577,0.0,54.671592168452165,43.23676901040639,37686000.0,-2157144.6916259723,47874000.0,37042000.0,Technology
2000-06-30,CTSH,2000,Q2,USD,613879200.0,568670200.0,17.882148360114464,67.8118530884808,90.19352894528153,80.46840243384746,-6.397198245365785,4.634540083808477,2.087108013937282,0.15795669675116397,0.06716459850732848,0.6259934548854605,1.0622413507697401,52908000.0,64772000.0,0.0483696175705616,0.07751977774498418,0.04917129776972605,0.07353641123274632,0.05521348003333382,0.08820136952300302,0.006543632688646236,0.010270750336548298,0.2481516813737181,2.0282651072124755,0.06543819376749159,0.262821923838873,0,0.0,0.01630382429438397,16949000.0,1647000.0,0.0,49.396559856608285,8.370175867122619,0.0,49.396559856608285,41.026383989485666,51514000.0,-1139373.5390369333,53272000.0,39043000.0,Technology
