date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2017-03-31,CTVA,2017,Q1,USD,21724625174.0,,,0.0,0.0,,,0.0,0.0,,,1.626886145404664,0.3927801724137931,,,0.0,0.0,0.0,0.0,0.0,0.0,0.027296213179765307,0.0,0.0,0.0,0.0,0.0,0.07742273441592457,0.0,0.0,,,,,,,,,,,,,Basic Materials
2017-06-30,CTVA,2017,Q2,USD,21716650319.0,,,0.0,0.0,,,0.0,0.0,,,1.626886145404664,0.3927801724137931,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02730623697896823,0.0,0.0,0.0,0.0,0.0,0.07742273441592457,0.0,0.0,,,,,,,,,,,,,Basic Materials
2017-09-30,CTVA,2017,Q3,USD,21715634130.0,,,0.0,0.0,,,0.0,0.0,,,1.339652448657188,1.0728813559322035,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.039050206635618985,0.0,0.0,0.0,0.0,0.0,0.20717344753747324,0.011777301927194861,0.0,,,,,,,,,,,,,Basic Materials
2017-12-31,CTVA,2017,Q4,USD,21668801189.0,26930801189.0,9.526282698620445,0.0,0.0,-238.32567423893806,-46.56637168141593,1.8986247220620933,0.0,81.34019069692575,-28.140054665762523,-4.672340425531915,2.473684210526316,10912000000.0,96662000000.0,0.019439821536064588,0.0,0.05538601225756009,0.029373996789727127,0.008506530846956378,-0.0018845280249154442,0.10134386211982888,0.0,0.0,0.0,0.0,0.0,0.13547930668553237,-0.007782101167315175,0.6490120746432492,,,,166.78811460912627,227.1630094043887,405.9404388714733,572.7285534805995,345.5655440762108,-5262000000.0,,1617000000.0,-14977000000.0,Basic Materials
2018-03-31,CTVA,2018,Q1,USD,21715634130.0,,,,,,,0.0,8.856502242152466,,,1.1693121693121693,1.7339449541284404,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.010176999606688438,-0.10729596870400027,-0.17974683544303796,0.5486862442040186,0.052992984027466786,0.14315569487983282,0.05702343633378116,0.0,0.0,,,,,,,,,,,,,Basic Materials
2018-06-30,CTVA,2018,Q2,USD,21715634130.0,32364634130.0,5.647292641772815,84.28290138020833,449.5088073611111,21.897587368064954,7.205006765899864,1.4450989415554534,0.46153846153846156,44.94478060660795,-25.788747252208378,2.2532467532467533,0.7777777777777778,4836000000.0,36343000000.0,0.013984604844234878,0.0,0.03057672820196502,0.009567399156304283,0.017714774924898525,0.015943861097494905,0.03195854175132025,0.003315583582269536,0.8151041666666666,0.41022280471821754,0.05461525039260164,0.16838248124236607,0.061769324725178855,0.0,0.5426389392657075,,,,114.04292444599547,88.68185516680228,105.6712774613507,219.71420190734617,131.0323467405439,-10578000000.0,,-7075000000.0,-14071000000.0,Basic Materials
2018-09-30,CTVA,2018,Q3,USD,21732600000.0,24196600000.0,12.427632254750899,-20.33327731092437,-15.691699092088196,-5.717533081285445,-0.5822306238185255,1.2529286474973376,0.2399193548387097,,-12.4032559380838,0.9063716814159292,1.0147270114942528,2850000000.0,29697000000.0,-0.1183799902910377,-0.012574689131722022,-0.24480137673884986,-0.2069174512101499,-0.016266124549401226,-0.018255134256509643,-0.23563678529030122,-0.07095331437563844,-0.2957983193277311,0.5161290322580645,0.1807909604519774,0.325115562403698,0.16692347200821778,0.0,0.5164243278855267,6868000000.0,3636000000.0,4583000000.0,299.26040061633284,220.54545454545453,293.1515151515151,592.411915767848,371.86646122239347,-4006000000.0,-3292116106.1946898,2680000000.0,-4121000000.0,Basic Materials
2018-12-31,CTVA,2018,Q4,USD,10684467854.0,16352467854.0,5.809047195026643,5.0114826399019305,5.877953937455068,8.786925230521225,3.045674368619022,1.7259203606311044,-6.25095785440613,,-66.91910254868927,-0.3415545590433483,1.1504729148753225,9662000000.0,36454000000.0,-0.004204889449131879,0.01820431480433323,-0.005287210042228264,-0.006121082239485668,0.00787462742868814,0.014500959391022616,-0.04277236884838495,0.2603779652871049,0.14741035856573706,0.6891117478510028,0.1708703374777975,0.19715808170515098,0.13463587921847248,0.0,0.20470542771178565,5867000000.0,3120500000.0,5073500000.0,168.17051509769095,392.26130653266335,800.5025125628141,968.6730276605051,576.4117211278417,-2886000000.0,-5949178624.813154,52905000000.0,-10558000000.0,Basic Materials
2019-03-31,CTVA,2019,Q1,USD,18184459831.0,23913459831.0,3.8030311436068702,-15.518143952628163,-10.850027146551724,44.78175998314607,10.728464419475655,1.6114553676101155,-8.755681818181818,25.557325011791953,-31.15938033166425,3.3469387755102042,-0.2552083333333333,7302000000.0,85747000000.0,0.0016104166462091382,0.0008455253657609728,0.004622973925299507,0.00235632183908046,0.0017363379293715338,0.0009900439401524,0.009018689668219929,-0.1212023904192483,-0.40558079169370537,0.9218289085545722,0.09939567430025445,0.15426208651399492,0.05645674300254453,0.0,0.6516492041203099,6014000000.0,3401000000.0,6228500000.0,96.87022900763358,89.25619834710744,151.88429752066116,248.75452652829475,159.4983281811873,-7895000000.0,1644265306.122449,3473000000.0,-12758000000.0,Basic Materials
2019-06-30,CTVA,2019,Q2,USD,22242192000.0,22340192000.0,4.020912886969042,49.316097130242824,79.2205390070922,19.29204835924007,0.0846286701208981,1.6857441374506617,-0.7626262626262627,,-10.992127034961303,-0.8074369189907038,0.9567979669631512,5907000000.0,32531000000.0,-0.013818809945906632,0.016319813487845853,-0.02774102295022129,-0.023487599474619484,0.02038637820918665,0.0336310196699073,-0.027335435284435997,0.012678606497057484,0.4613686534216336,0.5837988826815642,0.03761699064074874,0.16864650827933766,0.048416126709863214,0.0,0.5018637210782309,7101000000.0,3669500000.0,5532500000.0,120.42116630669545,92.71742697735479,115.72694453560881,236.14811084230428,143.4306838649495,184000000.0,2086808764.940239,4062000000.0,-3334000000.0,Basic Materials
