date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,D,81.93,82.07,80.92,81.52,3604737,-0.41,-0.50043,81.61
2020-07-31,D,81.6,82.19,79.89,81.03,4843122,-0.57,-0.69853,81.1775
2020-08-03,D,80.78,80.98,79.46,80.33,2356004,-0.45,-0.55707,80.3875
2020-08-04,D,80.11,81.24,80.05,80.88,3081600,0.77,0.96118,80.57
2020-08-05,D,81.0,81.0,78.96,79.71,3142363,-1.29,-1.59,80.1675
2020-08-06,D,79.36,79.88,78.95,79.63,2720300,0.27,0.34022,79.455
2020-08-07,D,79.21,81.1,79.18,80.62,3476943,1.41,1.78,80.0275
2020-08-10,D,80.73,80.92,79.89,80.12,3188900,-0.61,-0.75561,80.415
2020-08-11,D,80.33,80.52,78.42,78.56,3951801,-1.77,-2.2,79.4575
2020-08-12,D,78.8,80.51,78.66,79.58,3920474,0.78,0.98985,79.3875
2020-08-13,D,79.05,79.58,78.79,79.31,2657618,0.26,0.32891,79.1825
2020-08-14,D,79.29,79.47,78.62,78.85,2067333,-0.44,-0.55492,79.0575
2020-08-17,D,78.44,79.3,78.1,78.68,2749049,0.24,0.30597,78.63
2020-08-18,D,78.68,79.01,77.78,78.18,3421000,-0.5,-0.63549,78.4125
2020-08-19,D,78.35,78.48,77.78,77.94,2561324,-0.41,-0.52329,78.1375
2020-08-20,D,77.61,78.29,77.51,77.7,2433553,0.09,0.11596,77.7775
2020-08-21,D,77.79,78.82,77.37,78.64,3813881,0.85,1.09,78.155
2020-08-24,D,78.7,79.15,78.1,79.1,2074000,0.4,0.50826,78.7625
2020-08-25,D,79.25,79.25,78.17,78.5,2535253,-0.75,-0.94637,78.7925
2020-08-26,D,78.09,78.51,77.59,78.08,2708572,-0.01,-0.01280574,78.0675
2020-08-27,D,78.48,78.91,77.86,78.0,3339536,-0.48,-0.61162,78.3125
2020-08-28,D,78.0,78.17,77.36,78.02,2992400,0.02,0.02564103,77.8875
2020-08-31,D,78.0,79.0,77.85,78.44,4476800,0.44,0.5641,78.3225
2020-09-01,D,77.67,78.34,77.47,77.82,3361223,0.15,0.19312,77.825
2020-09-02,D,78.03,80.2,77.99,79.6,3845828,1.57,2.01,78.955
2020-09-03,D,78.84,79.75,78.36,78.99,4559330,0.15,0.19026,78.985
2020-09-04,D,79.16,79.39,77.67,78.44,3311976,-0.72,-0.90955,78.665
2020-09-08,D,78.23,78.72,77.29,78.2,3142762,-0.03,-0.03834846,78.11
2020-09-09,D,78.81,80.63,78.7,79.64,5016406,0.83,1.05,79.445
2020-09-10,D,79.25,79.7,78.24,78.73,3734500,-0.52,-0.65615,78.98
2020-09-11,D,78.9,79.99,78.64,79.64,3816293,0.74,0.9379,79.2925
2020-09-14,D,80.03,81.14,79.85,80.73,3437411,0.7,0.87467,80.4375
2020-09-15,D,80.93,82.41,80.51,80.9,3948147,-0.03,-0.03706907,81.1875
2020-09-16,D,81.05,82.15,80.8,81.6,3805407,0.55,0.67859,81.4
