date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,DAL,1985,Q3,USD,1817040546.7,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.016235190818155453,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1985-12-31,DAL,1985,Q4,USD,1443366659.07,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.001316366834484192,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-03-31,DAL,1986,Q1,USD,1823200000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035103115401491883,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-06-30,DAL,1986,Q2,USD,1823200000.0,2691500000.0,2.63976069046685,0.0,0.0,-0.7902463372383217,-0.25493995713321,0.7813672922252011,0.0,10.080140205498136,-26.0640625,0.0,0.0,-163100000.0,2971400000.0,0.0058644828952582224,0.0,0.0058644828952582224,0.01705200092172978,,-1.120546142457641,0.012176393154892499,,0.0,0.0,,0.0,0,,0.0,,,,37.594154570419775,0.0,0.0,37.594154570419775,37.594154570419775,,,1301900000.0,-1900700000.0,Industrials
1986-09-30,DAL,1986,Q3,USD,1830106053.7,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.028960070315514088,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1986-12-31,DAL,1986,Q4,USD,1894135766.57,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.066257130146094,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-03-31,DAL,1987,Q1,USD,2228355560.62,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011847301421077826,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-06-30,DAL,1987,Q2,USD,2212754483.7999997,2898454483.7999997,1.8506285811518324,0.0,0.0,-0.8658823217422477,-0.20484555177152416,0.9987299974599949,0.0,16.49136861656361,-26.097342327301536,0.0,0.0,-1500000.0,4044200000.0,0.0110062893081761,0.0,0.011829557799863196,0.03034212291655916,,-0.8044120827625982,0.02657321471066315,,0.0,0.0,,0.0,0,,0.06959418987720875,,,,35.97816370833865,0.0,0.0,35.97816370833865,35.97816370833865,,,1566100000.0,-2224900000.0,Industrials
1987-09-30,DAL,1987,Q3,USD,2208014756.34,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02676612546646383,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
1987-12-31,DAL,1987,Q4,USD,2211381317.93,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0399297937827632,,0.0,0.0,,0.0,0,,0.0,,,,,0.0,0.0,,,,,,,Industrials
