date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,DD,1985,Q3,USD,3109526550.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1985-12-31,DD,1985,Q4,USD,3698550720.0000005,7245550720.0,2.4907358954967345,0.0,0.0,-0.906713893129771,-0.4438743586534852,1.4534453781512604,0.0,0.0,-14.97028544196901,0.0,0.0,1349000000.0,6741000000.0,0.0,0.0,0.0,0.0,,-0.9024280067758329,0.0,,0.0,0.0,,0.0,0.0,,0.022400676246830092,,,,67.66242695084222,0.0,0.0,67.66242695084222,67.66242695084222,,,4527000000.0,-2714000000.0,Basic Materials
1986-03-31,DD,1986,Q1,USD,4725925920.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1986-06-30,DD,1986,Q2,USD,5176829480.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1986-09-30,DD,1986,Q3,USD,4891094400.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1986-12-31,DD,1986,Q4,USD,5310055000.0,8732055000.0,3.1286474381941956,0.0,0.0,-1.2408775046184453,-0.48628676993036807,1.6271367521367521,0.0,0.0,-14.169250600982476,0.0,0.0,1761000000.0,7411000000.0,0.0,0.0,0.0,0.0,,-0.7459190163239348,0.0,,0.0,0.0,,0.0,0.0,,0.02475085770298971,,,,76.35972769616625,0.0,0.0,76.35972769616625,76.35972769616625,,,4865000000.0,-2505000000.0,Basic Materials
1987-03-31,DD,1987,Q1,USD,7155239100.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1987-06-30,DD,1987,Q2,USD,7815826900.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1987-09-30,DD,1987,Q3,USD,9638238000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1987-12-31,DD,1987,Q4,USD,8088673520.0,11628673520.0,3.232881156519322,0.0,0.0,-1.5571335725763256,-0.4740224959828602,1.6648335745296672,0.0,0.0,-16.518479163441373,0.0,0.0,2297000000.0,8333000000.0,0.0,0.0,0.0,0.0,,-0.6850747637831391,0.0,,0.0,0.0,,0.0,0.0,,0.033783783783783786,,,,80.79232693911594,0.0,0.0,80.79232693911594,80.79232693911594,,,5284000000.0,-2835000000.0,Basic Materials
1988-03-31,DD,1988,Q1,USD,7436448900.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1988-06-30,DD,1988,Q2,USD,8165410760.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1988-09-30,DD,1988,Q3,USD,7842413250.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1988-12-31,DD,1988,Q4,USD,7643376750.0,11188376750.0,2.602553326354966,0.0,0.0,-1.3550171672520286,-0.4293326874167373,1.5240718562874251,0.0,0.0,-17.2380616983194,0.0,0.0,2188000000.0,9455000000.0,0.0,0.0,0.0,0.0,,-0.684433023872679,0.0,,0.0,0.0,,0.0,0.0,,0.04255188127347743,,,,78.88346127006281,0.0,0.0,78.88346127006281,78.88346127006281,,,6564000000.0,-2621000000.0,Basic Materials
1989-03-31,DD,1989,Q1,USD,8099621010.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1989-06-30,DD,1989,Q2,USD,7218636160.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1989-09-30,DD,1989,Q3,USD,8568845070.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Basic Materials
1989-12-31,DD,1989,Q4,USD,9397210200.0,15421210200.0,3.6166065196998125,0.0,0.0,-1.6617683405172414,-0.6491379310344828,1.1320172732880938,0.0,0.0,-33.077679266980745,0.0,0.0,856000000.0,12495000000.0,0.0,0.0,0.0,0.0,,-0.5917612549419717,0.0,,0.0,0.0,,0.0,0.0,,0.18032121266805018,,,,89.05018761726079,0.0,0.0,89.05018761726079,89.05018761726079,,,4555000000.0,-6274000000.0,Basic Materials
1990-03-31,DD,1990,Q1,USD,8411397420.0,15168397420.0,3.0955913102040817,103.89313301369863,-42.969964362606234,12.714499094719196,5.663872590108969,1.1938325991189427,0.31601731601731603,34.32165346405932,-32.919831411318576,0.5945945945945946,0.8662207357859532,1364000000.0,13223000000.0,0.019743589743589744,0.03937146117719352,0.023958927552766685,0.056020371044016005,0.027154999814233045,0.054818798508830896,0.05492547515368736,-0.041966867379332556,3.4178082191780823,1.6858108108108107,0.10183673469387755,0.0,0.0,0.0,0.17594017094017095,4488000000.0,2099000000.0,2868500000.0,87.3734693877551,61.931330472103,93.50858369098712,180.88205307874222,118.95072260663922,-7110000000.0,-177648648.64864862,4793000000.0,-6089000000.0,Basic Materials
