date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,DD,53.55,54.43,52.16,53.76,6584500,0.21,0.39216,53.475
2020-07-31,DD,53.77,54.96,52.91,53.48,4830832,-0.29,-0.53933,53.78
2020-08-03,DD,53.03,53.33,52.38,52.46,4769126,-0.57,-1.07,52.8
2020-08-04,DD,52.37,53.52,52.12,53.16,4692816,0.79,1.51,52.7925
2020-08-05,DD,53.82,55.37,53.77,54.73,4943281,0.91,1.69,54.4225
2020-08-06,DD,55.16,55.23,54.38,54.71,5691200,-0.45,-0.81581,54.87
2020-08-07,DD,54.46,55.88,53.81,55.87,3194500,1.41,2.59,55.005
2020-08-10,DD,56.01,57.8,55.95,57.67,4120700,1.66,2.96,56.8575
2020-08-11,DD,58.98,59.83,57.18,57.3,9855500,-1.68,-2.85,58.3225
2020-08-12,DD,59.0,59.5,58.32,58.35,5355052,-0.65,-1.1,58.7925
2020-08-13,DD,57.75,58.47,57.48,58.02,4071734,0.27,0.46753,57.93
2020-08-14,DD,57.48,58.58,57.21,58.16,2664684,0.68,1.18,57.8575
2020-08-17,DD,58.11,58.46,57.42,57.46,2419500,-0.65,-1.12,57.8625
2020-08-18,DD,57.64,57.92,56.94,57.0,2986927,-0.64,-1.11,57.375
2020-08-19,DD,56.87,57.21,56.14,56.27,3864427,-0.6,-1.06,56.6225
2020-08-20,DD,55.62,56.34,55.25,56.11,2383600,0.49,0.88098,55.83
2020-08-21,DD,56.0,56.19,55.03,55.14,3058800,-0.86,-1.54,55.59
2020-08-24,DD,55.74,56.99,55.06,56.89,5856047,1.15,2.06,56.17
2020-08-25,DD,57.23,57.67,56.04,56.2,2958860,-1.03,-1.8,56.785
2020-08-26,DD,56.04,57.18,55.72,56.91,2525600,0.87,1.55,56.4625
2020-08-27,DD,56.94,57.47,56.14,56.58,2507591,-0.36,-0.63224,56.7825
2020-08-28,DD,56.82,57.26,56.3,57.18,2076234,0.36,0.63358,56.89
2020-08-31,DD,56.83,56.9,55.74,55.76,3019500,-1.07,-1.88,56.3075
2020-09-01,DD,55.41,57.27,54.92,57.26,4531010,1.85,3.34,56.215
2020-09-02,DD,57.43,60.35,57.28,60.16,6824310,2.73,4.75,58.805
2020-09-03,DD,60.0,60.46,57.42,58.11,6023401,-1.89,-3.15,58.9975
2020-09-04,DD,58.89,59.12,57.98,58.8,4802800,-0.09,-0.15283,58.6975
2020-09-08,DD,57.97,58.0,56.58,56.82,5007200,-1.15,-1.98,57.3425
2020-09-09,DD,57.54,58.47,57.33,57.93,2913748,0.39,0.67779,57.8175
2020-09-10,DD,58.11,58.58,57.59,57.73,4153240,-0.38,-0.65393,58.0025
2020-09-11,DD,58.16,59.08,57.63,58.57,2989345,0.41,0.70495,58.36
2020-09-14,DD,59.19,60.09,58.86,59.43,2997629,0.24,0.40547,59.3925
2020-09-15,DD,59.43,59.96,59.22,59.55,2308550,0.12,0.20192,59.54
2020-09-16,DD,59.75,60.98,59.15,60.17,3531055,0.42,0.70293,60.0125
2020-09-17,DD,59.33,60.92,59.03,60.77,4321543,1.44,2.43,60.0125
2020-09-18,DD,60.13,60.48,58.67,59.29,5603900,-0.84,-1.4,59.6425
2020-09-21,DD,57.36,57.68,55.88,56.18,5954131,-1.18,-2.06,56.775
2020-09-22,DD,56.22,56.29,55.38,55.76,3102527,-0.46,-0.81821,55.9125
2020-09-23,DD,55.59,56.18,54.31,54.37,5227300,-1.22,-2.19,55.1125
