date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,DE,178.21,179.25,176.28,178.04,1235913,-0.17,-0.09539308,177.945
2020-07-31,DE,176.81,176.92,173.36,176.31,1409720,-0.5,-0.28279,175.85
2020-08-03,DE,177.38,178.87,175.83,177.62,841234,0.24,0.1353,177.425
2020-08-04,DE,176.92,178.88,176.63,178.11,672802,1.19,0.67262,177.635
2020-08-05,DE,180.0,183.59,179.95,182.82,1366456,2.82,1.57,181.59
2020-08-06,DE,182.0,183.24,180.25,181.26,968100,-0.74,-0.40659,181.6875
2020-08-07,DE,181.41,183.71,179.86,183.5,1254634,2.09,1.15,182.12
2020-08-10,DE,185.0,191.35,184.4,189.91,2631100,4.91,2.65,187.665
2020-08-11,DE,192.3,195.85,192.21,193.22,1909915,0.92,0.47842,193.395
2020-08-12,DE,191.29,192.82,189.59,192.31,1629000,1.02,0.53322,191.5025
2020-08-13,DE,188.55,191.17,188.45,189.5,1324832,0.95,0.50385,189.4175
2020-08-14,DE,189.22,193.21,188.43,191.13,900649,1.91,1.01,190.4975
2020-08-17,DE,193.25,194.24,191.2,192.99,1026228,-0.26,-0.13454,192.92
2020-08-18,DE,193.81,194.82,191.9,192.13,1120968,-1.68,-0.86683,193.165
2020-08-19,DE,193.0,194.6,191.94,191.99,1512700,-1.01,-0.52332,192.8825
2020-08-20,DE,190.21,192.05,189.38,191.1,1558700,0.89,0.4679,190.685
2020-08-21,DE,196.76,202.95,196.0,199.5,6446300,2.74,1.39,198.8025
2020-08-24,DE,204.37,206.48,202.66,205.4,3177982,1.03,0.50399,204.7275
2020-08-25,DE,206.0,209.4,205.35,205.6,2707075,-0.4,-0.19417,206.5875
2020-08-26,DE,206.59,212.29,204.76,211.01,2040293,4.42,2.14,208.6625
2020-08-27,DE,211.16,212.45,208.82,209.83,1875503,-1.33,-0.62985,210.565
2020-08-28,DE,210.33,210.8,208.75,209.9,1261483,-0.43,-0.20444,209.945
2020-08-31,DE,210.0,211.43,207.77,210.06,1944500,0.06,0.02857143,209.815
2020-09-01,DE,208.52,217.72,208.27,217.69,1873548,9.17,4.4,213.05
2020-09-02,DE,218.24,219.71,215.67,217.11,1983120,-1.13,-0.51778,217.6825
2020-09-03,DE,217.27,218.73,209.07,210.81,1975367,-6.46,-2.97,213.97
2020-09-04,DE,213.19,214.0,208.18,211.34,1662351,-1.85,-0.86777,211.6775
2020-09-08,DE,209.86,213.24,207.97,210.24,1918500,0.38,0.18107,210.3275
