date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1993-03-31,DECK,1993,Q4,USD,161040000.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01366120218579235,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1993-06-30,DECK,1994,Q1,USD,159020690.16,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.013205828737676006,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Consumer Cyclical
1993-09-30,DECK,1994,Q2,USD,170799997.56,172999997.56,18.020833079166668,0.0,0.0,123.57142682857143,1.5714285714285714,2.318840579710145,0.0,0.10181390732480954,0.007678571538265308,0.5833333333333334,0.9230769230769231,9100000.0,11100000.0,0.034482758620689655,0.0,0.035,0.05426356589147287,0.04830148619957537,0.09701492537313433,0.004098360714285715,,0.0,0.0,,0.0,0.0,,0.014778325123152709,,,,36.5625,41.860465116279066,203.02325581395348,239.58575581395348,197.7252906976744,,,12600000.0,8600000.0,Consumer Cyclical
1993-12-31,DECK,1994,Q3,USD,152287438.11039,149687438.11039,12.685376111050001,-17.405516059347676,-16.63193756782111,62.36976587932917,-1.0833333333333333,8.75925925925926,-6.615384615384615,0.24164900265099137,0.07945421598877413,0.5416666666666666,1.0909090909090908,41900000.0,44200000.0,0.025048169556840076,0.060941828254847646,0.025193798449612403,0.028077753779697623,0.0255174875089222,0.047311827956989246,0.008536488735582097,-0.05909876816941451,-0.046511627906976744,2.0,0.03389830508474576,0.0,0.0,0.0,0.005780346820809248,7350000.0,2300000.0,11450000.0,82.3728813559322,41.785714285714285,212.14285714285717,294.51573849878935,252.73002421307507,-6400000.0,-31808333.333333332,46000000.0,41700000.0,Consumer Cyclical
1994-03-31,DECK,1994,Q4,USD,161070255.57144,157670255.57144,5.532289669173334,-26.278375928573336,-25.430686382490325,22.52432222449143,-0.4857142857142857,5.3861386138613865,-1.4634146341463414,0.38843808938561153,0.10386178963117193,0.5857142857142857,1.0294117647058822,44300000.0,48100000.0,0.06765676567656766,0.12088888888888889,0.06960950764006792,0.08118811881188119,0.07855734009580162,0.13465346534653466,0.0254547308281976,-0.03849251978898174,-0.03333333333333333,1.0,0.007017543859649123,0.0,0.0,0.0,0.028052805280528052,17600000.0,2700000.0,12950000.0,77.05263157894737,18.0,81.64285714285714,158.6954887218045,140.6954887218045,-2800000.0,1582857.1428571432,48800000.0,44300000.0,Consumer Cyclical
1994-06-30,DECK,1995,Q1,USD,126578556.52632,122578556.52632,4.3313977571137805,32.25751487534737,36.052516625388236,19.1528994572375,-0.625,6.695121951219512,1.027027027027027,0.38326674336480965,0.10427177289903418,0.578125,1.032258064516129,46700000.0,50700000.0,0.0592,0.10073111291632819,0.060755336617405585,0.06826568265682657,0.06576834862385321,0.1141804788213628,0.02923085948788367,0.026860789799676883,0.10526315789473684,2.0,0.014134275618374558,0.0,0.0,0.0,0.0256,23450000.0,2950000.0,11750000.0,71.5547703180212,19.241379310344826,67.03448275862068,138.58925307664188,119.34787376629706,7400000.0,984375.0,52600000.0,46600000.0,Consumer Cyclical
1994-09-30,DECK,1995,Q2,USD,152342437.5,149842437.5,9.989495833333333,249.73739583333332,499.47479166666665,53.51515625,-0.8928571428571429,9.796296296296296,0.4,0.2569334832496824,0.09807407407407408,0.5769230769230769,1.0,47500000.0,51400000.0,0.024549918166939442,0.042071197411003236,0.025210084033613446,0.026929982046678635,0.02683363148479427,0.0466786355475763,0.009846238675287049,0.00196924773505741,0.5,1.5,0.02,0.0,0.0,0.0,0.02618657937806874,18450000.0,2400000.0,13850000.0,86.4,20.13157894736842,200.13157894736844,286.5315789473684,266.4,2800000.0,599999.9999999998,54100000.0,47500000.0,Consumer Cyclical
1994-12-31,DECK,1995,Q3,USD,120154633.08875999,117454633.08875999,8.389616649197142,-12.766807944430434,-12.363645588290526,55.93077766131428,-1.2857142857142858,9.473684210526315,-7.666666666666667,0.2265333889476022,0.13278521676491645,0.5714285714285714,1.105263157894737,48300000.0,52300000.0,0.019138755980861243,0.030694668820678513,0.0196078431372549,0.0210896309314587,0.01898101898101898,0.03333333333333333,0.009987130493033444,-0.07906478306984809,-0.03260869565217391,1.5,0.02142857142857143,0.0,0.0,0.0,0.023923444976076555,16650000.0,1750000.0,20150000.0,121.5,22.816901408450704,296.61971830985914,418.11971830985914,395.30281690140845,-6800000.0,185714.28571428568,55400000.0,48200000.0,Consumer Cyclical
1995-03-31,DECK,1995,Q4,USD,143276141.841,146976141.841,4.071361269833795,-47.4116586583871,-38.67793206342105,17.291310804823528,0.43529411764705883,6.3,-0.6595744680851063,0.44849482632036713,0.13596631302103768,0.5875,0.9876543209876543,53000000.0,58500000.0,0.06464924346629987,0.11964549483013294,0.06695156695156695,0.08289241622574955,0.07565580286168522,0.1291866028708134,0.032803786726863446,-0.026522210545123638,-0.22580645161290322,1.75,0.019390581717451522,0.0,0.0,0.0,0.0343878954607978,28300000.0,1900000.0,20400000.0,93.98891966759003,9.89010989010989,86.04395604395604,180.03287571154607,170.14276582143617,-7500000.0,-241250.0,54200000.0,47000000.0,Consumer Cyclical
1995-06-30,DECK,1996,Q1,USD,92812500.0,93212500.0,4.275802752293578,18.276960784313726,19.83244680851064,40.52717391304348,0.17391304347826086,12.25,4.636363636363637,0.22942616162147603,0.14696969696969697,0.5789473684210527,0.95,49500000.0,55000000.0,0.017001545595054096,0.02911208151382824,0.01765650080256822,0.018998272884283247,0.019170442662948765,0.03316749585406302,0.011851851851851853,0.05063973063973064,0.0784313725490196,1.3333333333333333,0.01834862385321101,0.0,0.0,0.0,0.03709428129829984,32150000.0,1750000.0,17700000.0,109.81651376146789,10.887096774193548,130.6451612903226,240.46167505179048,229.57457827759694,4300000.0,4557894.736842105,55500000.0,47100000.0,Consumer Cyclical
1995-09-30,DECK,1996,Q2,USD,65000160.0,75300160.0,3.3766887892376682,17.51166511627907,18.82504,-83.66684444444445,-11.444444444444445,6.511904761904762,-3.5833333333333335,,0.06875,0.5714285714285714,1.6153846153846154,46300000.0,65500000.0,-0.01509433962264151,-0.018030513176144243,-0.018867924528301886,-0.021164021164021163,-0.01043338683788122,-0.01828410689170183,-0.018461493017863338,0.061538310059544465,0.06976744186046512,0.75,0.013452914798206279,0.0,0.0,0.0,0.2,25900000.0,1400000.0,18500000.0,101.70403587443946,7.267080745341615,106.21118012422362,207.9152159986631,200.64813525332147,-6300000.0,2557142.8571428573,40800000.0,31900000.0,Consumer Cyclical
1995-12-31,DECK,1996,Q3,USD,57913857.39744,70013857.39744,3.153777360245045,-50.00989814102857,-36.849398630231576,-17.076550584741465,-2.951219512195122,7.936507936507937,0.4375,,0.03516308689343179,0.6153846153846154,1.1063829787234043,43700000.0,63900000.0,-0.042723631508678236,-0.06088082901554404,-0.05517241379310345,-0.059813084112149535,-0.042100548650767,-0.06851311953352769,-0.05525447869997089,-0.032807346728107714,-0.35714285714285715,0.8333333333333334,0.02252252252252252,0.0,0.0,0.0,0.22563417890520696,22450000.0,2150000.0,19300000.0,79.86486486486487,15.428571428571429,100.8,180.66486486486485,165.23629343629344,-14000000.0,-192307.6923076925,36600000.0,28600000.0,Consumer Cyclical
