date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1985-09-30,DHR,1985,Q3,USD,58223238.4,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.020610327301890514,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1985-12-31,DHR,1985,Q4,USD,53942549.76,128642549.75999999,1.7152339967999999,0.0,0.0,-0.6333951243722303,-0.36779911373707536,3.5370741482965933,0.0,0.1299037589185663,-0.23814486072969793,0.0,0.0,126600000.0,198300000.0,0.005950167348456675,0.0,0.006490872210953347,0.03206412825651302,,-0.9273972602739726,0.02966118596763936,,0.0,0.0,,0,0.0,,0.08330234287839346,,,,40.559999999999995,0.0,0.0,40.559999999999995,40.559999999999995,,,27500000.0,-42500000.0,Healthcare
1986-03-31,DHR,1986,Q1,USD,71923399.67999999,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.015294049014564047,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-06-30,DHR,1986,Q2,USD,84765465.6,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.011797257207539012,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-09-30,DHR,1986,Q3,USD,72778232.32000001,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03297689327555242,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1986-12-31,DHR,1986,Q4,USD,84765465.6,527265465.6,3.303668330827068,0.0,0.0,-2.0807634790844514,-1.7462509865824782,1.4617117117117118,0.0,0.23769890449766137,-1.5204338711259318,0.0,0.0,123000000.0,445800000.0,0.005535304441744296,0.0,0.007543698252069918,0.06288343558282208,,-0.5342610162344508,0.04836875455090994,,0.0,0.0,,0,0.0,,0.2662346429053598,,,,52.838345864661655,0.0,0.0,52.838345864661655,52.838345864661655,,,-132000000.0,-286100000.0,Healthcare
1987-03-31,DHR,1987,Q1,USD,160114721.28,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-06-30,DHR,1987,Q2,USD,161827649.28,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-09-30,DHR,1987,Q3,USD,237373575.84,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1987-12-31,DHR,1987,Q4,USD,127096372.8,508696372.8,2.9835564387096776,0.0,0.0,-1.41304548,-1.06,2.0312944523470837,0.0,0.3504226848142142,-1.1796148402749698,0.0,0.0,145000000.0,490500000.0,0.010224324736761789,0.0,0.015377553362405325,0.06485963213939981,,-0.6994365649893142,0.0527159025265275,,0.0,0.0,,0,0.0,,0.33511368838699834,,,,45.976539589442815,0.0,0.0,45.976539589442815,45.976539589442815,,,-116300000.0,-266400000.0,Healthcare
1988-03-31,DHR,1988,Q1,USD,178120845.44,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1988-06-30,DHR,1988,Q2,USD,281556549.12,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1988-09-30,DHR,1988,Q3,USD,245262671.04,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,,,,,0.0,0.0,,,,,,,Healthcare
1988-12-31,DHR,1988,Q4,USD,216520552.48,440820552.48,2.4807009143500283,0.0,0.0,-1.019709813740458,-0.518852648623641,1.4730662983425415,0.0,0.0,-0.7790244116229127,0.0,0.0,68500000.0,394500000.0,0.0,0.0,0.0,0.0,,-1.003016241299304,0.0,,0.0,0.0,,0,0.0,,0.3603681833970129,,,,42.84749577940349,0.0,0.0,42.84749577940349,42.84749577940349,,,-51800000.0,-206800000.0,Healthcare
