date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
1995-03-31,DLTR,1995,Q1,USD,338551404.52925396,366651404.52925396,7.528776273701314,-21.071919800531838,-18.3325702264627,183.32570226462698,14.05,1.3100961538461537,-87.0,0.03548178534817149,-0.12419408851209426,0.5,0.5,12900000,31100000,0.002642007926023778,0.0,0.002642007926023778,0.011363636363636364,0.008032128514056224,0.02346041055718475,0.0005907522382844468,-0.059075223828444684,-0.14942528735632185,2.1666666666666665,0.053388090349075976,0.0,0,0.0,0.0,,,,0.36960985626283366,55.72755417956657,139.87616099071207,140.2457708469749,84.51821666740832,-48100000,,17600000,-3600000,Consumer Defensive
1995-06-30,DLTR,1995,Q2,USD,453662560.0,490962560.0,7.805446104928458,84.64871724137932,188.83175384615384,79.18750967741936,6.016129032258065,1.3105022831050228,2.230769230769231,0.13188718955694964,-0.12346153846153846,0.6190476190476191,0.8571428571428571,13600000,33600000,0.03225806451612903,0.06269993602047345,0.03225806451612903,0.12935323383084577,0.04924242424242425,0.1331521739130435,0.005731131967337133,0.005731131967337133,0.5517241379310345,2.4615384615384617,0.05087440381558029,0.0,0,0.0,0.0,300000.0,16500000.0,51600000.0,0.5723370429252782,28.88888888888889,117.77777777777777,118.35011482070306,89.46122593181417,-34700000,433333.33333333395,20100000,-3100000,Consumer Defensive
1995-09-30,DLTR,1995,Q3,USD,604444410.0,643944410.0,9.554071364985163,-58.540400909090906,-45.34819788732394,80.49305125,4.9375,1.2719298245614035,-3.0555555555555554,0.16295875415440425,-0.1374074074074074,0.6101694915254238,0.8939393939393939,15500000,37200000,0.03696098562628337,0.07415730337078652,0.03696098562628337,0.1506276150627615,0.058364038319823126,0.16336633663366337,0.005955882692338904,-0.023492648397559008,-0.2909090909090909,2.2857142857142856,0.04747774480712166,0.0,0,0.0,0.0,400000.0,16800000.0,59400000.0,0.5341246290801187,44.78260869565217,143.04347826086956,143.57760288994967,98.7949941942975,-53700000,327118.6440677969,23900000,-1000000,Consumer Defensive
1995-12-31,DLTR,1995,Q4,USD,444444570.0,436544570.0,3.601852887788779,8.765955220883534,9.24882563559322,16.855002702702702,-0.305019305019305,1.7886178861788617,3.410958904109589,0.4197515432070397,-0.03611111111111111,0.6160337552742616,0.9753086419753086,29100000,52200000,0.15938864628820962,0.2571428571428571,0.15938864628820962,0.3734015345268542,0.2731682527949737,0.44424131627056673,0.03284999071987762,0.10619996999850848,0.05220883534136546,1.625,0.02145214521452145,0.0,0,0.0,0.0,400000.0,20100000.0,52950000.0,0.297029702970297,24.032697547683924,49.16893732970028,49.46596703267058,25.433269484986653,55100000,369620.25316455774,39100000,13500000,Consumer Defensive
1996-03-31,DLTR,1996,Q1,USD,784444500.0,857544500.0,10.088758823529412,-49.85723837209302,-39.70113425925926,178.65510416666666,15.229166666666666,1.4926590538336053,-19.11111111111111,0.10710846008706419,-0.3010185185185185,0.6,0.5769230769230769,30200000,108800000,0.005184331797235023,0.0196078431372549,0.007142857142857143,0.021791767554479417,0.011899313501144164,0.02315227070347284,0.0011473087006155312,-0.027535408814772747,-0.2558139534883721,2.0,0.05176470588235294,0.0,0,0.0,0.27419354838709675,1250000.0,26150000.0,56400000.0,2.223529411764706,52.64758497316637,117.04830053667263,119.27182994843733,66.62424497527095,-94700000,-1740000.0,-6300000,-40800000,Consumer Defensive
1996-06-30,DLTR,1996,Q2,USD,877037085.0,934437085.0,9.098705793573515,-119.79962628205128,-77.86975708333334,91.61147892156863,5.627450980392157,1.5419254658385093,-2.108108108108108,0.2789943329851663,-0.21432432432432433,0.6166666666666667,0.7894736842105263,34900000,115200000,0.020262869660460023,0.04267265581134194,0.02730627306273063,0.05138888888888889,0.03362027737924438,0.06429780033840947,0.004218749769287123,-0.01368243168417445,-0.5384615384615384,1.6153846153846154,0.04089581304771178,0.0,0,0.0,0.2579408543263965,2000000.0,33250000.0,79650000.0,1.6650438169425512,45.40298507462686,116.32835820895522,117.99340202589778,72.59041695127092,-69400000,-1613333.333333333,24900000,-11300000,Consumer Defensive
1996-09-30,DLTR,1996,Q3,USD,1140740700.0,1214440700.0,10.980476491862568,-94.8781796875,-72.721,88.00294927536233,5.340579710144928,1.4406976744186046,-2.1333333333333333,0.34292856398964494,-0.22833333333333333,0.6185567010309279,0.8738738738738738,37900000,119600000,0.028708133971291867,0.05669050051072523,0.037037037037037035,0.07653061224489796,0.042966078732436165,0.09024390243902439,0.005259740447588133,-0.014639610912453636,-0.3046875,1.4444444444444444,0.0352622061482821,0.0,0,0.0,0.22488038277511962,2150000.0,36100000.0,99500000.0,1.9529837251356237,50.30567685589519,147.24890829694323,149.20189202207885,98.89621516618365,-90400000,2665979.3814432994,31400000,-6700000,Consumer Defensive
1996-12-31,DLTR,1996,Q4,USD,992925227.518474,994325227.518474,5.106960593315224,12.913314643097065,13.62089352765033,23.787684868863014,0.03349282296650718,1.376,3.3189655172413794,0.8761974674245586,-0.10472423961860243,0.6137566137566137,0.9742268041237113,23500000,105900000,0.13559322033898305,0.2041568008418837,0.18604651162790697,0.2283464566929134,0.2186754509986833,0.3572744014732965,0.02336530421125628,0.0735201382509357,0.05194805194805195,1.3333333333333333,0.02054442732408834,0.0,0,0.0,0.2711864406779661,2150000.0,36850000.0,93750000.0,0.8782742681047765,26.630343671416597,56.65549036043588,57.53376462854065,30.903420957124055,71600000,37213756.61375661,55200000,16500000,Consumer Defensive
1997-03-31,DLTR,1997,Q1,USD,960476637.417693,991876637.417693,8.427159196412005,-47.91674576897068,-33.17313168621047,108.99743268326297,3.4505494505494507,1.9668615984405458,-5.75,0.3530441583072041,-0.13668368059212688,0.6206896551724138,0.9354838709677419,49600000,138300000,0.0187207488299532,0.0341221794166208,0.02459016393442623,0.03386641580432737,0.02639421030225628,0.04397163120567376,0.003748139059039318,-0.031130377184798778,-0.4444444444444444,3.1724137931034484,0.07816482582837724,0.0,0,0.0,0.23868954758190328,1400000.0,34050000.0,82550000.0,0.6881903143585387,38.588235294117645,105.88235294117646,106.570543255535,67.98230796141735,-61300000,-28551724.137931034,60400000,14900000,Consumer Defensive
1997-06-30,DLTR,1997,Q2,USD,1492592700.0,1541492700.0,11.921830626450117,-550.5331071428571,-82.43276470588235,112.51771532846715,3.5693430656934306,2.405010438413361,-0.4666666666666667,0.4137027918687521,-0.15891666666666668,0.6122448979591837,0.9333333333333333,67300000,168600000,0.0273224043715847,0.05098324836125273,0.03444316877152698,0.05258545135845749,0.037353698016103595,0.061153174140943505,0.004019850827355648,-0.012528535078591769,-5.678571428571429,4.96875,0.12296983758700696,0.0,0,0.0,0.20673952641165755,1000000.0,33700000.0,96700000.0,0.765661252900232,37.42788461538461,111.85096153846153,112.61662279136176,75.18873817597715,-67600000,-23971428.57142857,68700000,9700000,Consumer Defensive
1997-09-30,DLTR,1997,Q3,USD,1626416541.0,1695416541.0,11.90601503511236,-565.138847,-82.70324590243902,92.14220331521739,3.75,1.9233817701453104,-0.3448275862068966,0.59716764430292,-0.26130268199233714,0.6170212765957447,0.9337748344370861,69900000,185500000,0.032904689863842665,0.062396694214876036,0.03965360072926162,0.07010475423045931,0.0462383189905496,0.0800211976682565,0.005349183177054273,-0.012604397141334779,-5.833333333333333,5.303030303030303,0.12289325842696629,0.0,0,0.0,0.170196671709531,1150000.0,40700000.0,118300000.0,0.7584269662921348,47.53950338600451,135.30474040632055,136.0631673726127,88.52366398660818,-89500000,-7482978.723404255,79100000,5300000,Consumer Defensive
1997-12-31,DLTR,1997,Q4,USD,1609027875.0,1596427875.0,6.489544207317073,16.594884355509354,19.63625922509225,29.728638268156423,-0.2346368715083799,1.7270531400966183,3.174917491749175,1.2379667332578292,-0.10819047619047618,0.6146044624746451,0.986,60200000,186800000,0.1111518708730741,0.186219739292365,0.1328364752301622,0.19561007101355712,0.15419078336042272,0.26343519494204426,0.018831246164706748,0.050527403075599296,0.1548856548856549,4.027027027027027,0.06056910569105691,0.0,0,0.0,0.1632428466617755,1300000.0,50400000.0,111150000.0,0.5121951219512195,32.639355271994624,53.85493619879114,54.36713132074236,21.727776048747735,93900000,29230223.123732254,110400000,25300000,Consumer Defensive
1998-03-31,DLTR,1998,Q1,USD,2020061635.95679,2056861635.95679,13.639666020933621,-48.97289609420928,-39.8616596115657,130.18111619979683,2.329113924050633,2.127407407407407,-6.0,0.6294077153726002,-0.1702597400386237,0.6140350877192983,0.8571428571428571,76100000,207800000,0.025152712899748474,0.04283899074242149,0.02987622705932565,0.04224502112251056,0.03432313612073766,0.055977229601518026,0.0034652408002810724,-0.02554377504207191,-0.22857142857142856,2.4,0.0636604774535809,0.0,0,0.0,0.15810276679841898,900000.0,48950000.0,108950000.0,0.2387267904509284,41.199165797705945,120.87591240875913,121.11463919921006,79.91547340150412,-88400000,-13333333.333333332,121700000,31000000,Consumer Defensive
1998-06-30,DLTR,1998,Q2,USD,2458333391.068376,2515833391.068376,14.46712703317065,-199.6693167514584,-114.87823703508566,110.82966480477428,2.5330396475770924,2.3342391304347827,-1.1886792452830188,0.764255935564724,-0.17452683635539756,0.6149425287356322,0.883248730964467,98200000,234600000,0.03434991974317817,0.06171583587656833,0.03992537313432836,0.05947748749305169,0.045274894915002056,0.07650273224043716,0.004352542270659981,-0.008908474367051736,-0.7380952380952381,2.066666666666667,0.053479010925819435,0.0,0,0.0,0.13964686998394862,550000.0,43650000.0,142450000.0,0.3622771707878091,35.802016498625115,128.77176901924838,129.1340461900362,93.3320296914111,-79400000,-14785632.183908047,136400000,40200000,Consumer Defensive
1998-09-30,DLTR,1998,Q3,USD,1991153749.6987178,2078053749.6987178,11.8004187944277,-199.81286054795365,-73.17090667953232,83.79248990720636,3.504032258064516,1.8509090909090908,-0.9043478260869565,0.7793226229573076,-0.23763440872991098,0.6149732620320856,0.8697674418604651,93600000,245000000,0.03207810320781032,0.06,0.03645007923930269,0.05983350676378772,0.04284562414850925,0.08088531187122737,0.005775545962605886,-0.014263087420696274,-1.7307692307692308,3.8297872340425534,0.10221465076660988,0.0,0,0.0,0.1199442119944212,850000.0,48250000.0,170300000.0,0.5110732538330494,44.29101019462465,153.89249304911954,154.40356630295258,110.11255610832794,-115300000,4521925.133689839,149200000,37300000,Consumer Defensive
