date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2003-05-31,DPZ,2003,Q2,USD,3478140000.0,,,0.0,0.0,,,0.0,0.0,,,0.6198291446598845,0.720790004854493,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0050273997021396495,,0.0,0.0,,0.0,0,,0.0,,,,,,,,,,,,,Consumer Cyclical
2003-09-30,DPZ,2003,Q3,USD,379547032.5,,,0.0,0.0,,,0.0,0.0,,,0.624974014274825,-1.2883096013926707,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.04752507187630298,,0.0,0.0,,0.0,0,,0.0,,,,,,,,,,,,,Consumer Cyclical
2003-12-31,DPZ,2003,Q4,USD,379547032.5,1296432032.5,2.994027871438271,25.70806544845228,33.38308310802112,20.005432264983643,14.14858650700574,0.9931565208424914,2.3644504876219057,,-37.7981258488696,0.6254362042168852,0.6203001364256481,-1261000.0,176435000.0,0.04754611826338962,0.0,0.053595211410593396,-0.029706266200347373,0.12154577610194729,0.20799282665940252,0.05619329931133107,0.10231933508793802,0.2299073945547205,1.1795706582561807,0.026775610499623563,0.0,0,0.0,0.11286629883520036,,,,14.207747698646207,14.990967830500965,5.469844409570667,19.677592108216874,4.686624277715909,-878050000.0,,-768592000.0,-983536000.0,Consumer Cyclical
2004-03-31,DPZ,2004,Q1,USD,856924137.0,,,,,,,0.0,0.9262277270751847,,,0.6224807250101447,0.680269605024039,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02148148150482077,0.01196722038417737,0.398533724340176,0.978401727861771,0.021317379546609613,0.0,0,0.0,0.0,,,,,,,,,,,,,Consumer Cyclical
2004-06-13,DPZ,2004,Q2,USD,490254579.0,1368162579.0,4.219650436718933,38.55499574480076,55.521572072072075,34.79470458533608,22.32669565880827,1.2164781583469886,2.234212680224139,,-27.857475146601335,0.6225061733234037,0.648839042750693,32499000.0,187911000.0,0.03533597207296805,0.0,0.03730962857162993,-0.023470196013524697,0.08169072992070257,0.13136293935476112,0.03239541389372724,0.05026368147394703,0.3055853012455616,0.0,0.03344477479366881,0.11806215225946533,0,0.0,0.052899387483118517,,,,19.586844150557003,18.057656050438908,7.495651468769639,27.082495619326643,9.024839568887735,-853266000.0,,-700464000.0,-943520000.0,Consumer Cyclical
2004-09-05,DPZ,2004,Q3,USD,508414466.0,1292512466.0,3.9772306617678734,247.98781005372217,-223.2704207980653,45.54628465712876,27.630488406512086,1.1127695539997673,5.323799795709908,,-25.19319739419059,0.6223776223776224,0.05543026287969554,16478000.0,176042000.0,0.002325178188451061,0.06519931074095348,0.0024643623997200846,-0.001702801186221051,0.06416907548651234,0.10322200478681226,0.001925594304391803,-0.011386379395428138,2.1107060629316963,0.5133936904984133,0.03385152225689123,0.15663829551538874,0,0.0,0.05647879195236591,68067000.0,49743000.0,21949000.0,18.159075383564428,18.315682794998697,8.5558169445168,26.714892328081227,8.39920953308253,-789887000.0,32432832.167832166,-598715000.0,-833379000.0,Consumer Cyclical
2005-01-02,DPZ,2004,Q4,USD,1204075835.0500002,1944379835.0500002,4.063251962372108,34.89930421527803,43.60475959386424,27.096349327601107,10.316675492627999,0.9990720578698455,2.06218306991894,,-12.95599060573473,0.6224971774843897,0.7208510496943927,-176000.0,159662000.0,0.06039383297529658,0.13866580683794147,0.0636604837037456,-0.04913253800829272,0.1324474249031898,0.23365414467556658,0.022437955495451082,0.03703338170402558,0.19964461356212082,0.963030303030303,0.023244198876554767,0.00035818175738932726,0,0.00010657683562926307,0.05131363348809761,70235500.0,52675500.0,22431000.0,14.087138056707236,13.729116254457862,5.334139928674189,19.421277985381423,5.69216173092356,-695713000.0,54560310.061980136,-572835000.0,-807736000.0,Consumer Cyclical
2005-03-27,DPZ,2005,Q1,USD,1261282756.5,1959922756.5,5.301845863044678,48.18968691450911,57.682110674554124,33.41157102795772,11.90998977156495,1.1518579387835979,1.6295776905200736,,-12.415079504815223,0.6225026812660565,0.7939994058817704,26057000.0,184031000.0,0.05545914115882451,0.11253972711428482,0.05839289683328849,-0.04748821261811166,0.11277400508929677,0.1813516163440922,0.019787791334955906,0.02693924088385014,0.1645644316589216,0.819718309859155,0.018105435147213175,0.006722248071242304,0,0.0,0.050241653241486585,74823500.0,56855500.0,21368000.0,18.197788285705013,18.985704216442862,6.906761128481321,25.104549414186334,6.118845197743472,-664662000.0,6672272.890529521,-548172000.0,-777942000.0,Consumer Cyclical
2005-06-19,DPZ,2005,Q2,USD,1487263560.6399999,2247431560.64,6.477606716279391,72.66891585475474,100.2869951200357,41.19872340818683,13.934996608678118,0.8865315481835082,1.3216101875988207,,-14.170863589860728,0.6405773812822075,0.7821357371933778,-21179000.0,138696000.0,0.05509525681810058,0.10711986017845644,0.05824369599717863,-0.040271717831482694,0.12104274970976453,0.1999107311462464,0.015546000461445152,0.015067941280264084,0.2753904355417596,1.068498306360557,0.024547922779388623,0.12053182842682315,0,0.0,0.0540563081578916,72063000.0,55143500.0,20711000.0,17.997198475878648,18.074839009108313,7.028253176306782,25.02545165218543,6.950612643077118,-737758000.0,76609359.11785892,-596810000.0,-828308000.0,Consumer Cyclical
2005-09-11,DPZ,2005,Q3,USD,1588059352.55,2321358352.55,6.8765503251119755,62.24982844520126,72.97803617058067,43.35341026332991,13.695004202073022,1.0163951236872741,1.7914584934665643,,-13.118878045424978,0.6002426538040423,0.759052111410602,2718000.0,161371000.0,0.04897990722697517,0.10886272703721828,0.05191693904034031,-0.03670867062274801,0.11135985204004747,0.18274356950730428,0.012772822355429793,0.020030107784651262,0.1470059799951731,0.6717314054650165,0.016239306111808897,0.12183330568523829,0,0.0,0.05657174455302575,69547000.0,52743000.0,21692500.0,18.58621465980994,19.199885288213363,8.314453685116145,26.900668344926085,7.700783056712723,-701490000.0,6205677.092889056,-575995000.0,-798197000.0,Consumer Cyclical
2006-01-01,DPZ,2005,Q4,USD,1602509649.3999999,2273252649.3999996,4.969955442403677,70.3619118917915,93.50716339928425,33.53671440752979,9.895299775758291,1.018221128412724,0.8261436571457795,,-12.638149266422758,0.6180775066380073,1.1169720721674963,3961000.0,157500000.0,0.08481718769655196,0.12944653983133056,0.08908403380487027,-0.0765325792342241,0.1254928203969869,0.23245201876161828,0.024403597204323956,0.015170579477697592,0.24752383310635137,0.7179924582510325,0.017483641197291643,0.00038500302799087885,0,0.008299099910581352,0.04789686688037061,72279500.0,56945000.0,23712500.0,14.726857732526744,15.968062111253253,6.413428029467555,21.1402857619943,5.172223650741046,-646432000.0,36909618.44101656,-533069000.0,-750713000.0,Consumer Cyclical
2006-03-26,DPZ,2006,Q1,USD,1875995800.31,2660821800.31,7.653649318891771,92.81181067738672,108.56952016933246,49.37414040025236,14.563210925757547,0.9389187838603719,1.096245029060875,,-14.183496841039364,0.6199947843815936,0.7827095433374776,-10023000.0,140631000.0,0.0675945670013828,0.12710606166027297,0.07168230856942373,-0.041388915266039945,0.14975500611848966,0.24187843915225177,0.013940329714852505,0.013063995130452937,0.14513934912274581,0.49161153119092627,0.011968796562099098,0.11621899934992838,0,0.002925322303209513,0.05702580803577198,72954000.0,55652000.0,21978500.0,18.396652994068816,18.10734965010124,7.007211111505808,25.403864105574623,7.296514455473382,-760318000.0,51699138.92510846,-653923000.0,-864685000.0,Consumer Cyclical
