date,symbol,open,high,low,close,volume,change,changePercent,vwap
2020-07-30,DTE,97.01,97.84,96.49,97.59,1085961,0.58709,0.59788,97.2325
2020-07-31,DTE,97.41,98.6,96.66,98.38,1213259,0.97848,0.99579,97.7625
2020-08-03,DTE,98.11,98.55,96.72,96.89,965524,-1.23,-1.24,97.5675
2020-08-04,DTE,96.72,98.76,96.42,98.39,1203218,1.67,1.73,97.5725
2020-08-05,DTE,98.85,99.11,98.03,98.27,1347801,-0.57858,-0.58675,98.565
2020-08-06,DTE,98.15,99.9,97.71,99.5,980544,1.34,1.38,98.815
2020-08-07,DTE,98.61,101.65,98.61,101.13,1294897,2.52,2.56,100.0
2020-08-10,DTE,101.59,103.0,101.29,102.3,1043759,0.7062,0.69889,102.045
2020-08-11,DTE,102.9,103.35,99.78,99.88,881279,-3.02,-2.93,101.4775
2020-08-12,DTE,100.59,101.67,100.19,101.09,723093,0.502,0.49707,100.885
2020-08-13,DTE,100.46,101.2,99.85,100.54,649386,0.076577,0.07963369,100.5125
2020-08-14,DTE,100.52,101.3,99.42,100.15,543634,-0.36586,-0.36809,100.3475
2020-08-17,DTE,100.15,100.71,99.34,99.58,1349881,-0.57007,-0.56915,99.945
2020-08-18,DTE,99.55,100.12,98.8,99.15,958219,-0.3999,-0.40181,99.405
2020-08-19,DTE,99.76,99.91,98.59,99.57,845188,-0.1957,-0.19046,99.4575
2020-08-20,DTE,98.99,99.4,98.0,98.24,914274,-0.74875,-0.75765,98.6575
2020-08-21,DTE,98.62,98.79,97.69,98.55,1386544,-0.068068,-0.07097952,98.4125
2020-08-24,DTE,98.8,100.52,98.34,100.37,845822,1.57,1.59,99.5075
2020-08-25,DTE,100.61,100.61,98.98,99.55,662843,-1.06,-1.05,99.9375
2020-08-26,DTE,98.98,99.48,98.01,98.48,1072667,-0.502,-0.50515,98.7375
2020-08-27,DTE,99.24,100.25,98.93,99.57,993899,0.32332,0.33253,99.4975
2020-08-28,DTE,99.9,100.59,99.06,100.28,652614,0.38288,0.38038,99.9575
