date,symbol,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,sector
2005-03-31,DXCM,2005,Q1,USD,30313093.439999998,25668942.439999998,0.0,-5.025390808265708,-4.813971339280624,-4.759728118765579,0.8611533628299056,7.83141072910028,0.8533086309824613,,-5.650537855499053,0.9824402893519943,0.9953040607206659,19112108,21040720,-0.2359938997319394,0.0,-0.2359938997319394,0.10953771690249738,-0.26650192590037913,-0.27126526547090263,-0.19747027837486192,-0.1759033933819458,-0.04391789108920583,0.307831855188966,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-688025,,-54647250,-58102248,Healthcare
2005-06-30,DXCM,2005,Q2,USD,274537847.6,223047399.60000002,0.0,-42.97824079078573,-37.57567439898436,-35.792740143121286,8.26274696957686,23.476708056670805,0.812903101508588,,0.7178026670010216,0.9976182477041139,0.9352935725888037,64475943,66958032,-0.09110385051648982,-0.14338069231308104,-0.09110385051648982,-0.09520037132667256,-0.10156419269225929,-0.10180667096456567,-0.023254527766611657,-0.021621616297686743,-0.143778294820103,1.2220629950146416,0.0,0.0,0.0,0.0,0.0,0.0,1669430.0,0.0,0.0,0.0,0.0,0.0,0.0,45554496,-52325353.51251553,67061167,64329078,Healthcare
2005-09-30,DXCM,2005,Q3,USD,295125588.48,253006295.48000002,0.0,-45.20383123846483,-36.03399694245614,-36.87572381090774,6.138896318101609,20.717473102253578,0.8842567351188958,,0.5550671180486315,1.0,0.9225436678597294,57548324,61108789,-0.09847345339775926,-0.10213393369342375,-0.09847345339775926,-0.10356600750945964,-0.12372451550229768,-0.1118185855982262,-0.021447211787360632,-0.023790963149492608,-0.25447730127335844,-2.1133824666258128,0.0,0.0,0.0,0.0,0.0,0.0,2052628.5,0.0,0.0,0.0,0.0,0.0,0.0,35097971,-2762228.4408327127,61116781,57306316,Healthcare
2005-12-31,DXCM,2005,Q4,USD,282647583.36,245400519.36,0.0,-36.851628114699324,-27.44683354470184,-20.10674737752526,3.0518163056691074,7.211206491967313,0.5518193885027594,,0.570234408849396,0.00039222079972230377,2440.983288300557,43938671,49402162,-0.21273439189308063,-0.20833286468372497,-0.21273439189308063,-0.24422428992693546,-0.25370218990849136,-0.25385647859603777,-0.04269495552215572,-0.03163282308560262,-0.3426549935051771,5.70963044147343,0.0,0.0,0.0,0.0,0.0,0.0,3988718.5,0.0,0.0,0.0,0.0,0.0,0.0,28306123,-869361.2330911793,49412063,43698572,Healthcare
2006-03-31,DXCM,2006,Q1,USD,518287908.84000003,498107399.84000003,33712.85278104907,-43.78875687755023,-40.11203176703317,-51.705761306457816,2.0948265007345723,5.9074700433732605,1.0417781498896836,,0.31721940412033633,0.001,957.646529503235,34193568,40220026,-0.22993450743848673,-0.21881851680477182,-0.22993450743848673,-0.27106653088337535,-0.2938235376264824,-0.28139098429996073,-0.021067551092284517,-0.023959472694998783,-0.09166140303914601,0.589588407160762,70.56988155668358,0.0,371.85008460236884,87226.26057529611,0.0,0.0,5414842.0,959760.5,0.0,208.49987026840026,83.00751001816242,83.00751001816242,-125.49236025023784,7762604,-1434833.384037044,40281834,33955376,Healthcare
2006-06-30,DXCM,2006,Q2,USD,368289564.0,345811692.0,721.8275353908966,-25.401105520396186,-23.37816060118105,-29.047005840451487,1.8880647889283075,15.646918595890703,1.2189327968397736,,0.6222273012873099,1.0,0.9381621167576648,72126495,78783698,-0.13198475801411746,-0.18023266371597302,-0.13198475801411746,-0.14317761880719418,-0.15899775109041503,-0.14938002349829477,-0.030326191920007812,-0.040164274109054036,-0.08653139798829752,-1.5887903909930394,2.4589774525233885,0.0,11.191119191446905,1.0031226647852751,0.0,45702.0,3518851.0,2563575.0,17.171233076868486,95.410132482263,138.09162112828048,155.26285420514895,59.85272172288596,7685789,-52547784.21317561,78006745,70435542,Healthcare
2006-09-30,DXCM,2006,Q3,USD,312120908.23999995,291617929.23999995,346.74315621507213,-33.239740709488046,-31.04442297065151,-21.35300060335359,1.5012798564838545,10.344575235922525,0.6528739773880653,,0.5036329097637,1.0,0.9426045875420875,61375600,68054080,-0.1778985991418199,-0.1780187673223289,-0.1778985991418199,-0.2025419523562204,-0.20509241515518772,-0.20669822909380686,-0.043053094634939545,-0.030095929981009083,-0.0707153661999749,1.0355136942287118,0.737673301467266,0.0,5.510162659627595,0.4789909871346698,0.0,105312.5,2640440.5,2572370.0,12.7581864878362,81.39470737087504,51.44783433052742,64.20602081836363,-17.188686552511413,11109410,-3526382.0,66345618,58753138,Healthcare
2006-12-31,DXCM,2006,Q4,USD,269088755.52000004,253947689.52000004,304.15920327409793,-25.465070371775365,-24.223816317414155,-23.76574145108696,1.4169794595493013,10.969488463431865,0.9005521489179307,,0.4367491840857134,0.23763692353913174,3.9634291814841287,52127245,58244930,-0.17154447113895074,-0.16785422587943438,-0.17154447113895074,-0.19486152903448561,-0.04638539117961215,-0.19818719022829404,-0.04115238103725576,-0.038958851995659925,-0.05124106119764835,0.4767683251678732,0.6120320942081668,25.285148104542127,4.706920568152284,7010.159093658412,0.0,119610.5,1949834.5,1675067.5,12.935417532521196,22.112605685896835,37.419931181687055,50.35534871420825,28.242743028311413,4657677,7015268.365446984,56828267,49631582,Healthcare
2007-03-31,DXCM,2007,Q1,USD,222397240.0,230007240.0,227.2798814229249,-27.34925564803805,-26.325654114684674,-21.237972299168977,-0.7026777469990766,14.786395814096645,0.7695123067069265,,0.22139744180278495,1.0,0.9539979050279329,89584000,95403000,-0.1036307260503883,-0.13476568299168146,-0.1036307260503883,-0.3002307565518378,-0.11427203447312771,-0.1157604357183998,-0.049141796903594666,-0.03928555947906548,-0.038882282996432815,0.5223642172523961,0.3231225296442688,0.0,3.9871541501976284,1.08300395256917,0.0,159000.0,1926500.0,1435012.0,17.60869565217391,88.70672762900067,42.824951012410196,60.4336466645841,-28.273080964416565,-16347000,-48613755.0,36402000,27023000,Healthcare
2007-06-30,DXCM,2007,Q2,USD,232049594.2,269259594.2,312.004164774044,-35.303473738035926,-33.581890022449485,-25.047404111627905,-3.4613953488372093,11.752249227876998,0.6728122794636556,,0.133146429781604,1.0,0.9823223570190641,80072000,85637000,-0.11743864410993815,-0.11426421371566628,-0.11743864410993815,-0.42493533755669677,-0.1275772483555359,-0.12954647507858105,-0.048851626046067013,-0.0345529585071776,-0.05126524190376295,0.49493670886075947,0.45307068366164543,0.0,4.667439165701043,0.0,0.0,162000.0,3492000.0,1355500.0,13.140208574739281,122.82863041982105,38.83688919476944,51.977097769508724,-70.85153265031232,-45228000,-1629000.0,26677000,17669000,Healthcare
